Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -3958.49      -574.721      -4533.21      -4533.21      
1             1             -4168.9       -572.569      -4741.47      -4741.47      
2             2             -4064.19      -619.13       -4683.32      -4683.32      
3             3             -4046.9       -639.462      -4686.36      -4686.36      
4             4             -4153.96      -583.518      -4737.48      -4737.48      
5             5             -4095.33      -596.342      -4691.67      -4691.67      
6             6             -4038.85      -578.381      -4617.23      -4617.23      
7             7             -4121.62      -582.217      -4703.84      -4703.84      
8             8             -4214.52      -538.656      -4753.18      -4753.18      
9             9             -4285.68      -552.843      -4838.52      -4838.52      
10            10            -4155.87      -607.765      -4763.63      -4763.63      
11            11            -4187.47      -610.179      -4797.65      -4797.65      
12            12            -4237.26      -579.92       -4817.18      -4817.18      
13            13            -4280.26      -599.86       -4880.12      -4880.12      
14            14            -4165.33      -613.783      -4779.12      -4779.12      
15            15            -4219.73      -592.296      -4812.02      -4812.02      
16            16            -4262.87      -575.303      -4838.18      -4838.18      
17            17            -4160.87      -577.289      -4738.16      -4738.16      
18            18            -4237.91      -592.219      -4830.13      -4830.13      
19            19            -4178         -607.754      -4785.75      -4785.75      
20            20            -4170.66      -596.769      -4767.43      -4767.43      
21            21            -4092.99      -596.065      -4689.06      -4689.06      
22            22            -4142.19      -584.431      -4726.62      -4726.62      
23            23            -4084.74      -612.536      -4697.27      -4697.27      
24            24            -4032.81      -571.568      -4604.37      -4604.37      
25            25            -4151.68      -589.628      -4741.31      -4741.31      
26            26            -4028.86      -529.001      -4557.86      -4557.86      
27            27            -4113.72      -569.429      -4683.15      -4683.15      
28            28            -4160.99      -599.364      -4760.36      -4760.36      
29            29            -4210.41      -561.381      -4771.79      -4771.79      
30            30            -4231.45      -565.748      -4797.2       -4797.2       
31            31            -4222.35      -575.943      -4798.3       -4798.3       
32            32            -4287.1       -592.601      -4879.7       -4879.7       
33            33            -4186.76      -562.769      -4749.53      -4749.53      
34            34            -4068.38      -546.457      -4614.84      -4614.84      
35            35            -4003.88      -619.628      -4623.51      -4623.51      
36            36            -4080.6       -552.841      -4633.44      -4633.44      
37            37            -4144.39      -505.91       -4650.3       -4650.3       
38            38            -4253         -539.871      -4792.87      -4792.87      
39            39            -4203.32      -570.978      -4774.3       -4774.3       
40            40            -4224.77      -534.479      -4759.25      -4759.25      
41            41            -4185.16      -565.889      -4751.05      -4751.05      
42            42            -4203.36      -537.688      -4741.05      -4741.05      
43            43            -4138.49      -570.596      -4709.08      -4709.08      
44            44            -4185.98      -530.658      -4716.63      -4716.63      
45            45            -3974.18      -596.79       -4570.97      -4570.97      
46            46            -4013.21      -539.771      -4552.98      -4552.98      
47            47            -4071.27      -585.039      -4656.31      -4656.31      
48            48            -4043.26      -570.668      -4613.93      -4613.93      
49            49            -4136.63      -573.867      -4710.49      -4710.49      
50            50            -4115.18      -602.166      -4717.35      -4717.35      
51            51            -4054.37      -589.296      -4643.67      -4643.67      
52            52            -4047.79      -585.465      -4633.26      -4633.26      
53            53            -3917.97      -559.633      -4477.61      -4477.61      
54            54            -3936.73      -551.381      -4488.12      -4488.12      
55            55            -3937.53      -553.579      -4491.11      -4491.11      
56            56            -3805.24      -509.785      -4315.02      -4315.02      
57            57            -3893.5       -587.56       -4481.06      -4481.06      
58            58            -4058.17      -561.877      -4620.05      -4620.05      
59            59            -4042         -589.446      -4631.45      -4631.45      
60            60            -4050.59      -577.533      -4628.12      -4628.12      
61            61            -3977.73      -529.104      -4506.83      -4506.83      
62            62            -4074.89      -584.166      -4659.05      -4659.05      
63            63            -4262.16      -542.797      -4804.96      -4804.96      
64            64            -4097.99      -546.596      -4644.59      -4644.59      
65            65            -4124.98      -556.053      -4681.03      -4681.03      
66            66            -4133.77      -504.976      -4638.75      -4638.75      
67            67            -3989.51      -524.353      -4513.87      -4513.87      
68            68            -4087.04      -570.225      -4657.26      -4657.26      
69            69            -4093.46      -504.406      -4597.87      -4597.87      
70            70            -3990.12      -543.854      -4533.97      -4533.97      
71            71            -4061.1       -570.161      -4631.26      -4631.26      
72            72            -4008.85      -513.61       -4522.46      -4522.46      
73            73            -4061.84      -547.45       -4609.29      -4609.29      
74            74            -4230.19      -514.834      -4745.02      -4745.02      
75            75            -4197         -516.49       -4713.49      -4713.49      
76            76            -4193.72      -525.838      -4719.55      -4719.55      
77            77            -4238.04      -550.011      -4788.05      -4788.05      
78            78            -4132.75      -553.188      -4685.94      -4685.94      
79            79            -4053.92      -540.043      -4593.96      -4593.96      
80            80            -3950.69      -582.801      -4533.49      -4533.49      
81            81            -3991.25      -563.219      -4554.47      -4554.47      
82            82            -3951.56      -574.351      -4525.91      -4525.91      
83            83            -3972         -533.383      -4505.39      -4505.39      
84            84            -4044.99      -544.755      -4589.75      -4589.75      
85            85            -3983.06      -529.097      -4512.16      -4512.16      
86            86            -3886.45      -553.206      -4439.65      -4439.65      
87            87            -3920.1       -585.965      -4506.06      -4506.06      
88            88            -4085.52      -565.684      -4651.2       -4651.2       
89            89            -4032.54      -591.757      -4624.3       -4624.3       
90            90            -4174.4       -589.82       -4764.22      -4764.22      
91            91            -4186.09      -610.652      -4796.74      -4796.74      
92            92            -4130.36      -567.182      -4697.54      -4697.54      
93            93            -4141.98      -591.288      -4733.27      -4733.27      
94            94            -4093.24      -537.053      -4630.3       -4630.3       
95            95            -4114.91      -562.681      -4677.59      -4677.59      
96            96            -4008.06      -514.885      -4522.94      -4522.94      
97            97            -4110.71      -573.665      -4684.37      -4684.37      
98            98            -4063.59      -559.93       -4623.52      -4623.52      
99            99            -4043.93      -529.655      -4573.59      -4573.59      
100           100           -4013.94      -566.364      -4580.3       -4580.3       
101           101           -4067.99      -577.604      -4645.6       -4645.6       
102           102           -4159.02      -579.149      -4738.17      -4738.17      
103           103           -4152.69      -555.073      -4707.77      -4707.77      
104           104           -4187.92      -622.646      -4810.57      -4810.57      
105           105           -4361.29      -558.627      -4919.91      -4919.91      
106           106           -4162.38      -545.49       -4707.87      -4707.87      
107           107           -4175.31      -573.167      -4748.47      -4748.47      
108           108           -4167.93      -537.241      -4705.17      -4705.17      
109           109           -4169.97      -601.098      -4771.07      -4771.07      
110           110           -4037.46      -533.803      -4571.26      -4571.26      
111           111           -4244.57      -562.676      -4807.24      -4807.24      
112           112           -4282.74      -583.795      -4866.54      -4866.54      
113           113           -4174.87      -567.412      -4742.28      -4742.28      
114           114           -4094.56      -540.125      -4634.69      -4634.69      
115           115           -3979.96      -580.596      -4560.55      -4560.55      
116           116           -4115.2       -531.386      -4646.59      -4646.59      
117           117           -4047.59      -551.234      -4598.82      -4598.82      
118           118           -4066.7       -584.388      -4651.09      -4651.09      
119           119           -4275.15      -586.79       -4861.94      -4861.94      
120           120           -4189.6       -568.01       -4757.61      -4757.61      
121           121           -4335.11      -572.207      -4907.32      -4907.32      
122           122           -4252.88      -577.211      -4830.09      -4830.09      
123           123           -4287.6       -572.717      -4860.32      -4860.32      
124           124           -4212.1       -570.664      -4782.77      -4782.77      
125           125           -4385.34      -569.423      -4954.77      -4954.77      
126           126           -4185.41      -555.063      -4740.48      -4740.48      
127           127           -4383.44      -568.613      -4952.06      -4952.06      
128           128           -4096.43      -562.894      -4659.32      -4659.32      
129           129           -4188.15      -551.43       -4739.58      -4739.58      
130           130           -4227.43      -540.288      -4767.71      -4767.71      
131           131           -4255.32      -618.361      -4873.68      -4873.68      
132           132           -3877.38      -600.135      -4477.52      -4477.52      
133           133           -4138.15      -589.573      -4727.72      -4727.72      
134           134           -3994.95      -591.808      -4586.76      -4586.76      
135           135           -4077.26      -575.163      -4652.42      -4652.42      
136           136           -4115.31      -598.366      -4713.68      -4713.68      
137           137           -4076.24      -578.89       -4655.13      -4655.13      
138           138           -4109.81      -526.546      -4636.35      -4636.35      
139           139           -4191.69      -600.215      -4791.91      -4791.91      
140           140           -4177.89      -564.875      -4742.76      -4742.76      
141           141           -4208.67      -583.153      -4791.83      -4791.83      
142           142           -4188.97      -543.268      -4732.24      -4732.24      
143           143           -4050.18      -535.614      -4585.8       -4585.8       
144           144           -3947.16      -566.542      -4513.71      -4513.71      
145           145           -4080.78      -538.01       -4618.79      -4618.79      
146           146           -4213.52      -582.804      -4796.33      -4796.33      
147           147           -3941.2       -578.957      -4520.15      -4520.15      
148           148           -4068.61      -554.452      -4623.06      -4623.06      
149           149           -4201.51      -588.687      -4790.2       -4790.2       
150           150           -4038.89      -598.16       -4637.05      -4637.05      
151           151           -4264.48      -544.074      -4808.55      -4808.55      
152           152           -4144.75      -563.842      -4708.6       -4708.6       
153           153           -4115.93      -580.752      -4696.68      -4696.68      
154           154           -4224.19      -591.714      -4815.9       -4815.9       
155           155           -4086.21      -562.213      -4648.42      -4648.42      
156           156           -4109.42      -577.964      -4687.38      -4687.38      
157           157           -4087.49      -548.426      -4635.91      -4635.91      
158           158           -4259.63      -532.822      -4792.46      -4792.46      
159           159           -4131.4       -577.498      -4708.9       -4708.9       
160           160           -4277.23      -566.029      -4843.26      -4843.26      
161           161           -4175.38      -583.574      -4758.95      -4758.95      
162           162           -4209.5       -578.625      -4788.12      -4788.12      
163           163           -4204.45      -551.42       -4755.87      -4755.87      
164           164           -4101.95      -569.946      -4671.9       -4671.9       
165           165           -4245.94      -557.529      -4803.47      -4803.47      
166           166           -4147.06      -593.597      -4740.65      -4740.65      
167           167           -4209.15      -585.113      -4794.26      -4794.26      
168           168           -4197.4       -569.924      -4767.33      -4767.33      
169           169           -4059.11      -544.161      -4603.27      -4603.27      
170           170           -4251.81      -601.226      -4853.04      -4853.04      
171           171           -4195.03      -598.85       -4793.88      -4793.88      
172           172           -4182.11      -553.549      -4735.66      -4735.66      
173           173           -4030.23      -587.241      -4617.47      -4617.47      
174           174           -3913.58      -550.001      -4463.58      -4463.58      
175           175           -4132.12      -574.562      -4706.68      -4706.68      
176           176           -4064.08      -586.067      -4650.15      -4650.15      
177           177           -4043.38      -558.503      -4601.89      -4601.89      
178           178           -4287.94      -579.912      -4867.85      -4867.85      
179           179           -4196.29      -574.117      -4770.41      -4770.41      
180           180           -4240.17      -544.633      -4784.8       -4784.8       
181           181           -4049.03      -607.061      -4656.09      -4656.09      
182           182           -4020.71      -570.669      -4591.38      -4591.38      
