FRAME, RADIUSG
1, 24.95238729602139
2, 24.959154368788727
3, 25.024705010190495
4, 25.042962671223734
5, 24.978846785344295
6, 24.92790095503269
7, 25.30662646964854
8, 25.013765789146365
9, 25.03702750944896
10, 25.073291945648265
11, 25.143236844965724
12, 24.892547515014886
13, 25.32653966465084
14, 25.4544642233422
15, 25.468403573279122
16, 25.26736467494575
17, 25.365481008911864
18, 24.63627164060318
19, 24.697292251582148
20, 24.572654462988968
21, 24.527332091480254
22, 24.534456355962302
23, 24.303197389005298
24, 24.29648683061128
25, 24.13288730822081
26, 24.147021622174893
27, 24.1223530026779
28, 24.004181430922547
29, 24.49849296334837
30, 24.516644789252126
31, 24.328429665384828
32, 24.3631321026252
33, 24.48349833537392
34, 24.501456963542346
35, 24.908973583736717
36, 24.538890650122262
37, 24.155201562223567
38, 24.215325751539094
39, 23.76401793909743
40, 23.69551294110884
41, 23.38949885600391
42, 23.824023345287547
43, 24.03017481687041
44, 24.023788929558904
45, 24.07454167177797
46, 24.183914704815454
47, 24.151208647755755
48, 24.420611245012886
49, 24.44190648676742
50, 24.408507858838217
51, 24.447181208102048
52, 24.822727619201114
53, 24.754890167372462
54, 24.172129544999347
55, 24.59393329795525
56, 24.62185912851212
57, 24.879717932429813
58, 24.667352590365482
59, 24.704653647478143
60, 24.2685895315767
61, 24.266390944528485
62, 23.90816047572827
63, 24.085210373713277
64, 23.664894303422795
65, 23.906292568429894
66, 24.240033433668454
67, 24.476609324577158
68, 24.14999053727807
69, 24.30001988662721
70, 24.35643139405863
71, 24.467602954567674
72, 24.755555773601696
73, 24.996145582553535
74, 24.979081649993677
75, 25.226541309820064
76, 25.10534609979404
77, 25.830610179496585
78, 25.64299529855793
79, 25.70802198933128
80, 25.919113573840214
81, 25.973494397262144
82, 25.75711983356899
83, 25.510038505708927
84, 24.898666991551305
85, 24.7281529597245
86, 24.857727616207175
87, 24.168539242491683
88, 24.2666227434117
89, 24.117974156893688
90, 23.961611859944153
91, 24.345240261933522
92, 24.52176777219212
93, 24.601333168338208
94, 24.572970069305857
95, 24.16007286592703
96, 24.16322583638949
97, 24.76848540657485
98, 24.85785208482749
99, 24.749355829681367
100, 24.566350036063035
101, 24.53056502295556
102, 24.64070211284263
103, 24.910950092299746
104, 25.325628316205197
105, 25.288527922899018
106, 24.383721938535945
107, 24.088640975364438
108, 23.96103964773634
109, 24.078110395825497
110, 23.932755422761254
111, 23.77526894735314
112, 23.542834937094014
113, 23.66168030302336
114, 23.391617664223855
115, 23.51900352871979
116, 23.68953464995068
117, 23.63590414498527
118, 23.714756267615808
119, 23.754381833236135
120, 23.7453525248265
121, 23.866143631307814
122, 24.056269257859903
123, 24.14521657017165
124, 24.448667517723447
125, 24.26768545245335
126, 24.220391311470866
127, 24.089630820351466
128, 24.04600220326629
129, 24.04082359791119
130, 24.088354410874373
131, 24.304357400100464
132, 24.51987238192007
133, 24.15896673573238
134, 24.0913596176997
135, 23.777291638165387
136, 23.66008787702755
137, 23.818412297094177
138, 23.72630796563009
139, 23.580722787433157
140, 23.64282296511084
141, 23.71835982747227
142, 23.704126729451136
143, 23.404114561349836
144, 23.676366616130586
145, 23.636578293427135
146, 23.508910045304468
147, 23.670246146851053
148, 23.783710358865864
149, 23.79464041143
150, 23.41100653735634
151, 23.331044462656447
152, 23.23219658182863
153, 23.40123608313512
154, 23.119766671062777
155, 23.5535345167841
156, 23.49097755961805
157, 23.814377582775638
158, 24.16299559365113
159, 24.31449234762249
160, 24.252697665760373
161, 24.01028258100365
162, 24.04608148078371
163, 24.42393779588567
164, 24.811401417606042
165, 24.454408939057952
166, 24.65240041476595
167, 24.760336995993917
168, 24.39028851987572
169, 24.186816948883695
170, 24.63964885954636
171, 24.270102713528566
172, 24.349583898286035
173, 24.717689693264777
174, 24.527639573301443
175, 24.815620937084994
176, 24.876208985955188
177, 24.69054930210657
178, 24.544372464066097
179, 25.11204778449555
180, 25.091445613636
181, 24.601625247047107
182, 24.28741155882882
183, 24.17559421401269
184, 24.28727398356564
185, 24.647294834583512
186, 24.597958318438145
187, 24.061803945513006
188, 24.31649029222014
189, 24.61480567608083
190, 24.513797078274933
191, 24.738943201936063
192, 24.404106710564093
193, 24.732945328530164
194, 24.703219581363495
195, 24.849393648626673
196, 24.86066549416143
197, 25.687804784324403
198, 25.57714518563487
199, 25.61688076487525
200, 25.536072239024854
201, 25.39330992644741
202, 25.64218082691911
203, 26.131909110377233
204, 25.83495221848919
205, 25.901367391203838
206, 25.55163668453627
207, 25.275240461530483
208, 25.890725041741373
209, 25.438403815183946
210, 25.299429176276334
211, 25.319497041106324
212, 25.80755382280897
213, 25.56189215715089
214, 25.41961102869793
215, 25.499542522564912
216, 26.023792893011304
217, 25.851684749629882
218, 25.84791481217611
219, 26.673918175946014
220, 26.279496295388483
221, 25.92129760257767
222, 26.09555518320962
223, 25.935225135839282
224, 26.101122152118354
225, 26.036711944009134
226, 25.9508209362484
227, 25.835001623540826
228, 25.619029022371343
229, 25.38789226656203
230, 25.47160810653615
231, 25.759256273648813
232, 25.47747631992962
233, 25.791873195580397
234, 26.027494203511445
235, 25.922367176758275
236, 25.36313920752173
237, 25.608601122457046
238, 25.71381357893141
239, 25.354127819016217
240, 25.059822073949185
241, 25.5217064887914
242, 25.155439336748653
243, 25.531238766017644
244, 24.95994546627928
245, 24.81179825368632
246, 25.354515078758947
247, 25.201940322387514
248, 25.365213429229385
249, 25.230186384943025
250, 25.56396483292905
251, 26.057587958053134
252, 25.964611479889157
253, 25.63658237122773
