SYSTEM, FRAME, RADIUSG
Complex, 1, 24.604811822448887
Complex, 2, 24.624547450867027
Complex, 3, 24.6706505588153
Complex, 4, 24.6343856699694
Complex, 5, 24.60425155324461
Complex, 6, 24.56479410976311
Complex, 7, 24.92311578050399
Complex, 8, 24.630920782688527
Complex, 9, 24.66612419720209
Complex, 10, 24.680616066718812
Complex, 11, 24.757371207027337
Complex, 12, 24.50408903515188
Complex, 13, 24.982850525628976
Complex, 14, 25.03288304804294
Complex, 15, 25.069576023540407
Complex, 16, 24.868993060485472
Complex, 17, 24.923015445307787
Complex, 18, 24.275843725359394
Complex, 19, 24.350359542422062
Complex, 20, 24.212929339448706
Complex, 21, 24.207290226412155
Complex, 22, 24.15794052431937
Complex, 23, 23.96798652917447
Complex, 24, 23.98326626981573
Complex, 25, 23.85743588238363
Complex, 26, 23.921464517296624
Complex, 27, 23.882644039975556
Complex, 28, 23.786173633601297
Complex, 29, 24.202217441291346
Complex, 30, 24.237987475590636
Complex, 31, 24.054909656449553
Complex, 32, 24.13627218795794
Complex, 33, 24.23444403563017
Complex, 34, 24.269652616824143
Complex, 35, 24.659681946996262
Complex, 36, 24.312431877372077
Complex, 37, 23.96885426613857
Complex, 38, 23.988309524124595
Complex, 39, 23.582380737828206
Complex, 40, 23.514762975523126
Complex, 41, 23.233097781014557
Complex, 42, 23.63408163618569
Complex, 43, 23.79492985223214
Complex, 44, 23.788260003394743
Complex, 45, 23.8055116143749
Complex, 46, 23.898643761150076
Complex, 47, 23.809767214778397
Complex, 48, 24.04118922861368
Complex, 49, 24.12066377818695
Complex, 50, 24.083643459280598
Complex, 51, 24.128909672094764
Complex, 52, 24.481746892607056
Complex, 53, 24.39800493990746
Complex, 54, 23.86427819017229
Complex, 55, 24.285906694040865
Complex, 56, 24.338949569470714
Complex, 57, 24.534776098797447
Complex, 58, 24.40000234567029
Complex, 59, 24.41971329719078
Complex, 60, 24.019892220536853
Complex, 61, 23.948953873555524
Complex, 62, 23.64941822650348
Complex, 63, 23.8322703579103
Complex, 64, 23.4458052837833
Complex, 65, 23.674921052324542
Complex, 66, 23.98412000234126
Complex, 67, 24.2347843460432
Complex, 68, 23.949979475673075
Complex, 69, 24.061470699395446
Complex, 70, 24.083750478219656
Complex, 71, 24.183510738529776
Complex, 72, 24.50009390871432
Complex, 73, 24.694013001700608
Complex, 74, 24.70928556986612
Complex, 75, 24.968438419159586
Complex, 76, 24.858805602203482
Complex, 77, 25.509826058995966
Complex, 78, 25.381768133163188
Complex, 79, 25.41293859214329
Complex, 80, 25.62499039320911
Complex, 81, 25.66569674937277
Complex, 82, 25.492918512586538
Complex, 83, 25.296560168430798
Complex, 84, 24.74281039639962
Complex, 85, 24.605330291124364
Complex, 86, 24.68044647601939
Complex, 87, 24.006952167941257
Complex, 88, 24.118479117179177
Complex, 89, 23.984194767343315
Complex, 90, 23.80607681758046
Complex, 91, 24.162952268811214
Complex, 92, 24.357033398456707
Complex, 93, 24.394539470219662
Complex, 94, 24.36302094700442
Complex, 95, 23.989392261190464
Complex, 96, 23.97117214572593
Complex, 97, 24.56151853478678
Complex, 98, 24.652088755477607
Complex, 99, 24.544498106605563
Complex, 100, 24.403990400234964
Complex, 101, 24.38414699421091
Complex, 102, 24.48768485930931
Complex, 103, 24.777267753167738
Complex, 104, 25.157506881026013
Complex, 105, 25.082728852202383
Complex, 106, 24.234037064948904
Complex, 107, 23.921240168814062
Complex, 108, 23.79282296404444
Complex, 109, 23.929123164814463
Complex, 110, 23.782744243779266
Complex, 111, 23.615625410079396
Complex, 112, 23.37732806113996
Complex, 113, 23.495425692022895
Complex, 114, 23.23912630806386
Complex, 115, 23.347596208897016
Complex, 116, 23.548874430975882
Complex, 117, 23.500246086055697
Complex, 118, 23.59381008540825
Complex, 119, 23.646078910273456
Complex, 120, 23.60301437747041
Complex, 121, 23.717533915674643
Complex, 122, 23.925630812363725
Complex, 123, 24.002392955036786
Complex, 124, 24.295238033007237
Complex, 125, 24.137102527585586
Complex, 126, 24.084634383028067
Complex, 127, 23.967791308205378
Complex, 128, 23.881309902736668
Complex, 129, 23.899788771025
Complex, 130, 23.971176570455928
Complex, 131, 24.159892933049903
Complex, 132, 24.359272342913428
Complex, 133, 23.982889078820822
Complex, 134, 23.910477209413894
Complex, 135, 23.56763544921411
Complex, 136, 23.483947470531522
Complex, 137, 23.6555917862941
Complex, 138, 23.562365172050036
Complex, 139, 23.44072534200833
Complex, 140, 23.474147230657856
Complex, 141, 23.558973243730385
Complex, 142, 23.539946797158073
Complex, 143, 23.278178940178535
Complex, 144, 23.557203419818936
Complex, 145, 23.53667688558149
Complex, 146, 23.398065434856058
Complex, 147, 23.543520991046137
Complex, 148, 23.646403002246007
Complex, 149, 23.670364543484236
Complex, 150, 23.302418757738845
Complex, 151, 23.218854775601805
Complex, 152, 23.10357136933642
Complex, 153, 23.295252807580685
Complex, 154, 23.0421058771788
Complex, 155, 23.428341137603848
Complex, 156, 23.31269800899488
Complex, 157, 23.65000014419286
Complex, 158, 23.984524050435155
Complex, 159, 24.172922414388207
Complex, 160, 24.073112768248276
Complex, 161, 23.803192175860957
Complex, 162, 23.871556383865126
Complex, 163, 24.264051223288856
Complex, 164, 24.60798634862992
Complex, 165, 24.21480850628992
Complex, 166, 24.38940534586623
Complex, 167, 24.529443957641007
Complex, 168, 24.200280885008002
Complex, 169, 23.98613168339664
Complex, 170, 24.414403296550436
Complex, 171, 24.08122459207647
Complex, 172, 24.22828903232163
Complex, 173, 24.515286316624884
Complex, 174, 24.317802511290154
Complex, 175, 24.620929767231985
Complex, 176, 24.675261735811354
Complex, 177, 24.477150980041266
Complex, 178, 24.358295006742125
Complex, 179, 24.91518019985476
Complex, 180, 24.849112293658447
Complex, 181, 24.431838124933055
Complex, 182, 24.12055683094444
Complex, 183, 24.00768602111555
Complex, 184, 24.07620655730759
Complex, 185, 24.426099604631744
Complex, 186, 24.357424744020584
Complex, 187, 23.82183577648518
Complex, 188, 24.12189343025764
Complex, 189, 24.3623778938345
Complex, 190, 24.32495699810575
Complex, 191, 24.578570134769464
Complex, 192, 24.268199564881353
Complex, 193, 24.593830979910482
Complex, 194, 24.573689482113984
Complex, 195, 24.668342176051066
Complex, 196, 24.71133752056297
