POSE, FRAME, ANGLE
sw06, 0, 147.55769489048407
sw06, 1, 147.55769489048407
sw06, 2, 147.55769489048407
sw06, 3, 147.55769489048407
sw06, 4, 147.55769489048407
sw06, 5, 147.55769489048407
sw06, 6, 147.55769489048407
sw06, 7, 147.55769489048407
sw06, 8, 147.55769489048407
sw06, 9, 147.55769489048407
sw06, 10, 147.55769489048407
sw06, 11, 147.55769489048407
sw06, 12, 147.55769489048407
sw06, 13, 147.55769489048407
sw06, 14, 147.55769489048407
sw06, 15, 147.55769489048407
sw06, 16, 147.55769489048407
sw06, 17, 147.55769489048407
sw06, 18, 147.55769489048407
sw06, 19, 147.55769489048407
sw06, 20, 147.55769489048407
sw06, 21, 147.55769489048407
sw06, 22, 147.55769489048407
sw06, 23, 147.55769489048407
sw06, 24, 147.55769489048407
sw06, 25, 147.55769489048407
sw06, 26, 147.55769489048407
sw06, 27, 147.55769489048407
sw06, 28, 147.55769489048407
sw06, 29, 147.55769489048407
sw06, 30, 147.55769489048407
sw06, 31, 147.55769489048407
sw06, 32, 147.55769489048407
sw06, 33, 147.55769489048407
sw06, 34, 147.55769489048407
sw06, 35, 147.55769489048407
sw06, 36, 147.55769489048407
sw06, 37, 147.55769489048407
sw06, 38, 147.55769489048407
sw06, 39, 147.55769489048407
sw06, 40, 147.55769489048407
sw06, 41, 147.55769489048407
sw06, 42, 147.55769489048407
sw06, 43, 147.55769489048407
sw06, 44, 147.55769489048407
sw06, 45, 147.55769489048407
sw06, 46, 147.55769489048407
sw06, 47, 147.55769489048407
sw06, 48, 147.55769489048407
sw06, 49, 147.55769489048407
sw06, 50, 147.55769489048407
sw06, 51, 147.55769489048407
sw06, 52, 147.55769489048407
sw06, 53, 147.55769489048407
sw06, 54, 147.55769489048407
sw06, 55, 147.55769489048407
sw06, 56, 147.55769489048407
sw06, 57, 147.55769489048407
sw06, 58, 147.55769489048407
sw06, 59, 147.55769489048407
sw06, 60, 147.55769489048407
sw06, 61, 147.55769489048407
sw06, 62, 147.55769489048407
sw06, 63, 147.55769489048407
sw06, 64, 147.55769489048407
sw06, 65, 147.55769489048407
sw06, 66, 147.55769489048407
sw06, 67, 147.55769489048407
sw06, 68, 147.55769489048407
sw06, 69, 147.55769489048407
sw06, 70, 147.55769489048407
sw06, 71, 147.55769489048407
sw06, 72, 147.55769489048407
sw06, 73, 147.55769489048407
sw06, 74, 147.55769489048407
sw06, 75, 147.55769489048407
sw06, 76, 147.55769489048407
sw06, 77, 147.55769489048407
sw06, 78, 147.55769489048407
sw06, 79, 147.55769489048407
sw06, 80, 147.55769489048407
sw06, 81, 147.55769489048407
sw06, 82, 147.55769489048407
sw06, 83, 147.55769489048407
sw06, 84, 147.55769489048407
sw06, 85, 147.55769489048407
sw06, 86, 147.55769489048407
sw06, 87, 147.55769489048407
sw06, 88, 147.55769489048407
sw06, 89, 147.55769489048407
sw06, 90, 147.55769489048407
sw06, 91, 147.55769489048407
sw06, 92, 147.55769489048407
sw06, 93, 147.55769489048407
sw06, 94, 147.55769489048407
sw06, 95, 147.55769489048407
sw06, 96, 147.55769489048407
sw06, 97, 147.55769489048407
sw06, 98, 147.55769489048407
sw06, 99, 147.55769489048407
sw06, 100, 147.55769489048407
sw06, 101, 147.55769489048407
sw06, 102, 147.55769489048407
sw06, 103, 147.55769489048407
sw06, 104, 147.55769489048407
sw06, 105, 147.55769489048407
sw06, 106, 147.55769489048407
sw06, 107, 147.55769489048407
sw06, 108, 147.55769489048407
sw06, 109, 147.55769489048407
sw06, 110, 147.55769489048407
sw06, 111, 147.55769489048407
sw06, 112, 147.55769489048407
sw06, 113, 147.55769489048407
sw06, 114, 147.55769489048407
sw06, 115, 147.55769489048407
sw06, 116, 147.55769489048407
sw06, 117, 147.55769489048407
sw06, 118, 147.55769489048407
sw06, 119, 147.55769489048407
sw06, 120, 147.55769489048407
sw06, 121, 147.55769489048407
sw06, 122, 147.55769489048407
sw06, 123, 147.55769489048407
sw06, 124, 147.55769489048407
sw06, 125, 147.55769489048407
sw06, 126, 147.55769489048407
sw06, 127, 147.55769489048407
sw06, 128, 147.55769489048407
sw06, 129, 147.55769489048407
sw06, 130, 147.55769489048407
sw06, 131, 147.55769489048407
sw06, 132, 147.55769489048407
sw06, 133, 147.55769489048407
sw06, 134, 147.55769489048407
sw06, 135, 147.55769489048407
sw06, 136, 147.55769489048407
sw06, 137, 147.55769489048407
sw06, 138, 147.55769489048407
sw06, 139, 147.55769489048407
sw06, 140, 147.55769489048407
sw06, 141, 147.55769489048407
sw06, 142, 147.55769489048407
sw06, 143, 147.55769489048407
sw06, 144, 147.55769489048407
sw06, 145, 147.55769489048407
sw06, 146, 147.55769489048407
sw06, 147, 147.55769489048407
sw06, 148, 147.55769489048407
sw06, 149, 147.55769489048407
sw06, 150, 147.55769489048407
sw06, 151, 147.55769489048407
sw06, 152, 147.55769489048407
sw06, 153, 147.55769489048407
sw06, 154, 147.55769489048407
sw06, 155, 147.55769489048407
sw06, 156, 147.55769489048407
sw06, 157, 147.55769489048407
sw06, 158, 147.55769489048407
sw06, 159, 147.55769489048407
sw06, 160, 147.55769489048407
sw06, 161, 147.55769489048407
sw06, 162, 147.55769489048407
sw06, 163, 147.55769489048407
sw06, 164, 147.55769489048407
sw06, 165, 147.55769489048407
sw06, 166, 147.55769489048407
sw06, 167, 147.55769489048407
sw06, 168, 147.55769489048407
sw06, 169, 147.55769489048407
sw06, 170, 147.55769489048407
sw06, 171, 147.55769489048407
sw06, 172, 147.55769489048407
sw06, 173, 147.55769489048407
sw06, 174, 147.55769489048407
sw06, 175, 147.55769489048407
sw06, 176, 147.55769489048407
sw06, 177, 147.55769489048407
sw06, 178, 147.55769489048407
sw06, 179, 147.55769489048407
sw06, 180, 147.55769489048407
