FRAME,RMSD
0,0.7832028865814209
1,0.7822564840316772
2,0.7667793035507202
3,0.741384744644165
4,0.8688198924064636
5,1.197472333908081
6,0.9555532336235046
7,0.6537600159645081
8,0.7390950918197632
9,0.7642638087272644
10,0.7289000749588013
11,1.0327603816986084
12,0.6935045719146729
13,0.9300015568733215
14,0.9414930939674377
15,0.8892955780029297
16,0.7541301846504211
17,0.7924832105636597
18,0.8045468330383301
19,1.102707862854004
20,0.8200585842132568
21,0.6744264364242554
22,0.6991025805473328
23,0.6602367162704468
24,0.6931294202804565
25,0.7120599150657654
26,0.8823754787445068
27,0.904158353805542
28,0.9409076571464539
29,0.9816083908081055
30,0.769261360168457
31,0.8794565796852112
32,0.6029613614082336
33,0.8781213760375977
34,0.631289541721344
35,0.8077125549316406
36,0.7195056080818176
37,0.7460238933563232
38,0.5970791578292847
39,0.7239128351211548
40,0.691156268119812
41,0.5648942589759827
42,0.5431519746780396
43,0.694921612739563
44,0.7581927180290222
45,0.630890429019928
46,0.5645070672035217
47,0.773513913154602
48,0.5268031358718872
49,0.6361449956893921
50,0.6936390995979309
51,0.5620880126953125
52,0.651541531085968
53,0.6804207563400269
54,0.839046061038971
55,0.9852238893508911
56,0.6699598431587219
57,0.6442117691040039
58,0.7149643301963806
59,0.6943686604499817
60,0.47776031494140625
61,0.7190455794334412
62,0.5483043193817139
63,0.7518960237503052
64,0.7470053434371948
65,0.8714646100997925
66,0.6479915380477905
67,0.8747448921203613
68,0.7584052085876465
69,0.7896546125411987
70,0.7926385998725891
71,0.8933929800987244
72,0.7469701766967773
73,0.9215203523635864
74,0.963843822479248
75,0.7900509834289551
76,0.870698869228363
77,0.7164834141731262
78,0.795804500579834
79,0.8102843761444092
80,0.9606093764305115
81,0.6586521863937378
82,0.7399067282676697
83,0.7042202353477478
84,0.6767578125
85,0.7500075697898865
86,0.7602691650390625
87,0.8961706161499023
88,1.0435850620269775
89,0.6510080099105835
90,0.9075121283531189
91,0.9398467540740967
92,0.8088464140892029
93,0.7906056642532349
94,0.8200558423995972
95,1.0473806858062744
96,0.9188534021377563
97,0.8135629892349243
98,0.8550657629966736
99,1.2676682472229004
100,0.7322604060173035
101,0.8352862596511841
102,0.7367671132087708
103,0.9526810646057129
104,0.916924774646759
105,0.9746103882789612
106,0.9118131399154663
107,0.981602668762207
108,0.9925172328948975
109,0.9841365814208984
110,0.8178541660308838
111,0.8647319078445435
112,0.8188085556030273
113,0.9688091278076172
