Frame         Time          Elec          VdW           Nonbond       Total         
113           113           -4174.67      -645.393      -4820.06      -4820.06      
114           114           -4172.05      -639.837      -4811.89      -4811.89      
115           115           -4137.65      -610.85       -4748.51      -4748.51      
116           116           -4275.02      -612.905      -4887.92      -4887.92      
117           117           -4228.18      -654.852      -4883.03      -4883.03      
118           118           -4274.42      -621.147      -4895.57      -4895.57      
119           119           -4249.13      -647.586      -4896.72      -4896.72      
120           120           -4265.79      -680.421      -4946.22      -4946.22      
121           121           -4265.5       -651.983      -4917.49      -4917.49      
122           122           -4242.25      -601.059      -4843.31      -4843.31      
123           123           -4308.87      -677.834      -4986.71      -4986.71      
124           124           -4408.49      -633.058      -5041.55      -5041.55      
125           125           -4331.76      -659.212      -4990.98      -4990.98      
126           126           -4266.83      -611.778      -4878.6       -4878.6       
127           127           -4281.06      -600.014      -4881.07      -4881.07      
128           128           -4277.82      -652.565      -4930.39      -4930.39      
129           129           -4372.31      -630.32       -5002.63      -5002.63      
130           130           -4287.95      -579.352      -4867.31      -4867.31      
131           131           -4404.95      -633.182      -5038.13      -5038.13      
132           132           -4260.35      -618.257      -4878.61      -4878.61      
133           133           -4197.4       -612.046      -4809.45      -4809.45      
134           134           -4328.01      -643.81       -4971.82      -4971.82      
135           135           -4194.22      -608.602      -4802.82      -4802.82      
136           136           -4252.52      -626.182      -4878.7       -4878.7       
137           137           -4274.2       -632.551      -4906.75      -4906.75      
138           138           -4202.2       -589.596      -4791.8       -4791.8       
139           139           -4210.28      -585.092      -4795.37      -4795.37      
140           140           -4210.16      -609.501      -4819.66      -4819.66      
141           141           -4226.16      -608.475      -4834.64      -4834.64      
142           142           -4315.87      -642.182      -4958.06      -4958.06      
143           143           -4260.92      -591.38       -4852.3       -4852.3       
144           144           -4450.46      -612.677      -5063.14      -5063.14      
145           145           -4332.06      -607.006      -4939.06      -4939.06      
146           146           -4179.45      -614.526      -4793.97      -4793.97      
147           147           -4395.3       -624.064      -5019.37      -5019.37      
148           148           -4177.04      -623.475      -4800.52      -4800.52      
149           149           -4226.85      -677.406      -4904.25      -4904.25      
150           150           -4252.83      -636.911      -4889.75      -4889.75      
151           151           -4367.16      -599.004      -4966.16      -4966.16      
152           152           -4269.45      -680.2        -4949.65      -4949.65      
153           153           -4222.41      -602.645      -4825.05      -4825.05      
154           154           -4238.32      -634.027      -4872.34      -4872.34      
155           155           -4270.66      -611.875      -4882.53      -4882.53      
