POSE, FRAME, ANGLE
sw06, 0, 147.55769489048407
sw06, 1, 147.55769489048407
sw06, 2, 153.34585611842692
sw06, 3, 153.34585611842692
sw06, 4, 151.94184769637107
sw06, 5, 151.94184769637107
sw06, 6, 149.84533395270668
sw06, 7, 149.84533395270668
sw06, 8, 153.46616001126986
sw06, 9, 153.46616001126986
