TYPE,FRAME, RADIOG
Complex, 100, 24.36211419147663
Protein, 101, 24.38414699421091
Complex, 101, 24.348170076273274
Protein, 102, 24.48768485930931
Complex, 102, 24.445709588013894
Protein, 103, 24.777267753167738
Complex, 103, 24.737027781172657
Protein, 104, 25.157506881026013
Complex, 104, 25.120157514174355
Protein, 105, 25.082728852202383
Complex, 105, 25.04617356059787
Protein, 106, 24.234037064948904
Complex, 106, 24.199278665424977
Protein, 107, 23.921240168814062
Complex, 107, 23.884491447982484
Protein, 108, 23.79282296404444
Complex, 108, 23.75800890666861
Protein, 109, 23.929123164814463
Complex, 109, 23.889256268326516
Protein, 110, 23.782744243779266
Complex, 110, 23.747461341996207
Protein, 111, 23.615625410079396
Complex, 111, 23.577769338372207
Protein, 112, 23.37732806113996
Complex, 112, 23.344572101212332
Protein, 113, 23.495425692022895
Complex, 113, 23.45813749853963
Protein, 114, 23.23912630806386
Complex, 114, 23.2009312015237
Protein, 115, 23.347596208897016
Complex, 115, 23.306291500026852
Protein, 116, 23.548874430975882
Complex, 116, 23.508894003005906
Protein, 117, 23.500246086055697
Complex, 117, 23.458514612024207
Protein, 118, 23.59381008540825
Complex, 118, 23.553064446677308
Protein, 119, 23.646078910273456
Complex, 119, 23.60462105857936
Protein, 120, 23.60301437747041
Complex, 120, 23.5649561899432
Protein, 121, 23.717533915674643
Complex, 121, 23.680091014871188
Protein, 122, 23.925630812363725
Complex, 122, 23.88718290835588
Protein, 123, 24.002392955036786
Complex, 123, 23.96369738277379
Protein, 124, 24.295238033007237
Complex, 124, 24.256874855076514
Protein, 125, 24.137102527585586
Complex, 125, 24.096942430310147
Protein, 126, 24.084634383028067
Complex, 126, 24.04532966100782
Protein, 127, 23.967791308205378
Complex, 127, 23.926708688421627
Protein, 128, 23.881309902736668
Complex, 128, 23.842984223074218
Protein, 129, 23.899788771025
Complex, 129, 23.859813002616917
Protein, 130, 23.971176570455928
Complex, 130, 23.9295737529074
Protein, 131, 24.159892933049903
Complex, 131, 24.120468310083908
Protein, 132, 24.359272342913428
Complex, 132, 24.309408977485838
Protein, 133, 23.982889078820822
Complex, 133, 23.94661002422099
Protein, 134, 23.910477209413894
Complex, 134, 23.86245015959679
Protein, 135, 23.56763544921411
Complex, 135, 23.51973742336204
Protein, 136, 23.483947470531522
Complex, 136, 23.436513642117355
Protein, 137, 23.6555917862941
Complex, 137, 23.606794371515964
Protein, 138, 23.562365172050036
Complex, 138, 23.513368779465832
Protein, 139, 23.44072534200833
Complex, 139, 23.38976450474631
Protein, 140, 23.474147230657856
Complex, 140, 23.428226755265896
Protein, 141, 23.558973243730385
Complex, 141, 23.51675962301755
