"FRAME","PROTEIN","COMPLEX"
1,24.4500634796298,24.4137935372138
2,24.7088210318639,24.6758919119381
3,24.6166633300717,24.5790051578901
4,24.6270022988292,24.5959594425807
5,25.167105556701,25.1375552062919
6,25.2181254909242,25.1805619347433
7,25.3944357315188,25.3592896280907
8,25.173775166036,25.1382144083428
9,25.4723725983548,25.4382382165084
10,24.7964949478777,24.7688078020855
11,24.7639892815933,24.7258519529959
12,24.39366525275,24.3582255477359
13,24.0869025849936,24.0561947767777
14,24.8452651439165,24.8166943658451
15,24.166396055142,24.141591297032
16,24.6434518432403,24.6142900474092
17,24.4386762424858,24.4149387474935
18,24.2628551505119,24.2288338920289
19,24.2789762042917,24.2526403624069
20,24.7448014363268,24.7120129445148
21,25.1891975520508,25.1539935744413
22,25.0750247720159,25.0364954436983
23,25.2840081514064,25.2462014140571
24,24.7068634832823,24.6785285045449
25,24.7213927931073,24.6969716212031
26,24.8388450680045,24.8033213234886
27,24.9902578207727,24.9708693169709
28,25.0866527483656,25.050118495854
29,25.5042849562954,25.4643138752537
30,25.1904476356919,25.1532291806628
31,25.3028468647737,25.26483026243
32,24.9089397036177,24.8779352940768
33,25.1473310882474,25.1143521963171
34,25.455218831418,25.4185668003994
35,25.2829434984484,25.2465062985403
36,25.3626441144027,25.3304789573176
37,25.3922988179712,25.3555588016477
38,25.4243005161756,25.392551472634
39,25.0930341550147,25.0750047811828
40,25.0813187654106,25.0556292105969
41,25.0790344426635,25.049404787674
42,25.3556783259045,25.3232587102528
43,25.5958303708311,25.5610239294555
44,25.8884242613662,25.8496263069443
45,25.8329144536037,25.7954064652941
46,25.4343291296888,25.4056071087413
47,25.2105143932395,25.1777403935815
48,25.3469380189802,25.3145141661276
49,24.9982290989309,24.9596115476666
50,24.8359720374206,24.8072250541626
51,24.9214026535298,24.8930425961617
52,24.8073862261244,24.7794035046758
53,24.8572379628072,24.8199331833515
54,25.00465048149,24.9645313077253
55,24.9011480697096,24.865737722237
56,25.0238706351994,24.9867208302474
57,24.9374687145541,24.9007581509403
58,24.7921173737617,24.7560560558448
59,24.3968796006242,24.3611649411515
60,24.8276604700743,24.7888933726402
61,24.6882728950479,24.6467226486289
62,24.5052753111809,24.4704567977524
63,24.779258563304,24.7348286367042
64,24.512962959595,24.4755066332472
65,24.6415384192481,24.6158344828284
66,24.9510185844943,24.9136302076928
67,24.4353109612713,24.4047980253069
68,24.3853399591298,24.3525688498078
69,24.5143167725158,24.4804258750822
70,24.2646529918229,24.2329513018897
71,24.1093754317049,24.0846261455548
72,24.3120625540583,24.2738442404955
73,24.3692875044626,24.3361133372103
74,24.6410014741126,24.5967047843368
75,24.6169079347169,24.5739508104708
76,24.9568323078902,24.9091351571595
77,24.7706530822925,24.7297589565118
78,24.9470177534161,24.9035073356573
79,24.9816167172152,24.9422872450622
80,25.0259054070879,24.9777950513909
81,24.8099538135564,24.7669124393898
82,25.0093003939169,24.9661835509087
83,25.3492891898405,25.3050095941875
84,25.3968361248858,25.3504404074984
85,25.1642277265623,25.1239561897782
86,24.9630674601191,24.9205803247252
87,24.8367057431438,24.7942162592241
88,25.2239725921439,25.1796596982903
89,24.8616195504549,24.8145148324086
90,25.4517648705571,25.4061302269175
91,25.7513930049847,25.7004611057136
92,25.321518448653,25.2739885755807
93,25.3232685789481,25.2702784206995
94,25.3343701848106,25.2804492742236
95,25.7822705649186,25.7311629797972
96,25.4893496852836,25.435246214815
97,24.9522256289355,24.9046979807858
98,25.2691442831551,25.2210133326306
99,25.3205981140136,25.2679128582215
100,25.314377917689,25.2641362665863
101,25.531765592045,25.4753674918504
102,25.0221589918945,24.973995009152
103,25.057270445081,25.0028335196336
104,25.1368849235186,25.0925159356586
105,24.901685103723,24.8524925083583
106,24.7298769178164,24.6821154372267
107,24.2451059243969,24.1990066245653
108,24.9964045626877,24.9488528581292
109,24.8932241382774,24.8559712097947
110,25.1575749224291,25.1146611718155
111,24.8037910252875,24.7531423092129
112,24.7332431735231,24.6960173056902
113,24.9476705921637,24.900377996076
114,25.4083642862238,25.3530822087492
115,25.0922191337813,25.0437531545669
116,25.0321186133501,24.9759992179173
117,25.1668479507895,25.1074774087403
118,25.0423652329553,24.980441787218
119,25.1647041339398,25.099041905491
120,25.2075185364703,25.1423043860299
121,24.925469777839,24.866753918929
122,24.8968266244631,24.8527365932017
123,24.7221771959657,24.6854043487804
124,24.7761166528062,24.7457634946772
125,24.7442771431456,24.7294634379464
126,24.632690393365,24.5876347096921
127,24.6767169627895,24.6460965587842
128,24.7306551150478,24.6906585749281
129,24.5248070159805,24.4830610808488
130,24.3633752766973,24.3319517547741
131,24.0651335666692,24.0461862627144
132,24.4236713487296,24.3891435004847
133,24.4734026108401,24.4503740141448
134,24.0414593275822,24.0113551252634
135,24.5916443083419,24.5757964747803
136,24.5778602712272,24.5443821708312
137,24.6701339790551,24.6317597215611
138,24.9640505562841,24.9154573603563
139,24.6801551165922,24.6303691932732
140,24.6525647989933,24.5974211005877
141,24.5613537820203,24.5144404351825
142,24.5715766465077,24.5180864592361
143,24.3586495437171,24.3078259288455
144,24.4513468026113,24.4041903363558
145,24.2775144421906,24.2297573734188
146,24.1527385449248,24.1089280325592
147,24.2252531266838,24.1798043591316
148,24.2127860019071,24.1740099558229
149,24.4730592116791,24.4274733950974
150,24.4205728295891,24.378580344254
151,24.6472269869209,24.6040502685192
152,24.6467192415296,24.6141854324902
153,24.7849302552644,24.7431466261471
154,24.6338914789513,24.6031167677876
155,24.6989347404372,24.658851292874
156,24.5826072060423,24.5423685512597
157,24.2750715223613,24.231573371138
158,24.2332024273872,24.1942630223661
159,24.420839935723,24.3757070809722
160,24.3317507566259,24.2938171991389
161,24.3394146591382,24.2991608421013
162,24.5375481001891,24.4971532441177
163,24.1827747365638,24.1438736821014
164,24.4821607478972,24.4378959742348
165,24.4517914784106,24.406345436133
166,24.0248358364588,23.9786487696657
167,23.7519371613293,23.7115492436811
168,23.7837643066274,23.7387986927363
169,23.6006785593427,23.5630978880819
170,23.8092080703226,23.7693348492945
171,23.5810919418874,23.5456946846227
172,23.8663328776334,23.8283168198508
173,24.095588420776,24.0555576996604
174,24.2321318283313,24.1938864560457
175,24.5306512100917,24.4873128692874
176,24.1012431384401,24.0688228252682
177,24.1641833788625,24.1226147958641
178,24.1033626848896,24.0644381632793
179,24.2011469337541,24.155598103649
180,24.4857444140822,24.440862628089
181,24.1951288014585,24.1463646850061
182,24.0989758325565,24.0553667539931
183,24.3607199618024,24.3196187906436
184,24.7380106928052,24.6929814818267
185,24.4451938506635,24.4004283130598
186,24.2340641360975,24.1863763045118
187,24.4770279951367,24.4384168541202
188,24.647234062439,24.6055622677238
189,24.6105437001405,24.5736199311645
190,24.9384872132315,24.8976624118663
191,24.6754505119687,24.6406124333709
192,24.8058076038005,24.7692969264863
193,24.6460088185296,24.6027788767271
194,24.6272042168696,24.5899965596638
