"FRAME","SYSTEM","RMSD"
1,"RMSD",0.000486577191622928
2,"RMSD",0.928710699081421
3,"RMSD",1.42090845108032
4,"RMSD",1.40621316432953
5,"RMSD",1.88378667831421
6,"RMSD",2.2756359577179
7,"RMSD",1.85507357120514
8,"RMSD",1.82646095752716
9,"RMSD",1.69534075260162
10,"RMSD",1.41794693470001
11,"RMSD",1.74084079265594
12,"RMSD",2.0443217754364
13,"RMSD",2.17289686203003
14,"RMSD",2.03791069984436
15,"RMSD",1.98661065101624
16,"RMSD",1.88274192810059
17,"RMSD",1.96311140060425
18,"RMSD",1.7375853061676
19,"RMSD",1.87145948410034
20,"RMSD",2.16599178314209
21,"RMSD",2.22670578956604
22,"RMSD",2.51505899429321
23,"RMSD",2.00345706939697
24,"RMSD",2.09435081481934
25,"RMSD",1.88580214977264
26,"RMSD",1.74790561199188
27,"RMSD",2.35497260093689
28,"RMSD",2.03799295425415
29,"RMSD",1.91204631328583
30,"RMSD",2.02972722053528
31,"RMSD",2.51854848861694
32,"RMSD",2.0547571182251
33,"RMSD",2.362459897995
34,"RMSD",2.02198839187622
35,"RMSD",1.7116482257843
36,"RMSD",1.59688758850098
37,"RMSD",1.76051819324493
38,"RMSD",2.00399732589722
39,"RMSD",1.97503483295441
40,"RMSD",1.89025068283081
41,"RMSD",1.61082923412323
42,"RMSD",1.63076591491699
43,"RMSD",1.78588247299194
44,"RMSD",2.02325129508972
45,"RMSD",2.36200523376465
46,"RMSD",2.55738711357117
47,"RMSD",2.67156291007996
48,"RMSD",2.43187594413757
49,"RMSD",2.11639165878296
50,"RMSD",2.33373665809631
51,"RMSD",2.66455888748169
52,"RMSD",2.73047518730164
53,"RMSD",2.56522679328918
54,"RMSD",2.41475009918213
55,"RMSD",2.78887629508972
56,"RMSD",2.77315497398376
57,"RMSD",2.67265272140503
58,"RMSD",2.83089137077332
59,"RMSD",2.87725520133972
60,"RMSD",2.52041411399841
61,"RMSD",2.76283669471741
62,"RMSD",3.34183168411255
63,"RMSD",3.11421990394592
64,"RMSD",2.62812614440918
65,"RMSD",3.16606378555298
66,"RMSD",2.84825587272644
67,"RMSD",2.81568217277527
68,"RMSD",3.47791981697083
69,"RMSD",3.62856769561768
70,"RMSD",4.08959102630615
71,"RMSD",3.68715643882751
72,"RMSD",3.57076239585876
73,"RMSD",3.66974902153015
74,"RMSD",3.21668934822083
75,"RMSD",3.4544403553009
76,"RMSD",3.61111927032471
77,"RMSD",3.43782877922058
78,"RMSD",3.64448046684265
79,"RMSD",3.04865145683289
80,"RMSD",3.32603526115417
81,"RMSD",3.33712077140808
82,"RMSD",3.25684499740601
83,"RMSD",2.95180630683899
84,"RMSD",2.79499268531799
85,"RMSD",3.01219820976257
86,"RMSD",2.6972804069519
87,"RMSD",2.51427841186523
88,"RMSD",2.25167512893677
89,"RMSD",2.25837993621826
90,"RMSD",2.43881297111511
91,"RMSD",2.57618880271912
92,"RMSD",2.93383193016052
93,"RMSD",2.94172143936157
94,"RMSD",3.2588050365448
95,"RMSD",3.08973813056946
96,"RMSD",3.20742678642273
97,"RMSD",3.32468223571777
98,"RMSD",3.5257613658905
99,"RMSD",3.45812511444092
100,"RMSD",4.21337699890137
101,"RMSD",3.90611839294434
102,"RMSD",4.03229331970215
103,"RMSD",3.99024701118469
104,"RMSD",3.84523606300354
105,"RMSD",4.26511240005493
106,"RMSD",4.28243684768677
107,"RMSD",4.15010070800781
108,"RMSD",4.00517797470093
109,"RMSD",4.49379110336304
110,"RMSD",4.30002498626709
111,"RMSD",3.80460023880005
112,"RMSD",3.81888055801392
113,"RMSD",3.64906573295593
114,"RMSD",3.26256012916565
115,"RMSD",3.47868084907532
116,"RMSD",3.58464527130127
117,"RMSD",3.5643265247345
118,"RMSD",3.52388143539429
119,"RMSD",3.30239844322205
120,"RMSD",3.61290431022644
121,"RMSD",4.07876682281494
122,"RMSD",4.32025527954102
123,"RMSD",4.4265308380127
124,"RMSD",4.32010650634766
125,"RMSD",5.10345602035522
126,"RMSD",4.48358488082886
127,"RMSD",4.53586387634277
128,"RMSD",4.59361028671265
129,"RMSD",4.39693593978882
130,"RMSD",4.75558137893677
131,"RMSD",4.01339817047119
132,"RMSD",4.18226623535156
133,"RMSD",4.50000047683716
134,"RMSD",4.91888236999512
135,"RMSD",5.04920625686646
136,"RMSD",5.20069217681885
137,"RMSD",5.43063259124756
138,"RMSD",5.36612033843994
139,"RMSD",5.03523683547974
140,"RMSD",4.16747140884399
141,"RMSD",4.70733070373535
142,"RMSD",4.30713224411011
143,"RMSD",4.872239112854
144,"RMSD",4.38935279846191
145,"RMSD",4.33255624771118
146,"RMSD",4.48071575164795
147,"RMSD",4.75910758972168
148,"RMSD",4.08228635787964
149,"RMSD",4.13752555847168
150,"RMSD",4.32237958908081
151,"RMSD",4.12045049667358
152,"RMSD",4.25287580490112
153,"RMSD",4.66460847854614
154,"RMSD",4.24570751190186
155,"RMSD",4.52479791641235
156,"RMSD",4.84069395065308
157,"RMSD",5.16279935836792
158,"RMSD",5.33296823501587
159,"RMSD",5.77867317199707
160,"RMSD",4.8585376739502
161,"RMSD",5.43829917907715
162,"RMSD",5.34125709533691
163,"RMSD",5.42972183227539
164,"RMSD",4.88839960098267
165,"RMSD",5.32753038406372
166,"RMSD",5.12602949142456
167,"RMSD",5.21684789657593
168,"RMSD",4.8707275390625
169,"RMSD",5.34655570983887
170,"RMSD",5.17347955703735
171,"RMSD",4.70295286178589
172,"RMSD",4.52495098114014
173,"RMSD",5.14303541183472
174,"RMSD",4.96713638305664
175,"RMSD",5.07428169250488
176,"RMSD",4.81858444213867
177,"RMSD",5.62560892105103
178,"RMSD",5.4716968536377
179,"RMSD",5.4551830291748
180,"RMSD",5.74133586883545
181,"RMSD",5.71955060958862
182,"RMSD",5.60155534744263
183,"RMSD",6.00672292709351
184,"RMSD",5.93216037750244
185,"RMSD",5.93706846237183
186,"RMSD",6.48316335678101
187,"RMSD",6.16733026504517
188,"RMSD",6.53951215744019
189,"RMSD",6.25144815444946
190,"RMSD",6.82199239730835
191,"RMSD",7.06176662445068
192,"RMSD",6.123854637146
193,"RMSD",6.11542081832886
194,"RMSD",6.00754451751709
195,"RMSD",6.00185632705688
196,"RMSD",6.89019155502319
197,"RMSD",7.04450082778931
198,"RMSD",6.8706431388855
199,"RMSD",7.38012218475342
200,"RMSD",6.88616991043091
201,"RMSD",6.23254537582397
202,"RMSD",6.40176868438721
203,"RMSD",6.29096794128418
204,"RMSD",6.23179721832275
205,"RMSD",6.09322738647461
206,"RMSD",6.38305759429932
207,"RMSD",5.92636585235596
208,"RMSD",6.11338186264038
209,"RMSD",5.89138317108154
210,"RMSD",6.63134145736694
211,"RMSD",7.02460479736328
212,"RMSD",6.67824125289917
213,"RMSD",7.54228019714355
214,"RMSD",6.85550117492676
215,"RMSD",7.41330766677856
216,"RMSD",7.75978994369507
217,"RMSD",7.28132009506226
218,"RMSD",7.59571933746338
219,"RMSD",7.81395101547241
220,"RMSD",7.85611391067505
221,"RMSD",7.57663440704346
222,"RMSD",6.56925582885742
223,"RMSD",6.62129926681519
224,"RMSD",6.96260166168213
225,"RMSD",6.57945728302002
226,"RMSD",6.83173990249634
227,"RMSD",6.57955598831177
228,"RMSD",6.3442587852478
229,"RMSD",6.77708864212036
230,"RMSD",6.8822135925293
231,"RMSD",6.88214778900146
232,"RMSD",7.16662979125977
233,"RMSD",6.23642110824585
234,"RMSD",6.05655384063721
235,"RMSD",6.16186189651489
236,"RMSD",6.35847043991089
237,"RMSD",6.091233253479
238,"RMSD",6.34691953659058
239,"RMSD",6.14503574371338
240,"RMSD",6.83868169784546
241,"RMSD",5.96930313110352
242,"RMSD",5.54131078720093
243,"RMSD",5.6354660987854
244,"RMSD",5.89595413208008
245,"RMSD",5.91063117980957
246,"RMSD",6.34597110748291
247,"RMSD",6.7419958114624
248,"RMSD",6.16737270355225
249,"RMSD",6.59806108474731
250,"RMSD",6.14496421813965
251,"RMSD",5.50773334503174
252,"RMSD",6.04704284667969
253,"RMSD",6.00397634506226
254,"RMSD",6.35950803756714
255,"RMSD",5.80216646194458
256,"RMSD",6.07126998901367
257,"RMSD",6.96156787872314
258,"RMSD",7.28072786331177
259,"RMSD",7.5965461730957
260,"RMSD",6.90024423599243
261,"RMSD",6.88723850250244
262,"RMSD",7.33367490768433
263,"RMSD",8.44539070129395
264,"RMSD",7.72004699707031
265,"RMSD",8.49527072906494
266,"RMSD",8.32256889343262
267,"RMSD",7.95677375793457
268,"RMSD",8.23757457733154
269,"RMSD",7.87031030654907
270,"RMSD",8.33422470092773
271,"RMSD",8.22323513031006
272,"RMSD",8.17671871185303
273,"RMSD",8.06113719940186
274,"RMSD",7.37490129470825
275,"RMSD",7.69771146774292
276,"RMSD",7.71526288986206
277,"RMSD",8.14199829101562
278,"RMSD",7.9358811378479
279,"RMSD",8.22188091278076
280,"RMSD",8.32472705841064
281,"RMSD",9.33325576782227
282,"RMSD",8.97558116912842
283,"RMSD",9.38014793395996
284,"RMSD",9.82420444488525
285,"RMSD",9.39858341217041
286,"RMSD",9.01637840270996
287,"RMSD",9.04294490814209
288,"RMSD",8.42585754394531
289,"RMSD",8.37247085571289
290,"RMSD",8.6972827911377
