"FRAME","SYSTEM","RADIOG"
1,"RADIUSG",24.5604291699205
2,"RADIUSG",24.5812253595317
3,"RADIUSG",24.6281854332997
4,"RADIUSG",24.5914486486323
5,"RADIUSG",24.5601868092101
6,"RADIUSG",24.5205901661578
7,"RADIUSG",24.8829679252439
8,"RADIUSG",24.5867581279825
9,"RADIUSG",24.6232681064265
10,"RADIUSG",24.6397365521927
11,"RADIUSG",24.7142947349084
12,"RADIUSG",24.4592834567295
13,"RADIUSG",24.9367435764581
14,"RADIUSG",24.9874296102519
15,"RADIUSG",25.0236406226171
16,"RADIUSG",24.8239795486734
17,"RADIUSG",24.8771595407796
18,"RADIUSG",24.2278214980536
19,"RADIUSG",24.3041454472421
20,"RADIUSG",24.1661123977154
21,"RADIUSG",24.1667674283144
22,"RADIUSG",24.119060369393
23,"RADIUSG",23.9189950284623
24,"RADIUSG",23.9410598199943
25,"RADIUSG",23.8234919886112
26,"RADIUSG",23.8836985862742
27,"RADIUSG",23.8514148359571
28,"RADIUSG",23.7478405372454
29,"RADIUSG",24.1702070934716
30,"RADIUSG",24.2018494426233
31,"RADIUSG",24.0278852147232
32,"RADIUSG",24.1000728627046
33,"RADIUSG",24.1953477729652
34,"RADIUSG",24.2319592520076
35,"RADIUSG",24.6158393045999
36,"RADIUSG",24.2762190240153
37,"RADIUSG",23.9329985063188
38,"RADIUSG",23.9485916754591
39,"RADIUSG",23.5504638829819
40,"RADIUSG",23.4772712137483
41,"RADIUSG",23.1973595067501
42,"RADIUSG",23.5930920609181
43,"RADIUSG",23.7609684483305
44,"RADIUSG",23.7479265828237
45,"RADIUSG",23.7594251650594
46,"RADIUSG",23.855128592018
47,"RADIUSG",23.7675571514292
48,"RADIUSG",23.9975173819444
49,"RADIUSG",24.078265682171
50,"RADIUSG",24.0438117413079
51,"RADIUSG",24.0891991416897
52,"RADIUSG",24.4383276963839
53,"RADIUSG",24.3574273314225
54,"RADIUSG",23.8260853728134
55,"RADIUSG",24.2445104299953
56,"RADIUSG",24.2992817754847
57,"RADIUSG",24.4941514551954
58,"RADIUSG",24.3595111102898
59,"RADIUSG",24.3827702342549
60,"RADIUSG",23.9805226597512
61,"RADIUSG",23.9098271386052
62,"RADIUSG",23.6106608014226
63,"RADIUSG",23.8005295288132
64,"RADIUSG",23.4124792885417
65,"RADIUSG",23.639026689721
66,"RADIUSG",23.9428129588007
67,"RADIUSG",24.1985322397958
68,"RADIUSG",23.9162374540314
69,"RADIUSG",24.0236420421904
70,"RADIUSG",24.0438506186649
71,"RADIUSG",24.1419585804287
72,"RADIUSG",24.4557087070479
73,"RADIUSG",24.6502862844107
74,"RADIUSG",24.6675231683082
75,"RADIUSG",24.9217303326433
76,"RADIUSG",24.8182344408127
77,"RADIUSG",25.4644261873026
78,"RADIUSG",25.3402309812503
79,"RADIUSG",25.3622345266649
80,"RADIUSG",25.5777797499497
81,"RADIUSG",25.6204964042272
82,"RADIUSG",25.4565159576498
83,"RADIUSG",25.2556926206639
84,"RADIUSG",24.6973816228356
85,"RADIUSG",24.5629162801133
86,"RADIUSG",24.6421318176071
87,"RADIUSG",23.9655067346238
88,"RADIUSG",24.0794665926633
89,"RADIUSG",23.9427023079503
90,"RADIUSG",23.7669816557862
91,"RADIUSG",24.1222768001321
92,"RADIUSG",24.3132963073314
93,"RADIUSG",24.3477742387487
94,"RADIUSG",24.3126046528257
95,"RADIUSG",23.9437390234311
96,"RADIUSG",23.925559575891
97,"RADIUSG",24.5216924095032
98,"RADIUSG",24.6062366546288
99,"RADIUSG",24.500221957374
100,"RADIUSG",24.3621141914766
101,"RADIUSG",24.3481700762733
102,"RADIUSG",24.4457095880139
103,"RADIUSG",24.7370277811727
104,"RADIUSG",25.1201575141744
105,"RADIUSG",25.0461735605979
106,"RADIUSG",24.199278665425
107,"RADIUSG",23.8844914479825
108,"RADIUSG",23.7580089066686
109,"RADIUSG",23.8892562683265
110,"RADIUSG",23.7474613419962
111,"RADIUSG",23.5777693383722
112,"RADIUSG",23.3445721012123
113,"RADIUSG",23.4581374985396
114,"RADIUSG",23.2009312015237
115,"RADIUSG",23.3062915000269
116,"RADIUSG",23.5088940030059
117,"RADIUSG",23.4585146120242
118,"RADIUSG",23.5530644466773
