POSE, TYPE, FRAME, RADIOG
sw06_Complex, Protein, 67, 24.2347843460432
sw06_Complex, Complex, 67, 24.19853223979577
sw06_Complex, Protein, 68, 23.949979475673075
sw06_Complex, Complex, 68, 23.91623745403143
sw06_Complex, Protein, 69, 24.061470699395446
sw06_Complex, Complex, 69, 24.02364204219039
sw06_Complex, Protein, 70, 24.083750478219656
sw06_Complex, Complex, 70, 24.043850618664933
sw06_Complex, Protein, 71, 24.183510738529776
sw06_Complex, Complex, 71, 24.14195858042875
sw06_Complex, Protein, 72, 24.50009390871432
sw06_Complex, Complex, 72, 24.455708707047894
sw06_Complex, Protein, 73, 24.694013001700608
sw06_Complex, Complex, 73, 24.650286284410747
sw06_Complex, Protein, 74, 24.70928556986612
sw06_Complex, Complex, 74, 24.667523168308197
sw06_Complex, Protein, 75, 24.968438419159586
sw06_Complex, Complex, 75, 24.921730332643335
sw06_Complex, Protein, 76, 24.858805602203482
sw06_Complex, Complex, 76, 24.818234440812702
sw06_Complex, Protein, 77, 25.509826058995966
sw06_Complex, Complex, 77, 25.464426187302625
sw06_Complex, Protein, 78, 25.381768133163188
sw06_Complex, Complex, 78, 25.340230981250286
sw06_Complex, Protein, 79, 25.41293859214329
sw06_Complex, Complex, 79, 25.36223452666491
sw06_Complex, Protein, 80, 25.62499039320911
sw06_Complex, Complex, 80, 25.57777974994973
sw06_Complex, Protein, 81, 25.66569674937277
sw06_Complex, Complex, 81, 25.620496404227165
sw06_Complex, Protein, 82, 25.492918512586538
sw06_Complex, Complex, 82, 25.4565159576498
sw06_Complex, Protein, 83, 25.296560168430798
sw06_Complex, Complex, 83, 25.25569262066388
sw06_Complex, Protein, 84, 24.74281039639962
sw06_Complex, Complex, 84, 24.697381622835593
sw06_Complex, Protein, 85, 24.605330291124364
sw06_Complex, Complex, 85, 24.562916280113328
sw06_Complex, Protein, 86, 24.68044647601939
sw06_Complex, Complex, 86, 24.642131817607115
sw06_Complex, Protein, 87, 24.006952167941257
sw06_Complex, Complex, 87, 23.965506734623833
sw06_Complex, Protein, 88, 24.118479117179177
sw06_Complex, Complex, 88, 24.079466592663305
sw06_Complex, Protein, 89, 23.984194767343315
sw06_Complex, Complex, 89, 23.94270230795029
sw06_Complex, Protein, 90, 23.80607681758046
sw06_Complex, Complex, 90, 23.766981655786218
sw06_Complex, Protein, 91, 24.162952268811214
sw06_Complex, Complex, 91, 24.122276800132088
sw06_Complex, Protein, 92, 24.357033398456707
sw06_Complex, Complex, 92, 24.31329630733141
sw06_Complex, Protein, 93, 24.394539470219662
sw06_Complex, Complex, 93, 24.347774238748734
sw06_Complex, Protein, 94, 24.36302094700442
sw06_Complex, Complex, 94, 24.312604652825662
sw06_Complex, Protein, 95, 23.989392261190464
sw06_Complex, Complex, 95, 23.9437390234311
sw06_Complex, Protein, 96, 23.97117214572593
sw06_Complex, Complex, 96, 23.925559575890997
sw06_Complex, Protein, 97, 24.56151853478678
sw06_Complex, Complex, 97, 24.521692409503228
sw06_Complex, Protein, 98, 24.652088755477607
sw06_Complex, Complex, 98, 24.606236654628812
sw06_Complex, Protein, 99, 24.544498106605563
sw06_Complex, Complex, 99, 24.50022195737404
sw06_Complex, Protein, 100, 24.403990400234964
sw06_Complex, Complex, 100, 24.36211419147663
sw06_Complex, Protein, 101, 24.38414699421091
sw06_Complex, Complex, 101, 24.348170076273274
sw06_Complex, Protein, 102, 24.48768485930931
sw06_Complex, Complex, 102, 24.445709588013894
sw06_Complex, Protein, 103, 24.777267753167738
sw06_Complex, Complex, 103, 24.737027781172657
sw06_Complex, Protein, 104, 25.157506881026013
sw06_Complex, Complex, 104, 25.120157514174355
sw06_Complex, Protein, 105, 25.082728852202383
sw06_Complex, Complex, 105, 25.04617356059787
sw06_Complex, Protein, 106, 24.234037064948904
sw06_Complex, Complex, 106, 24.199278665424977
sw06_Complex, Protein, 107, 23.921240168814062
sw06_Complex, Complex, 107, 23.884491447982484
sw06_Complex, Protein, 108, 23.79282296404444
sw06_Complex, Complex, 108, 23.75800890666861
sw06_Complex, Protein, 109, 23.929123164814463
sw06_Complex, Complex, 109, 23.889256268326516
sw06_Complex, Protein, 110, 23.782744243779266
sw06_Complex, Complex, 110, 23.747461341996207
sw06_Complex, Protein, 111, 23.615625410079396
sw06_Complex, Complex, 111, 23.577769338372207
sw06_Complex, Protein, 112, 23.37732806113996
sw06_Complex, Complex, 112, 23.344572101212332
sw06_Complex, Protein, 113, 23.495425692022895
sw06_Complex, Complex, 113, 23.45813749853963
sw06_Complex, Protein, 114, 23.23912630806386
sw06_Complex, Complex, 114, 23.2009312015237
sw06_Complex, Protein, 115, 23.347596208897016
sw06_Complex, Complex, 115, 23.306291500026852
sw06_Complex, Protein, 116, 23.548874430975882
sw06_Complex, Complex, 116, 23.508894003005906
sw06_Complex, Protein, 117, 23.500246086055697
sw06_Complex, Complex, 117, 23.458514612024207
sw06_Complex, Protein, 118, 23.59381008540825
sw06_Complex, Complex, 118, 23.553064446677308
sw06_Complex, Protein, 119, 23.646078910273456
sw06_Complex, Complex, 119, 23.60462105857936
sw06_Complex, Protein, 120, 23.60301437747041
sw06_Complex, Complex, 120, 23.5649561899432
sw06_Complex, Protein, 121, 23.717533915674643
sw06_Complex, Complex, 121, 23.680091014871188
sw06_Complex, Protein, 122, 23.925630812363725
sw06_Complex, Complex, 122, 23.88718290835588
sw06_Complex, Protein, 123, 24.002392955036786
sw06_Complex, Complex, 123, 23.96369738277379
sw06_Complex, Protein, 124, 24.295238033007237
sw06_Complex, Complex, 124, 24.256874855076514
sw06_Complex, Protein, 125, 24.137102527585586
sw06_Complex, Complex, 125, 24.096942430310147
sw06_Complex, Protein, 126, 24.084634383028067
sw06_Complex, Complex, 126, 24.04532966100782
sw06_Complex, Protein, 127, 23.967791308205378
sw06_Complex, Complex, 127, 23.926708688421627
sw06_Complex, Protein, 128, 23.881309902736668
sw06_Complex, Complex, 128, 23.842984223074218
sw06_Complex, Protein, 129, 23.899788771025
sw06_Complex, Complex, 129, 23.859813002616917
sw06_Complex, Protein, 130, 23.971176570455928
sw06_Complex, Complex, 130, 23.9295737529074
sw06_Complex, Protein, 131, 24.159892933049903
sw06_Complex, Complex, 131, 24.120468310083908
sw06_Complex, Protein, 132, 24.359272342913428
sw06_Complex, Complex, 132, 24.309408977485838
sw06_Complex, Protein, 133, 23.982889078820822
sw06_Complex, Complex, 133, 23.94661002422099
sw06_Complex, Protein, 134, 23.910477209413894
sw06_Complex, Complex, 134, 23.86245015959679
sw06_Complex, Protein, 135, 23.56763544921411
sw06_Complex, Complex, 135, 23.51973742336204
sw06_Complex, Protein, 136, 23.483947470531522
sw06_Complex, Complex, 136, 23.436513642117355
sw06_Complex, Protein, 137, 23.6555917862941
sw06_Complex, Complex, 137, 23.606794371515964
sw06_Complex, Protein, 138, 23.562365172050036
sw06_Complex, Complex, 138, 23.513368779465832
sw06_Complex, Protein, 139, 23.44072534200833
sw06_Complex, Complex, 139, 23.38976450474631
sw06_Complex, Protein, 140, 23.474147230657856
sw06_Complex, Complex, 140, 23.428226755265896
sw06_Complex, Protein, 141, 23.558973243730385
sw06_Complex, Complex, 141, 23.51675962301755
sw06_Complex, Protein, 142, 23.539946797158073
sw06_Complex, Complex, 142, 23.499904853084292
sw06_Complex, Protein, 143, 23.278178940178535
sw06_Complex, Complex, 143, 23.243576119214463
sw06_Complex, Protein, 144, 23.557203419818936
sw06_Complex, Complex, 144, 23.517762755748723
sw06_Complex, Protein, 145, 23.53667688558149
sw06_Complex, Complex, 145, 23.498786108140866
sw06_Complex, Protein, 146, 23.398065434856058
sw06_Complex, Complex, 146, 23.35843317768077
sw06_Complex, Protein, 147, 23.543520991046137
sw06_Complex, Complex, 147, 23.50108230211883
sw06_Complex, Protein, 148, 23.646403002246007
sw06_Complex, Complex, 148, 23.604368992688908
sw06_Complex, Protein, 149, 23.670364543484236
sw06_Complex, Complex, 149, 23.629176082351904
sw06_Complex, Protein, 150, 23.302418757738845
sw06_Complex, Complex, 150, 23.256664440398172
sw06_Complex, Protein, 151, 23.218854775601805
sw06_Complex, Complex, 151, 23.175556410680613
sw06_Complex, Protein, 152, 23.10357136933642
sw06_Complex, Complex, 152, 23.06217606794307
sw06_Complex, Protein, 153, 23.295252807580685
sw06_Complex, Complex, 153, 23.25132162598844
sw06_Complex, Protein, 154, 23.0421058771788
sw06_Complex, Complex, 154, 22.99944421236181
sw06_Complex, Protein, 155, 23.428341137603848
sw06_Complex, Complex, 155, 23.38730521827163
sw06_Complex, Protein, 156, 23.31269800899488
sw06_Complex, Complex, 156, 23.270547982962974
sw06_Complex, Protein, 157, 23.65000014419286
sw06_Complex, Complex, 157, 23.606600634058196
sw06_Complex, Protein, 158, 23.984524050435155
sw06_Complex, Complex, 158, 23.942102615031907
sw06_Complex, Protein, 159, 24.172922414388207
sw06_Complex, Complex, 159, 24.13051415319343
sw06_Complex, Protein, 160, 24.073112768248276
sw06_Complex, Complex, 160, 24.0244005050106
sw06_Complex, Protein, 161, 23.803192175860957
sw06_Complex, Complex, 161, 23.760341062788722
sw06_Complex, Protein, 162, 23.871556383865126
sw06_Complex, Complex, 162, 23.82888316530011
sw06_Complex, Protein, 163, 24.264051223288856
sw06_Complex, Complex, 163, 24.218161865537436
sw06_Complex, Protein, 164, 24.60798634862992
sw06_Complex, Complex, 164, 24.558304478972328
sw06_Complex, Protein, 165, 24.21480850628992
sw06_Complex, Complex, 165, 24.171647303302063
sw06_Complex, Protein, 166, 24.38940534586623
sw06_Complex, Complex, 166, 24.345688577506913
sw06_Complex, Protein, 167, 24.529443957641007
sw06_Complex, Complex, 167, 24.48681981119926
sw06_Complex, Protein, 168, 24.200280885008002
sw06_Complex, Complex, 168, 24.160874118155647
sw06_Complex, Protein, 169, 23.98613168339664
sw06_Complex, Complex, 169, 23.94490858964968
sw06_Complex, Protein, 170, 24.414403296550436
