POSE, FRAME, TYPE, RMSD
sw06_Full,151,Protein,8.486848831176758
sw06_Full,152,Protein,8.471046447753906
sw06_Full,153,Protein,8.8765287399292
sw06_Full,154,Protein,9.074490547180176
sw06_Full,155,Protein,8.884016036987305
sw06_Full,156,Protein,8.559231758117676
sw06_Full,157,Protein,8.496063232421875
sw06_Full,158,Protein,8.245970726013184
sw06_Full,159,Protein,8.367177963256836
sw06_Full,160,Protein,8.065887451171875
sw06_Full,161,Protein,8.184972763061523
sw06_Full,162,Protein,8.246837615966797
sw06_Full,163,Protein,8.187529563903809
sw06_Full,164,Protein,8.535905838012695
sw06_Full,165,Protein,8.141213417053223
sw06_Full,166,Protein,7.632004737854004
sw06_Full,167,Protein,7.7939958572387695
sw06_Full,168,Protein,7.396730899810791
sw06_Full,169,Protein,7.751333236694336
sw06_Full,170,Protein,7.3877692222595215
sw06_Full,171,Protein,7.787815570831299
sw06_Full,172,Protein,8.193487167358398
sw06_Full,173,Protein,8.234458923339844
sw06_Full,174,Protein,8.004936218261719
sw06_Full,175,Protein,8.444940567016602
sw06_Full,176,Protein,8.57106876373291
sw06_Full,177,Protein,8.274232864379883
sw06_Full,178,Protein,7.615623474121094
sw06_Full,179,Protein,7.157827377319336
sw06_Full,180,Protein,7.128214359283447
sw06_Full,181,Protein,7.381808757781982
sw06_Full,182,Protein,7.6396164894104
sw06_Full,183,Protein,7.303385257720947
sw06_Full,184,Protein,7.272732734680176
sw06_Full,185,Protein,7.136440277099609
sw06_Full,186,Protein,7.453360080718994
sw06_Full,187,Protein,7.7362518310546875
sw06_Full,188,Protein,7.29435920715332
sw06_Full,189,Protein,7.517751693725586
sw06_Full,190,Protein,7.925050735473633
sw06_Full,191,Protein,7.79701042175293
sw06_Full,192,Protein,7.896102428436279
sw06_Full,193,Protein,7.769393444061279
sw06_Full,194,Protein,7.138956546783447
sw06_Full,195,Protein,7.196175575256348
sw06_Full,196,Protein,7.546998500823975
sw06_Full,197,Protein,7.4774980545043945
sw06_Full,198,Protein,7.226332187652588
sw06_Full,199,Protein,7.50391960144043
sw06_Full,200,Protein,7.695343494415283
sw06_Full,201,Protein,7.5741658210754395
sw06_Full,202,Protein,7.2496514320373535
sw06_Full,203,Protein,7.232552528381348
sw06_Full,204,Protein,6.795731544494629
sw06_Full,205,Protein,6.534347057342529
sw06_Full,206,Protein,7.050514221191406
sw06_Full,207,Protein,7.114681243896484
sw06_Full,208,Protein,7.570504188537598
sw06_Full,209,Protein,7.796822547912598
sw06_Full,210,Protein,7.896182537078857
sw06_Full,211,Protein,8.47462272644043
sw06_Full,212,Protein,8.575346946716309
sw06_Full,213,Protein,8.679082870483398
sw06_Full,214,Protein,8.78981876373291
sw06_Full,215,Protein,8.57589054107666
sw06_Full,216,Protein,8.244720458984375
sw06_Full,217,Protein,7.844247817993164
sw06_Full,218,Protein,7.953001022338867
sw06_Full,219,Protein,7.433177471160889
sw06_Full,220,Protein,7.764794826507568
sw06_Full,221,Protein,7.911035060882568
sw06_Full,222,Protein,8.121442794799805
sw06_Full,223,Protein,8.15652847290039
sw06_Full,224,Protein,8.434014320373535
sw06_Full,225,Protein,7.8061909675598145
sw06_Full,226,Protein,8.223393440246582
sw06_Full,227,Protein,8.513348579406738
sw06_Full,228,Protein,8.433677673339844
sw06_Full,229,Protein,8.395849227905273
sw06_Full,230,Protein,8.671177864074707
sw06_Full,231,Protein,8.351824760437012
sw06_Full,232,Protein,8.377331733703613
sw06_Full,233,Protein,8.827198028564453
sw06_Full,234,Protein,8.551849365234375
sw06_Full,235,Protein,8.936137199401855
sw06_Full,236,Protein,8.435214042663574
