FRAME, TYPE, RMSD
1,Ligand,0.757316529750824
2,Ligand,0.6029485464096069
3,Ligand,1.2712491750717163
4,Ligand,0.633672833442688
5,Ligand,0.5681958794593811
6,Ligand,0.5490112900733948
7,Ligand,0.6482919454574585
8,Ligand,0.474202960729599
9,Ligand,0.35217657685279846
10,Ligand,0.4539242088794708
11,Ligand,0.6429275274276733
12,Ligand,0.30509936809539795
13,Ligand,0.6772023439407349
14,Ligand,0.6394251585006714
15,Ligand,0.558634340763092
16,Ligand,0.5136823654174805
17,Ligand,0.49680566787719727
18,Ligand,0.5357088446617126
19,Ligand,0.5484088659286499
20,Ligand,0.4139784276485443
21,Ligand,0.5104733109474182
22,Ligand,0.33729150891304016
23,Ligand,0.2612025737762451
24,Ligand,0.7613519430160522
25,Ligand,0.5234630107879639
26,Ligand,0.6284210085868835
27,Ligand,0.5596939921379089
28,Ligand,0.9571532607078552
29,Ligand,0.7688592076301575
30,Ligand,0.8918848037719727
31,Ligand,0.5695193409919739
32,Ligand,0.6305342316627502
33,Ligand,0.6065875291824341
34,Ligand,0.5038915276527405
35,Ligand,0.3875594139099121
36,Ligand,0.579849123954773
37,Ligand,0.9607892036437988
38,Ligand,0.7075542211532593
39,Ligand,0.3932769298553467
40,Ligand,0.3909229338169098
41,Ligand,0.5002487897872925
42,Ligand,0.40655723214149475
43,Ligand,0.6127434372901917
44,Ligand,0.4785717725753784
45,Ligand,0.5438312888145447
46,Ligand,0.4851849377155304
47,Ligand,0.5037121176719666
48,Ligand,0.5514981150627136
49,Ligand,0.8803697824478149
50,Ligand,0.5178990960121155
51,Ligand,0.738660991191864
52,Ligand,0.3705158233642578
53,Ligand,0.42890167236328125
54,Ligand,0.32491061091423035
55,Ligand,0.3787764012813568
56,Ligand,0.6655200719833374
57,Ligand,0.5696921944618225
58,Ligand,0.8723381757736206
59,Ligand,0.38227951526641846
60,Ligand,0.40801969170570374
61,Ligand,0.36423149704933167
62,Ligand,0.2659674286842346
63,Ligand,0.5237130522727966
64,Ligand,0.49401581287384033
65,Ligand,0.6237100958824158
66,Ligand,0.5935998558998108
67,Ligand,0.23933324217796326
68,Ligand,0.4340444505214691
69,Ligand,0.48480483889579773
70,Ligand,0.3450038433074951
71,Ligand,0.4980052709579468
72,Ligand,0.7573981285095215
73,Ligand,0.4298379123210907
74,Ligand,0.5052530169487
75,Ligand,0.4767184257507324
76,Ligand,0.6003249883651733
77,Ligand,0.6604610085487366
78,Ligand,0.41538479924201965
79,Ligand,0.4985542893409729
80,Ligand,0.7851901054382324
81,Ligand,0.917492151260376
82,Ligand,0.6733093857765198
83,Ligand,0.7242099642753601
84,Ligand,0.7019316554069519
85,Ligand,0.5245686769485474
86,Ligand,0.23219895362854004
87,Ligand,0.42017853260040283
88,Ligand,0.6172960996627808
89,Ligand,0.5633693933486938
90,Ligand,0.34658610820770264
91,Ligand,0.538013756275177
92,Ligand,0.36383941769599915
93,Ligand,0.279483437538147
94,Ligand,0.5000492930412292
95,Ligand,0.44701457023620605
96,Ligand,0.9736414551734924
97,Ligand,0.6763829588890076
98,Ligand,0.7320125699043274
99,Ligand,0.37131986021995544
100,Ligand,0.3719246983528137
101,Ligand,0.37150341272354126
