FRAME, xTrans, yTrans, zTrans
1, 1.5019443929195404,-0.655784972012043,0.6133804321289063
2, 2.2521413266658783,-2.0547675490379333,-0.061798095703125
3, 2.32669934630394,-1.3932046294212341,0.18788528442382813
4, 2.434877246618271,-0.713836669921875,0.4031105041503906
5, 2.067961424589157,-0.7781263738870621,1.2500419616699219
6, 1.0022685825824738,-1.1628446578979492,0.3415107727050781
7, 0.6241243779659271,-0.9272604584693909,0.4555473327636719
8, 0.3206455297768116,-0.44399289786815643,-0.07057952880859375
9, 0.4869738221168518,-0.06859686970710754,0.236907958984375
10, 0.7839669287204742,-0.2233889400959015,0.484832763671875
11, -0.11574992537498474,0.18923187255859375,1.3624229431152344
12, -0.4947182238101959,0.3477821350097656,-0.7805938720703125
13, -0.039344847202301025,-0.07899650931358337,-1.3617134094238281
14, -0.21380692720413208,0.5806038975715637,-1.3062362670898438
15, 0.09789790213108063,-0.7897123694419861,-2.101116180419922
16, -0.007314503192901611,-0.2666265070438385,-0.9962158203125
17, 0.11158199608325958,0.17296719551086426,-0.5854911804199219
18, -0.6682754456996918,0.1262897253036499,-0.00582122802734375
19, -0.637027233839035,-0.030225694179534912,-0.33386993408203125
20, -0.7706176340579987,-0.8535568714141846,-0.6484947204589844
21, -0.5510062277317047,-2.072320520877838,-1.3282661437988281
22, 0.22481001541018486,-1.545780897140503,-0.5018882751464844
23, 0.0981781929731369,-2.3337785601615906,-0.14612197875976563
24, 0.5913345217704773,-2.266029179096222,-0.8388481140136719
25, 1.2285500466823578,-2.508731424808502,-1.1586380004882813
26, 0.8021176159381866,-2.8552505373954773,-1.9897689819335938
27, -0.24496999382972717,-2.5839635729789734,-1.5407600402832031
28, -0.09825903177261353,-2.346597731113434,-1.4127616882324219
29, -1.0017675459384918,-3.303656041622162,-1.3843116760253906
30, -0.0639239251613617,-3.8698427081108093,-0.5973968505859375
31, -0.009265720844268799,-3.7218894362449646,-0.372161865234375
32, -0.7329783737659454,-3.3488582968711853,0.5636405944824219
33, -1.1774384081363678,-4.322069823741913,-0.6925888061523438
34, -1.9731217920780182,-3.854461371898651,0.3130149841308594
35, -2.824585348367691,-3.993179500102997,0.08168411254882813
36, -3.9997150003910065,-2.9792420268058777,-0.1528167724609375
37, -3.102950245141983,-2.799278438091278,0.3643379211425781
38, -2.5826691687107086,-2.9459075331687927,-0.3914680480957031
39, -2.035046488046646,-1.7227408289909363,-0.5866241455078125
40, -2.0523280203342438,-1.4739992022514343,0.2801513671875
41, -1.1828663647174835,-1.4654280543327332,0.15509796142578125
42, -0.659528523683548,-0.6967195123434067,0.67535400390625
43, -0.4163214862346649,-0.6929026991128922,1.1045074462890625
44, -0.8703384697437286,-0.8808643817901611,0.7115821838378906
45, 0.01191568374633789,-1.686256468296051,-0.16654586791992188
46, -0.2851239740848541,-1.2455261945724487,1.3266563415527344
47, -1.6519781649112701,-1.0059457421302795,1.1287918090820313
48, -0.6160914599895477,-0.42636838555336,1.1946792602539063
49, 1.0202918946743011,-0.6225930526852608,1.2366485595703125
50, 1.0137105882167816,-1.8573115468025208,1.0792236328125
51, 2.5067943036556244,-1.9585313200950623,-0.2497100830078125
52, 1.601691335439682,-2.1720808148384094,-0.6648368835449219
53, 1.3569947183132172,-2.6027712225914,-1.2799263000488281
54, 1.8089581429958344,-2.297079622745514,-2.415435791015625
55, 2.4642911851406097,-2.3951595425605774,-2.7505416870117188
56, 3.7030530869960785,-0.789373517036438,-2.2130088806152344
57, 3.3888183534145355,-0.6794903948903084,-3.082550048828125
58, 3.5147391259670258,-0.9782367944717407,-2.5382347106933594
59, 2.3859101235866547,-0.6344671174883842,-2.6400375366210938
60, 2.216422289609909,-0.6827314496040344,-2.657806396484375
61, 2.053696721792221,-0.8584480583667755,-1.8457489013671875
62, 2.01834973692894,-1.2438710927963257,-2.4034156799316406
63, 0.6930203139781952,-1.236276388168335,-2.2184791564941406
64, 1.275702327489853,-1.54275643825531,-1.6940536499023438
65, 1.8879755437374115,-2.529698431491852,-0.5527305603027344
66, 1.9707818925380707,-1.6845045685768127,-0.5543746948242188
67, 2.325054258108139,-1.144016981124878,-0.7762527465820313
68, 2.5966425836086273,-1.1922007203102112,-0.7487564086914063
69, 2.60703906416893,-2.2120627760887146,-1.0292778015136719
70, 3.5055242478847504,-2.3187190890312195,-0.4535408020019531
71, 5.356369346380234,-2.930085837841034,-0.7950096130371094
72, 5.210178703069687,-3.023452937602997,-1.0516738891601563
73, 5.439530223608017,-3.9308997988700867,-0.218292236328125
74, 4.5026839673519135,-4.224686801433563,-1.2892723083496094
75, 3.8767851293087006,-4.478605926036835,0.8291740417480469
76, 4.067003101110458,-4.409656465053558,1.5651435852050781
77, 3.3546269834041595,-4.4505104422569275,2.1156158447265625
78, 3.4767585694789886,-4.396047532558441,1.4593658447265625
79, 3.8279269635677338,-5.0048293471336365,1.5186233520507813
80, 4.253466933965683,-4.353547036647797,1.5979728698730469
81, 3.8911958634853363,-2.8740338683128357,1.832122802734375
82, 4.855702251195908,-3.9011492133140564,1.9195213317871094
83, 5.320858806371689,-4.579800069332123,2.392261505126953
84, 5.240645736455917,-3.7126237750053406,2.4430809020996094
85, 5.474171966314316,-3.6628093123435974,1.842620849609375
86, 5.399470657110214,-4.707888543605804,2.134754180908203
87, 5.806330531835556,-4.373734891414642,1.4702987670898438
88, 4.166379064321518,-4.019267976284027,1.2023429870605469
89, 4.711325496435165,-4.0753766894340515,2.0007972717285156
90, 4.947287887334824,-4.019399106502533,2.1008377075195313
91, 4.560592502355576,-3.851141631603241,1.79278564453125
92, 4.276372522115707,-5.04128497838974,1.9021949768066406
93, 5.251599162817001,-4.378617227077484,1.8367767333984375
94, 5.672159045934677,-4.705583035945892,2.4302520751953125
95, 6.042173236608505,-4.269350230693817,2.312694549560547
96, 6.404511779546738,-4.184356391429901,1.2626724243164063
97, 7.158830493688583,-3.794646918773651,0.1343994140625
98, 7.156562656164169,-4.335876405239105,0.5610885620117188
99, 8.627558082342148,-4.173422276973724,-0.4881401062011719
100, 8.257176727056503,-5.21823924779892,-0.7634811401367188
101, 8.955992072820663,-4.57461017370224,-0.4215126037597656
102, 9.647822707891464,-5.67474502325058,-0.4859504699707031
103, 9.976299613714218,-4.671739041805267,-0.1670684814453125
104, 9.812799781560898,-4.74835342168808,-1.2818679809570313
105, 9.169120162725449,-5.086509644985199,-2.0475502014160156
106, 9.200116485357285,-4.859548985958099,-2.51837158203125
107, 8.540119498968124,-3.3602585196495056,-1.3825759887695313
108, 6.7006352841854095,-3.865207850933075,-0.988433837890625
109, 7.147427886724472,-3.4921926856040955,-1.5563316345214844
110, 7.70772585272789,-3.9586753249168396,-1.2443656921386719
111, 8.669606536626816,-3.2144333720207214,-1.3689727783203125
112, 9.471579879522324,-3.78953355550766,-2.575420379638672
113, 9.044234603643417,-3.825337827205658,-3.310344696044922
