FRAME, RADIUSG
1, 25.205620776190056
2, 25.394554348332676
3, 25.45557148890639
4, 24.805660046891933
5, 24.44974145979505
6, 24.42430998707848
7, 24.825916917383935
8, 24.75631743203964
9, 24.91230908262556
10, 24.365329806691367
11, 24.484673324384048
12, 24.536398090402727
13, 24.726049647825754
14, 24.74654718793561
15, 24.090508500902597
16, 24.519216931577333
17, 24.495348735217323
18, 24.238010379239093
19, 23.921721601721288
20, 23.905499658773664
21, 23.932659605443284
22, 23.47449761332385
23, 23.459190886914303
24, 23.486898157988044
25, 23.74672823856278
26, 23.53271277117463
27, 23.76549994897007
28, 23.65375329874946
29, 23.336552073242245
30, 23.114553712512873
31, 23.227460238084063
32, 22.927619328589277
33, 22.867793152547787
34, 22.961529358316383
35, 23.222644176622918
36, 23.2919952573223
37, 23.349986068828407
38, 23.154478153168988
39, 23.665366891137282
40, 23.546341762489526
41, 24.12262209986838
42, 23.965352404640985
43, 23.853203657797053
44, 23.605138607165827
45, 23.652414025449534
46, 23.691348849269893
47, 23.772122869911165
48, 23.84399365514661
49, 24.212243398464075
50, 24.27244095981672
51, 23.859556533787636
52, 23.974090672618676
53, 23.671482392051235
54, 23.26754273945258
55, 23.208523176975966
56, 23.29919698423891
57, 23.73052816964911
58, 24.06221814629132
59, 24.151338892044073
60, 23.755460513840887
61, 23.752674836567717
62, 23.70848661001888
63, 24.10692287411547
64, 24.126369282902463
65, 24.17616438902906
66, 24.460266012854966
67, 24.324990375128877
68, 24.298767045004894
69, 24.116120013410693
70, 24.04326364137564
71, 24.037133812794373
72, 24.335448075181322
73, 24.461930573742357
74, 24.480094643524833
75, 24.332033140696737
76, 24.31619257172238
77, 24.333309914978067
78, 24.488509119270677
79, 24.547283415976533
80, 24.438715207957166
81, 24.51361182914994
82, 24.450357052371192
83, 24.57006549583269
84, 24.219540800338315
85, 24.3587726355572
86, 23.83067492677502
87, 24.05441147312918
88, 24.178821767054874
89, 24.296876792940484
90, 24.493740954190763
91, 24.690793899672034
92, 24.923422883819494
93, 24.97996981296283
94, 24.908709802517198
95, 24.777444978744636
96, 25.46247878425522
97, 25.22908956619328
98, 25.62481628838055
99, 25.747859502911233
100, 26.016390245398842
101, 25.942033148439677
102, 26.13493304974797
103, 25.865384794406506
104, 25.761576472049462
105, 26.054429215050003
106, 26.01671183751286
107, 26.051463745133333
108, 25.667552014732788
109, 25.925728500476023
110, 26.011766197550635
111, 25.65312040493358
112, 25.696536892704742
113, 25.33053987038747
114, 25.184117719138182
115, 24.89751195039437
116, 24.65095539301604
117, 24.592027897286705
118, 24.787346699471396
119, 25.03837617512084
120, 25.32423433197534
121, 25.400959040540794
122, 25.61117626902792
123, 25.46793933982054
124, 25.20057648606694
125, 25.571542437030256
126, 24.816107244962357
127, 24.991432232881692
128, 25.222289982648626
129, 25.00608573214237
130, 25.342898756554256
131, 24.98782211965196
132, 25.13351943660303
133, 25.143871919887548
134, 25.17891807553928
135, 25.24338448605804
136, 25.269647646625934
137, 25.09353722406687
138, 25.249468646148674
139, 24.69287566519605
140, 24.765215860568176
141, 24.772199322486337
142, 25.21802922195603
143, 25.456647644676888
144, 25.3833523829259
145, 25.22180892552097
146, 25.322630352391027
147, 25.297045994609
148, 25.192271255184814
149, 24.986549026790108
150, 25.118927652872593
151, 25.086765159083882
152, 24.985050529329364
153, 25.051071630469906
154, 24.90149500337624
155, 24.977126792731028
156, 24.93578252661741
157, 25.288505915066747
158, 25.39007986523895
159, 25.190104197311737
160, 24.70370444033633
161, 25.021719871022963
162, 24.72865286554436
163, 24.849981054197027
164, 24.490322046709142
165, 24.48804119098381
166, 24.531921479267435
167, 24.419948615726174
168, 24.30386691312751
169, 24.502605380832428
170, 24.793606810235254
171, 24.755297516149586
172, 24.927953300927445
173, 25.339231795771084
174, 25.3348807170041
175, 25.471010084663536
176, 25.485209302137033
177, 25.425465671158143
178, 25.78794830040564
179, 26.188164543624925
180, 25.978564586751073
181, 25.81145409116793
182, 25.535373568825868
183, 25.605057036518364
184, 25.446983412909944
185, 25.662915187462602
186, 25.712698410362066
187, 25.788957396053735
188, 25.83681009023532
189, 26.061571976527215
190, 25.776337628053664
191, 25.914771534074966
192, 25.60491014686673
193, 25.94400724015333
194, 26.143960221992465
195, 25.826597138360324
196, 26.023610578817856
197, 26.108455804996503
198, 26.041497479589665
199, 25.748119423961718
200, 25.86810861754341
201, 25.619656170615865
202, 25.827636269287733
203, 25.469491654554908
204, 25.750393500119067
205, 25.90271445271463
206, 25.93512760340044
207, 25.69638394155212
208, 25.607690521604013
209, 25.524383192741706
210, 25.728117062089638
211, 26.121041919071885
212, 26.481292067360624
213, 26.196424202360888
214, 26.17036815084114
215, 26.061728386606315
216, 26.247965382481755
217, 25.871111104984134
218, 25.39912329310141
219, 25.499093013911207
220, 25.277490371099812
221, 24.924688216663874
222, 24.780513401570555
223, 24.88456101786995
224, 24.952221405694562
225, 25.02353330569398
226, 25.408647374806794
227, 25.181587724684782
228, 25.862672172088885
229, 26.330595832128655
230, 26.46531705444183
231, 26.37237179954489
232, 26.168481228661687
233, 26.11780012035121
234, 25.89884214116476
235, 26.244829287927118
236, 25.974394102523764
237, 26.341231272736042
238, 26.9088931156574
239, 26.05768657454238
240, 26.119730361661542
241, 26.61780798886597
242, 26.570777827553297
243, 26.497907352782597
244, 26.548009290176573
245, 26.332480574678694
246, 26.258813853556067
247, 26.73403112180178
248, 26.55340790052326
249, 26.368439119305176
250, 26.504877744002727
251, 26.52968094554243
252, 26.56924841248404
253, 26.72384952741195
