"Conformation","LigandName","AutodockAvr","VinaAvr","Average"
"out-namd-complex07-sw06","sw06",-4.0512,-5.11514565,-4.58316
"out-namd-complex01-av01","av01",-2.85415,-3.3292881,-3.091725
"out-namd-complex-av20","av20",-1.2015,-1.6782174,-1.43988
"out-namd-complex08-ad06","ad06",-0.88645,-1.17873535,-1.03259
"out-namd-complex-ad50","ad50",-0.91075,-0.86433245,-0.88755
"out-namd-complex-sw09","sw09",-0.40655,-0.72673595,-0.56662
