SYSTEM, FRAME, RADIUSG
Complex, 1, 22.07787344270005
Complex, 2, 22.263047441172798
Complex, 3, 21.93361047292332
Complex, 4, 22.017247732487995
Complex, 5, 22.122192233874042
Complex, 6, 22.122398989940084
Complex, 7, 22.19136520448286
Complex, 8, 22.08367816357867
Complex, 9, 21.983545530759773
Complex, 10, 22.08266752856222
Complex, 11, 22.102040810824526
Complex, 12, 21.82795440501353
Complex, 13, 22.15888439085231
Complex, 14, 21.619971512384346
Complex, 15, 21.564437542529802
Complex, 16, 21.351002352809388
Complex, 17, 21.551143153201103
Complex, 18, 21.528051650541585
Complex, 19, 21.459601277765174
Complex, 20, 21.494840928995526
Complex, 21, 21.456171643687945
Complex, 22, 21.503297793607796
Complex, 23, 21.4618015089359
Complex, 24, 21.803080655735087
Complex, 25, 21.908340186444885
Complex, 26, 22.032009034776916
Complex, 27, 22.050943012704717
Complex, 28, 21.994576961287326
Complex, 29, 22.303418554846484
Complex, 30, 22.34137132313385
Complex, 31, 22.527603868024748
Complex, 32, 22.78549130153891
Complex, 33, 22.680675590031917
Complex, 34, 22.786198049979948
Complex, 35, 22.769120622220168
Complex, 36, 22.504024953296554
Complex, 37, 22.305086724226047
Complex, 38, 22.291867642634585
Complex, 39, 22.334652781547504
Complex, 40, 22.2608689389888
Complex, 41, 22.10514017919363
Complex, 42, 22.123672761136277
Complex, 43, 21.942803648521274
Complex, 44, 21.95647109502875
Complex, 45, 21.91610035251265
Complex, 46, 21.78185657370607
Complex, 47, 21.382730431586058
Complex, 48, 21.752028053085457
Complex, 49, 21.92038229921917
Complex, 50, 21.722628318627763
Complex, 51, 21.465229163699046
Complex, 52, 21.904930032680635
Complex, 53, 21.688996061006993
Complex, 54, 21.43636543219234
Complex, 55, 21.84387441807912
Complex, 56, 21.573277759273015
Complex, 57, 21.67349185792935
Complex, 58, 21.826704906020904
Complex, 59, 21.621539548543357
Complex, 60, 21.694099825592303
Complex, 61, 21.48456772792154
Complex, 62, 21.282832936391195
Complex, 63, 21.590373700180436
Complex, 64, 21.574870262484158
Complex, 65, 21.50792197793951
Complex, 66, 21.886497270367894
Complex, 67, 22.351104930784192
Complex, 68, 22.303644028347474
Complex, 69, 22.041806901069194
Complex, 70, 21.85528466008834
Complex, 71, 21.63089436482573
Complex, 72, 22.091017872042624
Complex, 73, 22.421552777493748
Complex, 74, 22.60724157536025
Complex, 75, 23.022507664345287
Complex, 76, 22.84353393136648
Complex, 77, 23.44592022111742
Complex, 78, 23.516217286899703
Complex, 79, 23.39714863036377
Complex, 80, 23.561264368201172
Complex, 81, 23.69346807197689
Complex, 82, 23.778945816909346
Complex, 83, 23.86733381302801
Complex, 84, 23.971149682667477
Complex, 85, 24.0772505931331
Complex, 86, 24.03540801320208
Complex, 87, 23.50595723307466
Complex, 88, 23.754385608410995
Complex, 89, 23.431868266567964
Complex, 90, 23.449824787221118
Complex, 91, 23.82407000399326
Complex, 92, 24.077013423916686
Complex, 93, 24.04571454032245
Complex, 94, 23.77830568803232
Complex, 95, 23.560898591019082
Complex, 96, 23.57004630366906
Complex, 97, 24.336346501223428
Complex, 98, 24.29586336107872
Complex, 99, 24.154303332466746
Complex, 100, 24.07453961597495
Complex, 101, 23.913221799799423
Complex, 102, 23.81636912037479
Complex, 103, 24.19505559802612
Complex, 104, 24.453816564287298
Complex, 105, 24.198030837608798
Complex, 106, 23.66627589948517
Complex, 107, 23.168120577961147
Complex, 108, 23.148400191874043
Complex, 109, 23.494977015307597
Complex, 110, 23.258434922749554
Complex, 111, 23.18089710883203
Complex, 112, 23.006388768161976
Complex, 113, 22.83807304314094
Complex, 114, 22.73997956721592
Complex, 115, 22.594811613005096
Complex, 116, 22.837347941181395
Complex, 117, 22.868940943035202
Complex, 118, 22.992360143186964
Complex, 119, 23.07007887072323
Complex, 120, 23.037239497358787
Complex, 121, 23.28773288365183
Complex, 122, 23.27648869191822
Complex, 123, 23.487437251481367
Complex, 124, 23.452628342389232
Complex, 125, 23.540836766717735
Complex, 126, 23.621814375250583
Complex, 127, 23.33711680155533
Complex, 128, 23.126065886855315
Complex, 129, 23.19614837891716
Complex, 130, 23.285668781461297
Complex, 131, 23.19256258993833
Complex, 132, 23.445989760336154
Complex, 133, 22.821834129544627
Complex, 134, 22.52328936760312
Complex, 135, 22.085328861922523
Complex, 136, 22.01860043459887
Complex, 137, 22.30097547005813
Complex, 138, 22.037956693145734
Complex, 139, 22.170733202081195
Complex, 140, 22.115423332340814
Complex, 141, 22.257307355125253
Complex, 142, 21.96413783754555
Complex, 143, 22.193486452526805
Complex, 144, 22.415058776367996
Complex, 145, 22.40432995994333
Complex, 146, 22.341250378829415
Complex, 147, 22.477869206274708
Complex, 148, 22.36203241359606
Complex, 149, 22.357599512550763
Complex, 150, 22.237661969122282
Complex, 151, 22.269953014059467
Complex, 152, 22.05985298014642
Complex, 153, 22.15151531961287
Complex, 154, 21.797431255452416
Complex, 155, 22.12279032647055
Complex, 156, 21.942350483863944
Complex, 157, 22.23686428565983
Complex, 158, 22.580078488842652
Complex, 159, 22.730640311875852
