"FRAME","SYSTEM","HBONDS"
290,"HBONDS",0
291,"HBONDS",0
292,"HBONDS",0
293,"HBONDS",0
294,"HBONDS",0
295,"HBONDS",0
296,"HBONDS",1
297,"HBONDS",0
298,"HBONDS",0
299,"HBONDS",0
300,"HBONDS",0
301,"HBONDS",0
302,"HBONDS",0
303,"HBONDS",0
304,"HBONDS",0
305,"HBONDS",0
306,"HBONDS",0
307,"HBONDS",0
308,"HBONDS",0
309,"HBONDS",0
310,"HBONDS",0
311,"HBONDS",0
312,"HBONDS",0
313,"HBONDS",0
314,"HBONDS",1
315,"HBONDS",0
316,"HBONDS",0
317,"HBONDS",0
318,"HBONDS",0
319,"HBONDS",0
320,"HBONDS",0
321,"HBONDS",0
322,"HBONDS",0
323,"HBONDS",0
324,"HBONDS",0
325,"HBONDS",0
326,"HBONDS",0
327,"HBONDS",0
328,"HBONDS",0
329,"HBONDS",0
330,"HBONDS",1
331,"HBONDS",0
332,"HBONDS",0
333,"HBONDS",0
334,"HBONDS",0
335,"HBONDS",0
336,"HBONDS",0
337,"HBONDS",0
338,"HBONDS",0
339,"HBONDS",0
340,"HBONDS",0
341,"HBONDS",0
342,"HBONDS",0
343,"HBONDS",0
344,"HBONDS",0
345,"HBONDS",0
346,"HBONDS",0
347,"HBONDS",0
348,"HBONDS",0
349,"HBONDS",0
350,"HBONDS",0
351,"HBONDS",0
352,"HBONDS",0
353,"HBONDS",0
354,"HBONDS",1
355,"HBONDS",0
356,"HBONDS",0
357,"HBONDS",0
358,"HBONDS",0
359,"HBONDS",0
360,"HBONDS",0
361,"HBONDS",1
362,"HBONDS",0
363,"HBONDS",0
364,"HBONDS",0
365,"HBONDS",0
366,"HBONDS",1
367,"HBONDS",0
368,"HBONDS",0
369,"HBONDS",0
370,"HBONDS",0
371,"HBONDS",0
372,"HBONDS",1
373,"HBONDS",0
374,"HBONDS",0
375,"HBONDS",0
376,"HBONDS",0
377,"HBONDS",0
378,"HBONDS",0
379,"HBONDS",0
380,"HBONDS",0
381,"HBONDS",0
382,"HBONDS",0
383,"HBONDS",0
384,"HBONDS",0
385,"HBONDS",0
386,"HBONDS",0
387,"HBONDS",0
388,"HBONDS",0
389,"HBONDS",0
390,"HBONDS",0
391,"HBONDS",0
392,"HBONDS",0
393,"HBONDS",0
394,"HBONDS",0
395,"HBONDS",0
396,"HBONDS",0
397,"HBONDS",0
398,"HBONDS",0
399,"HBONDS",0
400,"HBONDS",0
401,"HBONDS",0
402,"HBONDS",0
403,"HBONDS",0
404,"HBONDS",0
405,"HBONDS",0
406,"HBONDS",0
407,"HBONDS",0
