Frame         Time          Elec          VdW           Nonbond       Total         
113           113           -3972.46      -513.972      -4486.44      -4486.44      
114           114           -4060.59      -554.536      -4615.12      -4615.12      
115           115           -4023.56      -581.355      -4604.91      -4604.91      
116           116           -3927.99      -558.986      -4486.98      -4486.98      
117           117           -4076.4       -533.855      -4610.25      -4610.25      
118           118           -3902.53      -585.699      -4488.23      -4488.23      
119           119           -3953.22      -587.35       -4540.57      -4540.57      
120           120           -3978.8       -522.356      -4501.15      -4501.15      
121           121           -3898.49      -562.394      -4460.88      -4460.88      
122           122           -3999.64      -540.177      -4539.82      -4539.82      
123           123           -4014.03      -553.689      -4567.72      -4567.72      
124           124           -3957.15      -568.565      -4525.71      -4525.71      
125           125           -4007.38      -548.67       -4556.05      -4556.05      
126           126           -4006.46      -564.668      -4571.12      -4571.12      
127           127           -3900.15      -548.444      -4448.59      -4448.59      
128           128           -3812.26      -552.949      -4365.21      -4365.21      
129           129           -3901.42      -550.903      -4452.33      -4452.33      
130           130           -3983.71      -574.527      -4558.24      -4558.24      
131           131           -3835.69      -535.965      -4371.65      -4371.65      
132           132           -3921.98      -540.319      -4462.3       -4462.3       
133           133           -3816.89      -562.956      -4379.85      -4379.85      
134           134           -3899.65      -586.946      -4486.6       -4486.6       
135           135           -4009.88      -541.684      -4551.57      -4551.57      
136           136           -3898.31      -559.367      -4457.67      -4457.67      
137           137           -3998.4       -553.772      -4552.17      -4552.17      
138           138           -3940         -607.299      -4547.3       -4547.3       
139           139           -4098.17      -553.457      -4651.63      -4651.63      
140           140           -3923.86      -552.398      -4476.26      -4476.26      
141           141           -3905.18      -574.216      -4479.4       -4479.4       
142           142           -3869.78      -535.742      -4405.52      -4405.52      
143           143           -3894.13      -529.611      -4423.74      -4423.74      
144           144           -4084.59      -567.508      -4652.1       -4652.1       
145           145           -3942.6       -572.812      -4515.41      -4515.41      
146           146           -3899.59      -618.458      -4518.05      -4518.05      
147           147           -3827.17      -602.225      -4429.4       -4429.4       
148           148           -3994.12      -623.006      -4617.12      -4617.12      
149           149           -3865.8       -586.572      -4452.37      -4452.37      
150           150           -3880.61      -575.579      -4456.19      -4456.19      
151           151           -3763.27      -629.367      -4392.64      -4392.64      
152           152           -3891.12      -568.236      -4459.36      -4459.36      
153           153           -4015.17      -594.404      -4609.58      -4609.58      
154           154           -3972.07      -613.91       -4585.98      -4585.98      
155           155           -3972.22      -575.809      -4548.03      -4548.03      
156           156           -4001.18      -597.478      -4598.66      -4598.66      
157           157           -4029.23      -621.934      -4651.17      -4651.17      
158           158           -3986.99      -604.551      -4591.54      -4591.54      
159           159           -4086.71      -626.709      -4713.42      -4713.42      
