FRAME, PROTEIN, COMPLEX
1, 26.234605899661307, 26.253956151907452
2, 26.039737257026328, 26.047027374395725
3, 26.389014631849893, 26.397011269994596
4, 26.43561278281879, 26.44897785624607
5, 26.565648869991325, 26.57162875262848
6, 26.403978801874242, 26.419860328856146
7, 26.43896343081031, 26.44903919864021
8, 26.444024813755572, 26.448205097518386
9, 26.32490400777629, 26.33898789412074
10, 26.627989982437338, 26.638005840918815
11, 26.610676103203527, 26.62070100089976
12, 26.687909253384454, 26.693605030385918
13, 26.776890787229974, 26.78766947031564
14, 26.607499715204202, 26.624899547944356
15, 26.527347522792976, 26.54336828385755
16, 27.044942707658677, 27.057182078657338
17, 27.1676474101029, 27.183199628345527
18, 27.450960001503592, 27.472556386694247
19, 27.272863200891297, 27.288120872659828
20, 27.645827120955495, 27.653081144803885
21, 27.637634940621165, 27.657063948773004
22, 27.32427530604154, 27.336707556473293
23, 27.092304784344844, 27.10196223812023
24, 27.3890295561352, 27.392938201040845
25, 27.387091248897068, 27.397345286629776
26, 27.42475011839543, 27.43925662371266
27, 27.686791191873326, 27.697599476158555
28, 27.286270003514772, 27.294366921046667
29, 27.342419464996905, 27.35885825268946
30, 27.011303641542355, 27.02963592873306
31, 27.010432030777288, 27.029228460158006
32, 27.275212905171145, 27.29166301568926
33, 27.291670681190613, 27.32403744702921
34, 26.965672717455696, 26.973396551373053
35, 26.408602472111546, 26.42131585833992
36, 26.634014190906054, 26.644112179330158
37, 27.184773735324352, 27.18659616914491
38, 27.499959198422673, 27.498042912127353
39, 27.3440565113827, 27.35774267611463
40, 27.40110086661896, 27.412683001874342
41, 27.509799978542453, 27.52463641616073
42, 27.374597621807553, 27.407994542570243
43, 27.595113384562776, 27.633040131931473
44, 28.126671501049653, 28.160373054971096
45, 27.972458266921116, 28.007810747347097
46, 28.31166322697111, 28.33889504359112
47, 28.434790438618343, 28.45510176270997
48, 28.259491011723455, 28.26543532866476
49, 27.85960763917281, 27.864461446570267
50, 27.858631371155454, 27.87307838215875
51, 27.864157734532274, 27.897620952002296
52, 27.663522126110035, 27.660857868533622
53, 27.645080239591508, 27.644139575746838
54, 27.28176768678621, 27.296265823182363
55, 27.06976083422148, 27.089106538314898
56, 27.14173063509925, 27.172530583730836
57, 27.869767667643487, 27.89655498034127
58, 27.705844466286393, 27.743193911024267
59, 27.867361818404813, 27.891100376264855
60, 27.82262981847276, 27.837280054032924
61, 27.896639305016883, 27.93306166495583
62, 27.998042213578284, 28.01758012195508
63, 27.988640593231406, 28.009026451740358
64, 27.827208805396435, 27.84728543735343
65, 27.872050541062716, 27.905799403019095
66, 27.689674487622394, 27.721283756309006
67, 27.74009571882414, 27.769498417262277
68, 27.294250441032005, 27.338864135242808
69, 27.409628439756244, 27.46720429546165
70, 27.703505270125586, 27.751905993433336
71, 27.947864202627994, 27.99517580260491
72, 27.988960747193275, 28.015102375694983
73, 27.637506924664148, 27.675119005299365
74, 27.751352793037334, 27.795132551332106
75, 27.983133751437236, 28.019831258400778
76, 28.383615502211224, 28.419725966358236
77, 28.541807442980065, 28.593113147001397
78, 28.649111411600934, 28.686699514879457
79, 28.4859490684083, 28.51349600966237
80, 28.19896875093035, 28.217221324572012
81, 28.077739659310698, 28.077279331117584
82, 28.317397890336416, 28.310473169232846
83, 28.534791032291963, 28.540988561998343
84, 28.209583201329444, 28.197082462960527
85, 28.230105074093036, 28.231436497112945
86, 28.093907308492117, 28.086477521383937
87, 27.829760145736646, 27.825830304030106
88, 27.903363764448564, 27.906535042534912
89, 27.770197536496166, 27.77029756127927
90, 27.87312167292657, 27.88284937806815
91, 27.94822796619955, 27.963795782028264
92, 27.931881288895827, 27.92727299646191
93, 28.13797026147018, 28.14464180678182
94, 28.038000034418108, 28.047743377807482
95, 27.78733985485305, 27.798096321889012
96, 28.078177647225573, 28.087991475099916
97, 27.786287348558464, 27.787033041599862
98, 27.795976863689862, 27.797196192673233
99, 28.0754631176214, 28.08404338314472
100, 28.014528459487043, 28.021381621178534
101, 28.19283783711848, 28.20140829259469
102, 28.242924654092306, 28.258357035386624
103, 28.59101222835285, 28.589211109037826
104, 28.869924927962078, 28.878466509389757
105, 28.182411063085947, 28.207382352443865
106, 27.93300676510503, 27.946953285982246
107, 28.259596635442996, 28.272072342380337
108, 28.52029921105246, 28.529312705772494
109, 28.89355399141512, 28.90371880376558
110, 28.46354902407019, 28.507755115961444
111, 29.038150063176122, 29.076324046977625
112, 29.010920772577055, 29.04949078672019
113, 28.662972892837427, 28.69974050858771
114, 28.667507563883177, 28.6902783310647
115, 28.671742351767804, 28.708170472982207
116, 28.919477773386113, 28.948643702007086
117, 28.800709803975156, 28.847698007175495
118, 29.065057762569246, 29.110598857798166
119, 28.858387646844623, 28.89613374262431
120, 28.719455412794996, 28.766086793420527
121, 28.561060925907736, 28.612864849275834
122, 28.38572548406531, 28.43064387312054
123, 28.76646936782109, 28.804176881625693
124, 28.638966869714782, 28.68042525233678
125, 28.515488803490395, 28.54235142390475
126, 28.16135220828973, 28.203941759824577
127, 28.80164803999097, 28.832429552625758
128, 28.75860234375336, 28.79843660006835
129, 28.603101446895998, 28.631602448190097
130, 28.15499453325316, 28.188253080893297
131, 28.25872506905425, 28.281959041505026
132, 28.17499212788863, 28.18882436415243
133, 27.89688393300983, 27.912744451459464
134, 27.97727816462093, 27.99769457300171
135, 28.653827820988546, 28.681181035514054
136, 28.53355008546817, 28.555252307186347
137, 28.264509901045248, 28.286360243442964
138, 28.699365234691356, 28.708707207021778
139, 28.83655334393604, 28.84386076267204
