FRAME, PROTEIN, COMPLEX
1, 24.604811822448887, 24.56042916992046
2, 24.624547450867027, 24.58122535953172
3, 24.6706505588153, 24.628185433299652
4, 24.6343856699694, 24.591448648632294
5, 24.60425155324461, 24.560186809210066
6, 24.56479410976311, 24.520590166157778
7, 24.92311578050399, 24.8829679252439
8, 24.630920782688527, 24.586758127982492
9, 24.66612419720209, 24.623268106426483
10, 24.680616066718812, 24.639736552192712
11, 24.757371207027337, 24.7142947349084
12, 24.50408903515188, 24.45928345672949
13, 24.982850525628976, 24.936743576458067
14, 25.03288304804294, 24.98742961025189
15, 25.069576023540407, 25.023640622617055
16, 24.868993060485472, 24.823979548673442
17, 24.923015445307787, 24.877159540779616
18, 24.275843725359394, 24.227821498053604
19, 24.350359542422062, 24.3041454472421
20, 24.212929339448706, 24.166112397715388
21, 24.207290226412155, 24.166767428314433
22, 24.15794052431937, 24.119060369392958
23, 23.96798652917447, 23.918995028462312
24, 23.98326626981573, 23.94105981999431
25, 23.85743588238363, 23.82349198861117
26, 23.921464517296624, 23.883698586274207
27, 23.882644039975556, 23.851414835957076
28, 23.786173633601297, 23.747840537245413
29, 24.202217441291346, 24.17020709347162
30, 24.237987475590636, 24.201849442623285
31, 24.054909656449553, 24.02788521472323
32, 24.13627218795794, 24.100072862704632
33, 24.23444403563017, 24.19534777296519
34, 24.269652616824143, 24.23195925200765
35, 24.659681946996262, 24.615839304599856
36, 24.312431877372077, 24.276219024015298
37, 23.96885426613857, 23.932998506318786
38, 23.988309524124595, 23.948591675459053
39, 23.582380737828206, 23.550463882981933
40, 23.514762975523126, 23.477271213748296
41, 23.233097781014557, 23.197359506750107
42, 23.63408163618569, 23.59309206091814
43, 23.79492985223214, 23.76096844833053
44, 23.788260003394743, 23.74792658282374
45, 23.8055116143749, 23.759425165059405
46, 23.898643761150076, 23.855128592017987
47, 23.809767214778397, 23.767557151429198
48, 24.04118922861368, 23.997517381944395
49, 24.12066377818695, 24.078265682171
50, 24.083643459280598, 24.0438117413079
51, 24.128909672094764, 24.089199141689733
52, 24.481746892607056, 24.438327696383855
53, 24.39800493990746, 24.357427331422475
54, 23.86427819017229, 23.826085372813377
55, 24.285906694040865, 24.244510429995284
56, 24.338949569470714, 24.29928177548465
57, 24.534776098797447, 24.494151455195418
58, 24.40000234567029, 24.3595111102898
59, 24.41971329719078, 24.382770234254885
60, 24.019892220536853, 23.98052265975121
61, 23.948953873555524, 23.90982713860521
62, 23.64941822650348, 23.610660801422643
63, 23.8322703579103, 23.80052952881317
64, 23.4458052837833, 23.41247928854171
65, 23.674921052324542, 23.63902668972095
66, 23.98412000234126, 23.942812958800737
67, 24.2347843460432, 24.19853223979577
68, 23.949979475673075, 23.91623745403143
69, 24.061470699395446, 24.02364204219039
70, 24.083750478219656, 24.043850618664933
71, 24.183510738529776, 24.14195858042875
72, 24.50009390871432, 24.455708707047894
73, 24.694013001700608, 24.650286284410747
74, 24.70928556986612, 24.667523168308197
75, 24.968438419159586, 24.921730332643335
76, 24.858805602203482, 24.818234440812702
77, 25.509826058995966, 25.464426187302625
78, 25.381768133163188, 25.340230981250286
79, 25.41293859214329, 25.36223452666491
80, 25.62499039320911, 25.57777974994973
81, 25.66569674937277, 25.620496404227165
82, 25.492918512586538, 25.4565159576498
83, 25.296560168430798, 25.25569262066388
84, 24.74281039639962, 24.697381622835593
85, 24.605330291124364, 24.562916280113328
86, 24.68044647601939, 24.642131817607115
87, 24.006952167941257, 23.965506734623833
88, 24.118479117179177, 24.079466592663305
89, 23.984194767343315, 23.94270230795029
90, 23.80607681758046, 23.766981655786218
91, 24.162952268811214, 24.122276800132088
92, 24.357033398456707, 24.31329630733141
93, 24.394539470219662, 24.347774238748734
94, 24.36302094700442, 24.312604652825662
95, 23.989392261190464, 23.9437390234311
96, 23.97117214572593, 23.925559575890997
97, 24.56151853478678, 24.521692409503228
98, 24.652088755477607, 24.606236654628812
99, 24.544498106605563, 24.50022195737404
100, 24.403990400234964, 24.36211419147663
101, 24.38414699421091, 24.348170076273274
102, 24.48768485930931, 24.445709588013894
103, 24.777267753167738, 24.737027781172657
104, 25.157506881026013, 25.120157514174355
105, 25.082728852202383, 25.04617356059787
106, 24.234037064948904, 24.199278665424977
107, 23.921240168814062, 23.884491447982484
108, 23.79282296404444, 23.75800890666861
109, 23.929123164814463, 23.889256268326516
110, 23.782744243779266, 23.747461341996207
111, 23.615625410079396, 23.577769338372207
112, 23.37732806113996, 23.344572101212332
113, 23.495425692022895, 23.45813749853963
114, 23.23912630806386, 23.2009312015237
115, 23.347596208897016, 23.306291500026852
116, 23.548874430975882, 23.508894003005906
117, 23.500246086055697, 23.458514612024207
118, 23.59381008540825, 23.553064446677308
119, 23.646078910273456, 23.60462105857936
120, 23.60301437747041, 23.5649561899432
121, 23.717533915674643, 23.680091014871188
122, 23.925630812363725, 23.88718290835588
123, 24.002392955036786, 23.96369738277379
124, 24.295238033007237, 24.256874855076514
125, 24.137102527585586, 24.096942430310147
126, 24.084634383028067, 24.04532966100782
127, 23.967791308205378, 23.926708688421627
128, 23.881309902736668, 23.842984223074218
129, 23.899788771025, 23.859813002616917
130, 23.971176570455928, 23.9295737529074
131, 24.159892933049903, 24.120468310083908
132, 24.359272342913428, 24.309408977485838
133, 23.982889078820822, 23.94661002422099
134, 23.910477209413894, 23.86245015959679
135, 23.56763544921411, 23.51973742336204
136, 23.483947470531522, 23.436513642117355
137, 23.6555917862941, 23.606794371515964
138, 23.562365172050036, 23.513368779465832
139, 23.44072534200833, 23.38976450474631
140, 23.474147230657856, 23.428226755265896
141, 23.558973243730385, 23.51675962301755
142, 23.539946797158073, 23.499904853084292
143, 23.278178940178535, 23.243576119214463
144, 23.557203419818936, 23.517762755748723
145, 23.53667688558149, 23.498786108140866
146, 23.398065434856058, 23.35843317768077
147, 23.543520991046137, 23.50108230211883
148, 23.646403002246007, 23.604368992688908
149, 23.670364543484236, 23.629176082351904
150, 23.302418757738845, 23.256664440398172
151, 23.218854775601805, 23.175556410680613
152, 23.10357136933642, 23.06217606794307
153, 23.295252807580685, 23.25132162598844
154, 23.0421058771788, 22.99944421236181
155, 23.428341137603848, 23.38730521827163
156, 23.31269800899488, 23.270547982962974
157, 23.65000014419286, 23.606600634058196
158, 23.984524050435155, 23.942102615031907
159, 24.172922414388207, 24.13051415319343
160, 24.073112768248276, 24.0244005050106
161, 23.803192175860957, 23.760341062788722
162, 23.871556383865126, 23.82888316530011
163, 24.264051223288856, 24.218161865537436
164, 24.60798634862992, 24.558304478972328
165, 24.21480850628992, 24.171647303302063
166, 24.38940534586623, 24.345688577506913
167, 24.529443957641007, 24.48681981119926
168, 24.200280885008002, 24.160874118155647
169, 23.98613168339664, 23.94490858964968
170, 24.414403296550436, 24.373090528700658
171, 24.08122459207647, 24.041672620233008
172, 24.22828903232163, 24.191828591324775
173, 24.515286316624884, 24.472474742592176
174, 24.317802511290154, 24.28163420076215
175, 24.620929767231985, 24.585592487212043
176, 24.675261735811354, 24.639276841466298
177, 24.477150980041266, 24.439076579166617
178, 24.358295006742125, 24.318365786970553
179, 24.91518019985476, 24.874785870678135
