FRAME,RMSD
1, 0.0004924263339489698
2, 1.5673487186431885
3, 1.8915456533432007
4, 2.285892963409424
5, 3.35444712638855
6, 3.1950154304504395
7, 2.56933856010437
8, 2.9637436866760254
9, 2.872152805328369
10, 3.272718667984009
11, 3.2193596363067627
12, 3.2771687507629395
13, 3.5760116577148438
14, 3.5979068279266357
15, 4.239993572235107
16, 4.019174575805664
17, 4.379362106323242
18, 4.328762054443359
19, 5.527312755584717
20, 5.603515625
21, 5.756759166717529
22, 6.343409538269043
23, 6.197376728057861
24, 6.615879058837891
25, 5.9440436363220215
26, 6.261268138885498
27, 6.621272087097168
28, 6.701083183288574
29, 6.908010482788086
30, 7.010036468505859
31, 6.74561882019043
32, 6.932246685028076
33, 6.851527214050293
34, 6.831568717956543
35, 6.1351518630981445
36, 6.236993789672852
37, 6.227635383605957
38, 6.345768451690674
39, 5.916471481323242
40, 5.868128776550293
41, 5.416454792022705
42, 5.228866100311279
43, 5.764205455780029
44, 5.6486945152282715
45, 5.718472957611084
46, 5.638856887817383
47, 5.385659694671631
48, 5.712881088256836
49, 5.44264554977417
50, 5.127688407897949
51, 5.546362400054932
52, 5.684042930603027
53, 5.914345741271973
54, 6.025906085968018
55, 6.2910919189453125
56, 6.143745422363281
57, 5.915048599243164
58, 5.702473163604736
59, 5.263265609741211
60, 5.960390090942383
61, 5.99396276473999
62, 5.8756103515625
63, 5.510494232177734
64, 5.21355676651001
65, 5.520610332489014
66, 5.128988742828369
67, 6.066758155822754
68, 6.464334964752197
69, 6.301422595977783
70, 6.48757266998291
71, 6.436141490936279
72, 6.465677261352539
73, 6.211062908172607
74, 6.389801979064941
75, 6.747306823730469
76, 6.884056568145752
77, 6.564562797546387
78, 6.623902797698975
79, 6.081878662109375
80, 6.252235412597656
81, 6.354768753051758
82, 6.550772190093994
83, 6.869236946105957
84, 7.364538669586182
85, 6.82522439956665
86, 7.555866241455078
87, 7.457643985748291
88, 7.07717752456665
89, 6.998786449432373
90, 7.178866386413574
91, 7.252418041229248
92, 7.239296913146973
93, 7.657337665557861
94, 7.765564918518066
95, 7.281826972961426
96, 6.453902721405029
97, 6.7767486572265625
98, 7.554200172424316
99, 7.029763698577881
100, 6.932535648345947
101, 6.800557613372803
102, 6.903656005859375
103, 6.931458473205566
104, 7.341410160064697
105, 7.629150867462158
106, 7.536822319030762
107, 7.327625274658203
108, 7.484879016876221
109, 8.074846267700195
110, 8.14506721496582
111, 7.687921524047852
112, 7.6957292556762695
113, 7.672314643859863
114, 8.076350212097168
115, 8.548436164855957
116, 8.431514739990234
117, 8.46895694732666
118, 8.418207168579102
119, 7.832010746002197
120, 8.214794158935547
121, 8.765376091003418
122, 8.894713401794434
123, 9.920745849609375
124, 9.606727600097656
125, 10.383648872375488
126, 10.825050354003906
127, 10.485108375549316
128, 10.315592765808105
129, 10.126094818115234
130, 9.410453796386719
131, 9.534147262573242
132, 9.639863014221191
133, 9.386805534362793
134, 9.438100814819336
135, 9.034895896911621
136, 8.739459037780762
137, 9.115240097045898
138, 8.941695213317871
139, 8.712657928466797
140, 8.300379753112793
141, 8.153013229370117
142, 7.791211128234863
143, 8.316761016845703
144, 7.858124256134033
145, 7.806038856506348
146, 7.740607261657715
147, 8.03046703338623
148, 7.627013683319092
149, 7.685726165771484
150, 7.728024005889893
151, 7.487839221954346
152, 7.585927963256836
153, 7.857329845428467
154, 7.264813423156738
155, 6.926722049713135
156, 7.150235176086426
157, 6.919616222381592
158, 6.740048408508301
159, 7.445524215698242
160, 7.398658275604248
161, 7.798414707183838
162, 7.685479640960693
163, 8.105767250061035
164, 8.494585037231445
165, 9.05886173248291
166, 8.787763595581055
167, 9.255982398986816
168, 9.005379676818848
169, 9.059160232543945
170, 8.135642051696777
171, 7.906273365020752
172, 7.4162163734436035
173, 7.653952121734619
174, 7.63998556137085
175, 7.280426502227783
176, 6.91404914855957
177, 7.929073810577393
178, 7.706206321716309
179, 7.394911766052246
180, 7.341111183166504
181, 7.34610652923584
182, 7.2763752937316895
183, 7.674501895904541
184, 7.597293376922607
185, 7.243442058563232
186, 7.549353122711182
187, 7.095005989074707
188, 7.518176078796387
189, 7.437131404876709
190, 8.05592155456543
191, 7.892531871795654
192, 7.2459282875061035
193, 7.2105889320373535
194, 7.0781660079956055
195, 7.222378730773926
196, 7.862028121948242
197, 7.8660502433776855
198, 7.474333763122559
199, 8.021162033081055
200, 7.63283634185791
201, 7.010097026824951
202, 7.470702648162842
203, 7.440210342407227
204, 7.522397994995117
205, 7.333746433258057
206, 7.582730770111084
207, 7.336835861206055
208, 7.482821464538574
209, 7.560032844543457
210, 7.775883197784424
211, 8.128348350524902
212, 7.7728986740112305
213, 8.330753326416016
214, 8.484067916870117
215, 8.112346649169922
216, 8.545303344726563
217, 8.215357780456543
218, 8.284082412719727
219, 8.711343765258789
220, 8.7535982131958
221, 8.684417724609375
222, 7.82304573059082
223, 8.104029655456543
224, 8.369156837463379
225, 7.988117694854736
226, 7.933582305908203
227, 8.020171165466309
228, 7.408339023590088
229, 7.474981307983398
230, 7.282865524291992
231, 7.677305698394775
232, 8.111732482910156
233, 7.41760778427124
234, 7.472620487213135
235, 7.706807613372803
236, 7.642465591430664
237, 7.081263065338135
238, 7.288359642028809
239, 7.475428581237793
240, 7.7408928871154785
241, 7.244317054748535
242, 6.868311882019043
243, 6.792414665222168
244, 6.988033294677734
245, 6.994734764099121
246, 7.794147491455078
247, 8.051891326904297
248, 7.936599254608154
249, 8.329204559326172
250, 8.10423755645752
251, 7.861891746520996
