POSE, TYPE, FRAME, RADIOG
Full, Complex, 84, 24.697381622835593
Full, Protein, 85, 24.605330291124364
Full, Complex, 85, 24.562916280113328
Full, Protein, 86, 24.68044647601939
Full, Complex, 86, 24.642131817607115
Full, Protein, 87, 24.006952167941257
Full, Complex, 87, 23.965506734623833
Full, Protein, 88, 24.118479117179177
Full, Complex, 88, 24.079466592663305
Full, Protein, 89, 23.984194767343315
Full, Complex, 89, 23.94270230795029
Full, Protein, 90, 23.80607681758046
Full, Complex, 90, 23.766981655786218
Full, Protein, 91, 24.162952268811214
Full, Complex, 91, 24.122276800132088
Full, Protein, 92, 24.357033398456707
Full, Complex, 92, 24.31329630733141
Full, Protein, 93, 24.394539470219662
Full, Complex, 93, 24.347774238748734
Full, Protein, 94, 24.36302094700442
Full, Complex, 94, 24.312604652825662
Full, Protein, 95, 23.989392261190464
Full, Complex, 95, 23.9437390234311
Full, Protein, 96, 23.97117214572593
Full, Complex, 96, 23.925559575890997
Full, Protein, 97, 24.56151853478678
Full, Complex, 97, 24.521692409503228
Full, Protein, 98, 24.652088755477607
Full, Complex, 98, 24.606236654628812
Full, Protein, 99, 24.544498106605563
Full, Complex, 99, 24.50022195737404
Full, Protein, 100, 24.403990400234964
Full, Complex, 100, 24.36211419147663
Full, Protein, 101, 24.38414699421091
Full, Complex, 101, 24.348170076273274
Full, Protein, 102, 24.48768485930931
Full, Complex, 102, 24.445709588013894
Full, Protein, 103, 24.777267753167738
Full, Complex, 103, 24.737027781172657
Full, Protein, 104, 25.157506881026013
Full, Complex, 104, 25.120157514174355
Full, Protein, 105, 25.082728852202383
Full, Complex, 105, 25.04617356059787
Full, Protein, 106, 24.234037064948904
Full, Complex, 106, 24.199278665424977
Full, Protein, 107, 23.921240168814062
Full, Complex, 107, 23.884491447982484
Full, Protein, 108, 23.79282296404444
Full, Complex, 108, 23.75800890666861
Full, Protein, 109, 23.929123164814463
Full, Complex, 109, 23.889256268326516
Full, Protein, 110, 23.782744243779266
Full, Complex, 110, 23.747461341996207
Full, Protein, 111, 23.615625410079396
Full, Complex, 111, 23.577769338372207
Full, Protein, 112, 23.37732806113996
Full, Complex, 112, 23.344572101212332
Full, Protein, 113, 23.495425692022895
Full, Complex, 113, 23.45813749853963
Full, Protein, 114, 23.23912630806386
Full, Complex, 114, 23.2009312015237
Full, Protein, 115, 23.347596208897016
Full, Complex, 115, 23.306291500026852
Full, Protein, 116, 23.548874430975882
Full, Complex, 116, 23.508894003005906
Full, Protein, 117, 23.500246086055697
Full, Complex, 117, 23.458514612024207
Full, Protein, 118, 23.59381008540825
Full, Complex, 118, 23.553064446677308
Full, Protein, 119, 23.646078910273456
Full, Complex, 119, 23.60462105857936
Full, Protein, 120, 23.60301437747041
Full, Complex, 120, 23.5649561899432
Full, Protein, 121, 23.717533915674643
Full, Complex, 121, 23.680091014871188
