FRAME, RADIUSG
1, 22.07787344270005
2, 22.263047441172798
3, 21.93361047292332
4, 22.017247732487995
5, 22.122192233874042
6, 22.122398989940084
7, 22.19136520448286
8, 22.08367816357867
9, 21.983545530759773
10, 22.08266752856222
11, 22.102040810824526
12, 21.82795440501353
13, 22.15888439085231
14, 21.619971512384346
15, 21.564437542529802
16, 21.351002352809388
17, 21.551143153201103
18, 21.528051650541585
19, 21.459601277765174
20, 21.494840928995526
21, 21.456171643687945
22, 21.503297793607796
23, 21.4618015089359
24, 21.803080655735087
25, 21.908340186444885
26, 22.032009034776916
27, 22.050943012704717
28, 21.994576961287326
29, 22.303418554846484
30, 22.34137132313385
31, 22.527603868024748
32, 22.78549130153891
33, 22.680675590031917
34, 22.786198049979948
35, 22.769120622220168
36, 22.504024953296554
37, 22.305086724226047
38, 22.291867642634585
39, 22.334652781547504
40, 22.2608689389888
41, 22.10514017919363
42, 22.123672761136277
43, 21.942803648521274
44, 21.95647109502875
45, 21.91610035251265
46, 21.78185657370607
47, 21.382730431586058
48, 21.752028053085457
49, 21.92038229921917
50, 21.722628318627763
51, 21.465229163699046
52, 21.904930032680635
53, 21.688996061006993
54, 21.43636543219234
55, 21.84387441807912
56, 21.573277759273015
57, 21.67349185792935
58, 21.826704906020904
59, 21.621539548543357
60, 21.694099825592303
61, 21.48456772792154
62, 21.282832936391195
63, 21.590373700180436
64, 21.574870262484158
65, 21.50792197793951
66, 21.886497270367894
67, 22.351104930784192
68, 22.303644028347474
69, 22.041806901069194
70, 21.85528466008834
71, 21.63089436482573
72, 22.091017872042624
73, 22.421552777493748
74, 22.60724157536025
75, 23.022507664345287
76, 22.84353393136648
77, 23.44592022111742
78, 23.516217286899703
79, 23.39714863036377
80, 23.561264368201172
81, 23.69346807197689
82, 23.778945816909346
83, 23.86733381302801
84, 23.971149682667477
85, 24.0772505931331
86, 24.03540801320208
87, 23.50595723307466
88, 23.754385608410995
89, 23.431868266567964
90, 23.449824787221118
91, 23.82407000399326
92, 24.077013423916686
93, 24.04571454032245
94, 23.77830568803232
95, 23.560898591019082
96, 23.57004630366906
97, 24.336346501223428
98, 24.29586336107872
99, 24.154303332466746
100, 24.07453961597495
101, 23.913221799799423
102, 23.81636912037479
103, 24.19505559802612
104, 24.453816564287298
105, 24.198030837608798
106, 23.66627589948517
107, 23.168120577961147
108, 23.148400191874043
109, 23.494977015307597
110, 23.258434922749554
111, 23.18089710883203
112, 23.006388768161976
113, 22.83807304314094
114, 22.73997956721592
115, 22.594811613005096
116, 22.837347941181395
117, 22.868940943035202
118, 22.992360143186964
119, 23.07007887072323
120, 23.037239497358787
121, 23.28773288365183
122, 23.27648869191822
123, 23.487437251481367
124, 23.452628342389232
125, 23.540836766717735
126, 23.621814375250583
127, 23.33711680155533
128, 23.126065886855315
129, 23.19614837891716
130, 23.285668781461297
131, 23.19256258993833
132, 23.445989760336154
133, 22.821834129544627
134, 22.52328936760312
135, 22.085328861922523
136, 22.01860043459887
137, 22.30097547005813
138, 22.037956693145734
139, 22.170733202081195
140, 22.115423332340814
141, 22.257307355125253
142, 21.96413783754555
143, 22.193486452526805
144, 22.415058776367996
145, 22.40432995994333
146, 22.341250378829415
147, 22.477869206274708
148, 22.36203241359606
149, 22.357599512550763
150, 22.237661969122282
151, 22.269953014059467
152, 22.05985298014642
153, 22.15151531961287
154, 21.797431255452416
155, 22.12279032647055
156, 21.942350483863944
157, 22.23686428565983
158, 22.580078488842652
159, 22.730640311875852
160, 22.581147126070196
161, 22.150792332251115
162, 22.2337512682239
163, 22.9168527646884
164, 22.871257179036125
165, 22.338705120526495
166, 22.578883177391837
167, 22.791978379671498
168, 22.36234203952101
169, 22.131639059656003
170, 22.86343332230687
171, 22.438674174313398
172, 22.81198060674765
173, 22.930481142852983
174, 22.93285919574714
175, 23.102282163697414
176, 22.905745793419833
177, 23.014333989321894
178, 22.866911675058848
179, 23.137088042055133
180, 23.295581102982403
181, 23.084324384367203
182, 23.00177442792279
183, 23.077688656317388
184, 22.540032649460546
185, 22.44508472305021
186, 22.45060753396644
187, 21.978165530435895
188, 22.497522558929774
189, 22.70141135356253
190, 23.0352238377864
191, 23.723823173044305
192, 23.437199172112823
193, 23.691546817892185
194, 23.632790543669838
195, 23.717641417288235
196, 23.595214908474517
197, 24.11248378073235
198, 24.30508218616891
199, 24.14007662895709
200, 24.00076859451384
201, 23.67487976225857
202, 23.806451785050687
203, 23.845518675026785
204, 23.63460006447132
205, 23.81239700785027
206, 23.289345032702453
207, 23.07566688240943
208, 23.82084070317683
209, 23.64494948725445
210, 23.67842971313017
211, 23.650264387593115
212, 24.16406965077247
213, 24.150063587260362
214, 23.87140515895281
215, 24.001910628380116
216, 24.42758949548882
217, 24.025052184917385
218, 24.03142251171742
219, 24.72409013094832
220, 24.516944296342533
221, 24.107928861585258
222, 24.74802954647674
223, 24.452277297776714
224, 24.358824610627185
225, 24.64630912210047
226, 24.282857939875953
227, 24.057869938057745
228, 24.065731557855774
229, 23.88271893262928
230, 24.061073605890538
231, 24.38468635935303
232, 23.98458393017218
233, 24.304978604884745
234, 24.725531013974525
235, 24.560995738746342
236, 24.072173460251047
237, 24.595365295027143
238, 24.017494982299652
239, 23.80180073453864
240, 23.519952153092127
241, 23.629811283929328
242, 23.387265434873655
243, 23.654581932221284
244, 23.24808864309358
245, 22.90457066991075
246, 23.316224651666428
247, 23.261268723059032
248, 23.623422176419876
249, 23.057631501112894
250, 23.544904237291075
251, 24.106229970108412
252, 23.880533947080533
253, 24.073912464168615
