"FRAME","SYSTEM","RADIOG"
1,"RADIUSG",9.02771000403765
2,"RADIUSG",8.89835242782105
3,"RADIUSG",9.07052243913323
4,"RADIUSG",9.10331389461369
5,"RADIUSG",9.02271916309588
6,"RADIUSG",9.04291301729399
7,"RADIUSG",9.05577793795563
8,"RADIUSG",9.02374623134371
9,"RADIUSG",9.26570199346973
10,"RADIUSG",9.16409222373581
11,"RADIUSG",9.03500085211122
12,"RADIUSG",9.24855343655967
13,"RADIUSG",8.9450632903979
14,"RADIUSG",9.16591145034018
15,"RADIUSG",9.11404098134847
16,"RADIUSG",9.12071259699975
17,"RADIUSG",9.17078639716494
18,"RADIUSG",9.14176564571281
19,"RADIUSG",9.19193083554175
20,"RADIUSG",9.09214126981479
21,"RADIUSG",9.16677202472481
22,"RADIUSG",9.11673888531702
23,"RADIUSG",9.11866714498468
24,"RADIUSG",9.03962449883347
25,"RADIUSG",9.10209815716468
26,"RADIUSG",9.09114230002577
27,"RADIUSG",9.19154404809626
28,"RADIUSG",9.12286897630392
29,"RADIUSG",9.12385578548631
30,"RADIUSG",9.11127712183072
31,"RADIUSG",9.11259267909561
32,"RADIUSG",9.01753474269103
33,"RADIUSG",9.02429755179437
34,"RADIUSG",8.92108216562735
35,"RADIUSG",9.13044402571217
36,"RADIUSG",8.98490854837197
37,"RADIUSG",9.01670967380475
38,"RADIUSG",9.01877122648046
39,"RADIUSG",8.95984151491743
40,"RADIUSG",9.03841946667145
41,"RADIUSG",8.94305713302721
42,"RADIUSG",8.93723725401242
43,"RADIUSG",9.091949696179
44,"RADIUSG",9.03105135239353
45,"RADIUSG",9.01321378837008
46,"RADIUSG",9.11060874128807
47,"RADIUSG",9.04420957502209
48,"RADIUSG",8.97806887897664
49,"RADIUSG",9.13416306346263
50,"RADIUSG",9.06370142694226
51,"RADIUSG",9.04286478105282
52,"RADIUSG",9.12901104853018
53,"RADIUSG",9.1141010820441
54,"RADIUSG",9.08882903027916
55,"RADIUSG",9.07497130823942
56,"RADIUSG",8.9735161085385
57,"RADIUSG",9.03060654499708
58,"RADIUSG",9.12973410287395
59,"RADIUSG",8.99453514193658
60,"RADIUSG",8.94190108788988
61,"RADIUSG",8.9730615154003
62,"RADIUSG",8.8790535211496
63,"RADIUSG",9.11471261809637
64,"RADIUSG",8.94818500662717
65,"RADIUSG",9.13036829359451
66,"RADIUSG",9.12831116653588
67,"RADIUSG",9.0544692690749
68,"RADIUSG",8.96030851915508
69,"RADIUSG",9.11970004330182
70,"RADIUSG",9.04205916800705
71,"RADIUSG",9.02140584266658
72,"RADIUSG",9.02314233520671
73,"RADIUSG",9.00693133939624
74,"RADIUSG",8.93711570581608
75,"RADIUSG",8.95722992654749
76,"RADIUSG",8.92259581273342
77,"RADIUSG",9.02195151851772
78,"RADIUSG",9.03324516913844
79,"RADIUSG",8.86541771313758
80,"RADIUSG",8.86111196349764
81,"RADIUSG",8.83230263899445
82,"RADIUSG",8.97653233864803
83,"RADIUSG",9.1240768932439
84,"RADIUSG",9.00890877279511
85,"RADIUSG",8.96168862006853
86,"RADIUSG",8.91267804788517
87,"RADIUSG",8.98385638102096
88,"RADIUSG",9.04593873374124
89,"RADIUSG",9.12141675472517
90,"RADIUSG",8.98644280703105
91,"RADIUSG",8.87956646755999
92,"RADIUSG",8.97836506358994
93,"RADIUSG",8.89268406459931
94,"RADIUSG",9.11891409801714
95,"RADIUSG",8.83804107667836
96,"RADIUSG",8.91777964345553
97,"RADIUSG",8.90523786983618
98,"RADIUSG",9.20755882039371
99,"RADIUSG",9.16458553160355
100,"RADIUSG",9.02036234078654
101,"RADIUSG",8.99697077823194
102,"RADIUSG",9.07590396205821
103,"RADIUSG",8.90146061302072
104,"RADIUSG",8.91687417395884
105,"RADIUSG",9.07996176843573
106,"RADIUSG",8.95463980147874
107,"RADIUSG",9.00072555831793
108,"RADIUSG",9.04888674743545
109,"RADIUSG",9.06919467595899
110,"RADIUSG",9.09732357978539
111,"RADIUSG",9.00296699003595
112,"RADIUSG",9.0963096473635
113,"RADIUSG",8.9630768337448
