Frame         Time          Elec          VdW           Nonbond       Total         
113           113           -4226.18      -600.483      -4826.67      -4826.67      
114           114           -4328.54      -601.933      -4930.47      -4930.47      
115           115           -4309.63      -590.367      -4900         -4900         
116           116           -4275.82      -556.648      -4832.47      -4832.47      
117           117           -4093.43      -596.832      -4690.26      -4690.26      
118           118           -4090.26      -602.903      -4693.17      -4693.17      
119           119           -4107.2       -591.34       -4698.54      -4698.54      
120           120           -4169.93      -645.453      -4815.38      -4815.38      
121           121           -4139.48      -615.016      -4754.49      -4754.49      
122           122           -4239.92      -535.138      -4775.06      -4775.06      
123           123           -4133.88      -559.681      -4693.56      -4693.56      
124           124           -4167.43      -624.792      -4792.22      -4792.22      
125           125           -4198.48      -602.961      -4801.44      -4801.44      
126           126           -4274.47      -594.334      -4868.8       -4868.8       
127           127           -4204.82      -575.082      -4779.9       -4779.9       
128           128           -4247.15      -605.276      -4852.42      -4852.42      
129           129           -4092.04      -609.962      -4702         -4702         
130           130           -3966.23      -644.678      -4610.91      -4610.91      
131           131           -4081.25      -619.96       -4701.21      -4701.21      
132           132           -4163.63      -608.025      -4771.65      -4771.65      
133           133           -4124.6       -648.961      -4773.56      -4773.56      
134           134           -4114.78      -622.356      -4737.13      -4737.13      
135           135           -4019.86      -561.056      -4580.92      -4580.92      
136           136           -4272.12      -587.457      -4859.58      -4859.58      
137           137           -4325.63      -603.867      -4929.5       -4929.5       
138           138           -4164.51      -613.927      -4778.43      -4778.43      
139           139           -4176.48      -605.296      -4781.78      -4781.78      
140           140           -3998.27      -619.649      -4617.91      -4617.91      
141           141           -4232.28      -642.907      -4875.19      -4875.19      
142           142           -4172.64      -647.893      -4820.54      -4820.54      
143           143           -4170.62      -587.68       -4758.3       -4758.3       
144           144           -4135.25      -633.368      -4768.62      -4768.62      
145           145           -4198.99      -600.863      -4799.85      -4799.85      
146           146           -3992.62      -654.878      -4647.49      -4647.49      
147           147           -3941.37      -597.575      -4538.95      -4538.95      
148           148           -3997.97      -634.917      -4632.89      -4632.89      
149           149           -3999.82      -627.161      -4626.98      -4626.98      
150           150           -4104.13      -637.696      -4741.83      -4741.83      
151           151           -4103.98      -630.345      -4734.32      -4734.32      
152           152           -4208.78      -564.514      -4773.29      -4773.29      
153           153           -4036.59      -610.689      -4647.27      -4647.27      
