Frame         Time          Elec          VdW           Nonbond       Total         
113           113           -4085.42      -604.679      -4690.09      -4690.09      
114           114           -4187.77      -606.719      -4794.49      -4794.49      
115           115           -3926.07      -597.693      -4523.76      -4523.76      
116           116           -4020.93      -574.604      -4595.53      -4595.53      
117           117           -3967.36      -596.837      -4564.2       -4564.2       
118           118           -3833.46      -589.856      -4423.32      -4423.32      
119           119           -3898.36      -586.168      -4484.53      -4484.53      
120           120           -3804.42      -608.865      -4413.28      -4413.28      
121           121           -3913         -566.268      -4479.27      -4479.27      
122           122           -3889.22      -573.98       -4463.2       -4463.2       
123           123           -4005.95      -576.696      -4582.65      -4582.65      
124           124           -4019.62      -616.602      -4636.22      -4636.22      
125           125           -4082.82      -581.107      -4663.93      -4663.93      
126           126           -4017.78      -524.765      -4542.55      -4542.55      
127           127           -4114.7       -550.632      -4665.33      -4665.33      
128           128           -4065.06      -580.65       -4645.71      -4645.71      
129           129           -4058.13      -583.248      -4641.38      -4641.38      
130           130           -4108.8       -644.409      -4753.21      -4753.21      
131           131           -3996.7       -538.064      -4534.76      -4534.76      
132           132           -4060.25      -625.206      -4685.46      -4685.46      
133           133           -4138.63      -578.455      -4717.08      -4717.08      
134           134           -4068.89      -565.899      -4634.79      -4634.79      
135           135           -4081.11      -592.976      -4674.09      -4674.09      
136           136           -4130.41      -581.267      -4711.67      -4711.67      
137           137           -4005.35      -595.034      -4600.38      -4600.38      
138           138           -4131.2       -619.887      -4751.09      -4751.09      
139           139           -4073.22      -633.821      -4707.04      -4707.04      
140           140           -4048.94      -582.609      -4631.55      -4631.55      
141           141           -4055.1       -620.62       -4675.72      -4675.72      
142           142           -3996.96      -625.459      -4622.42      -4622.42      
143           143           -4119.31      -586.598      -4705.91      -4705.91      
144           144           -4106.71      -611.677      -4718.39      -4718.39      
145           145           -4078.58      -569.694      -4648.28      -4648.28      
146           146           -4117.07      -569.31       -4686.38      -4686.38      
147           147           -4037.76      -545.855      -4583.61      -4583.61      
148           148           -4083.05      -553.364      -4636.42      -4636.42      
149           149           -3980.77      -614.773      -4595.55      -4595.55      
150           150           -4125.33      -570.219      -4695.55      -4695.55      
151           151           -4133.05      -573.586      -4706.63      -4706.63      
152           152           -4014.04      -566.997      -4581.04      -4581.04      
153           153           -3990.79      -630.777      -4621.57      -4621.57      
154           154           -4110.43      -569.471      -4679.9       -4679.9       
155           155           -4098.77      -601.031      -4699.8       -4699.8       
156           156           -4288.83      -602.288      -4891.12      -4891.12      
157           157           -4239.61      -583.105      -4822.71      -4822.71      
158           158           -4078.69      -594.051      -4672.74      -4672.74      
159           159           -4193.16      -579.413      -4772.57      -4772.57      
160           160           -4159.03      -602.715      -4761.74      -4761.74      
161           161           -4020.17      -621.774      -4641.94      -4641.94      
162           162           -4020.79      -528.716      -4549.51      -4549.51      
163           163           -3977.37      -614.218      -4591.59      -4591.59      
164           164           -4106.97      -565.529      -4672.5       -4672.5       
165           165           -4049         -600.157      -4649.16      -4649.16      
166           166           -4050.78      -611.574      -4662.35      -4662.35      
167           167           -4115.41      -584.006      -4699.42      -4699.42      
168           168           -4132.61      -576.759      -4709.37      -4709.37      
169           169           -4155.51      -571.414      -4726.93      -4726.93      
170           170           -4287.32      -558.259      -4845.58      -4845.58      
171           171           -4178.82      -613.011      -4791.83      -4791.83      
172           172           -4333.47      -574.112      -4907.58      -4907.58      
173           173           -4315.7       -561.481      -4877.18      -4877.18      
174           174           -4255.99      -591.002      -4846.99      -4846.99      
175           175           -4220.3       -579.285      -4799.58      -4799.58      
176           176           -4237.37      -552.699      -4790.07      -4790.07      
177           177           -4146.3       -590.884      -4737.19      -4737.19      
178           178           -4174.88      -625.361      -4800.25      -4800.25      
179           179           -4376.32      -604.501      -4980.82      -4980.82      
180           180           -4087.48      -619.139      -4706.62      -4706.62      
181           181           -4086.44      -562.942      -4649.38      -4649.38      
182           182           -4223.56      -599.65       -4823.21      -4823.21      
183           183           -4343.74      -562.66       -4906.4       -4906.4       
184           184           -4363.18      -610.908      -4974.09      -4974.09      
185           185           -4204.51      -593.047      -4797.56      -4797.56      
186           186           -4346.58      -612.147      -4958.73      -4958.73      
187           187           -4311.92      -607.429      -4919.35      -4919.35      
188           188           -4146.12      -607.172      -4753.29      -4753.29      
189           189           -4160.05      -599.833      -4759.89      -4759.89      
190           190           -4170.29      -604.514      -4774.81      -4774.81      
191           191           -4250.83      -597.438      -4848.26      -4848.26      
192           192           -4131.69      -611.076      -4742.77      -4742.77      
193           193           -4112.26      -603.691      -4715.96      -4715.96      
194           194           -4001.59      -599.156      -4600.75      -4600.75      
195           195           -4076.82      -616.205      -4693.02      -4693.02      
196           196           -4185.77      -584.025      -4769.79      -4769.79      
197           197           -4107.49      -594.12       -4701.61      -4701.61      
198           198           -4136.34      -570.129      -4706.47      -4706.47      
199           199           -4031.55      -595.149      -4626.7       -4626.7       
200           200           -4303.3       -581.411      -4884.71      -4884.71      
201           201           -4297.31      -629.516      -4926.82      -4926.82      
202           202           -4207.63      -609.198      -4816.83      -4816.83      
203           203           -4157.87      -565.29       -4723.16      -4723.16      
204           204           -4277.91      -607.96       -4885.87      -4885.87      
205           205           -4269.35      -602.457      -4871.81      -4871.81      
206           206           -4256.94      -570.832      -4827.77      -4827.77      
207           207           -4314.03      -592.083      -4906.11      -4906.11      
208           208           -4320.96      -589.941      -4910.9       -4910.9       
209           209           -4311.04      -628.62       -4939.66      -4939.66      
210           210           -4080.09      -618.757      -4698.85      -4698.85      
211           211           -4094.06      -623.462      -4717.52      -4717.52      
212           212           -4143.72      -636.441      -4780.17      -4780.17      
213           213           -4225         -630.318      -4855.32      -4855.32      
214           214           -4275.37      -580.959      -4856.33      -4856.33      
215           215           -4271.51      -582.935      -4854.44      -4854.44      
216           216           -4079.84      -595.682      -4675.52      -4675.52      
217           217           -4056.2       -567.083      -4623.28      -4623.28      
218           218           -4024.88      -610.184      -4635.06      -4635.06      
219           219           -4122.58      -611.614      -4734.2       -4734.2       
220           220           -4143.08      -579.11       -4722.19      -4722.19      
221           221           -4191.22      -568.84       -4760.06      -4760.06      
222           222           -4361.03      -604.184      -4965.22      -4965.22      
223           223           -4281.78      -605.458      -4887.24      -4887.24      
224           224           -4309.95      -615.981      -4925.93      -4925.93      
225           225           -4346.3       -574.805      -4921.1       -4921.1       
226           226           -4130.15      -629.707      -4759.85      -4759.85      
227           227           -4285.55      -591.168      -4876.72      -4876.72      
228           228           -4259.44      -595.835      -4855.27      -4855.27      
229           229           -4131.06      -627.871      -4758.93      -4758.93      
230           230           -4113.92      -578.929      -4692.85      -4692.85      
231           231           -4252.1       -602.403      -4854.51      -4854.51      
232           232           -4135.66      -633.349      -4769.01      -4769.01      
233           233           -4215.18      -568.984      -4784.17      -4784.17      
234           234           -4193.77      -595.903      -4789.67      -4789.67      
235           235           -4198.84      -607.32       -4806.16      -4806.16      
236           236           -4224.68      -556.932      -4781.61      -4781.61      
237           237           -4245.82      -615.003      -4860.83      -4860.83      
238           238           -4231.88      -603.403      -4835.28      -4835.28      
239           239           -4342.96      -575.158      -4918.11      -4918.11      
240           240           -4329.53      -614.53       -4944.06      -4944.06      
241           241           -4251.82      -563.868      -4815.69      -4815.69      
242           242           -4050.57      -590.031      -4640.6       -4640.6       
243           243           -4110.83      -551.537      -4662.36      -4662.36      
244           244           -4226.03      -618.394      -4844.42      -4844.42      
245           245           -4153.99      -590.716      -4744.71      -4744.71      
246           246           -4161.76      -532.868      -4694.63      -4694.63      
247           247           -4047.01      -634.559      -4681.57      -4681.57      
248           248           -4190.39      -573.101      -4763.49      -4763.49      
249           249           -4170.86      -607.811      -4778.67      -4778.67      
250           250           -4059.57      -586.784      -4646.35      -4646.35      
251           251           -3997.57      -589.65       -4587.22      -4587.22      
252           252           -4038.58      -583.294      -4621.87      -4621.87      
253           253           -4110.07      -579.233      -4689.31      -4689.31      
254           254           -4114.53      -573.145      -4687.67      -4687.67      
255           255           -4099.38      -642.146      -4741.52      -4741.52      
256           256           -4029.58      -627.062      -4656.64      -4656.64      
257           257           -4109.71      -591.181      -4700.89      -4700.89      
258           258           -4087.84      -612.441      -4700.28      -4700.28      
259           259           -4209.43      -589.154      -4798.58      -4798.58      
260           260           -4212.9       -545.875      -4758.78      -4758.78      
261           261           -4201.45      -570.155      -4771.6       -4771.6       
262           262           -4193.93      -655.915      -4849.85      -4849.85      
263           263           -4184.94      -645.481      -4830.42      -4830.42      
264           264           -4193.38      -634.705      -4828.09      -4828.09      
265           265           -4253.4       -646.249      -4899.64      -4899.64      
266           266           -4288.01      -637.697      -4925.71      -4925.71      
267           267           -4250.82      -652.816      -4903.64      -4903.64      
268           268           -4165.57      -627.24       -4792.81      -4792.81      
269           269           -4133.84      -656.833      -4790.67      -4790.67      
270           270           -4229.42      -597.848      -4827.27      -4827.27      
271           271           -4286.01      -638.986      -4925         -4925         
272           272           -4254.24      -629.853      -4884.09      -4884.09      
273           273           -4248.64      -618.807      -4867.45      -4867.45      
274           274           -4289.69      -624.87       -4914.56      -4914.56      
275           275           -4332.55      -670.328      -5002.87      -5002.87      
276           276           -4304.83      -596.431      -4901.26      -4901.26      
277           277           -4188.55      -624.76       -4813.31      -4813.31      
278           278           -4233.32      -660.286      -4893.6       -4893.6       
279           279           -4243.79      -643.01       -4886.8       -4886.8       
280           280           -4348.2       -615.459      -4963.66      -4963.66      
281           281           -4161.34      -643.764      -4805.11      -4805.11      
282           282           -4127.21      -616.358      -4743.57      -4743.57      
283           283           -4228.03      -576.423      -4804.46      -4804.46      
284           284           -4151.37      -627.166      -4778.54      -4778.54      
285           285           -4159.78      -618.369      -4778.15      -4778.15      
286           286           -4144.25      -634.616      -4778.87      -4778.87      
287           287           -4218.87      -622.172      -4841.04      -4841.04      
288           288           -4373.45      -603.648      -4977.1       -4977.1       
289           289           -4431.85      -574.294      -5006.14      -5006.14      
290           290           -4250.72      -569.222      -4819.94      -4819.94      
291           291           -4187.14      -582.347      -4769.49      -4769.49      
292           292           -4384.64      -593.739      -4978.38      -4978.38      
293           293           -4348.07      -566.045      -4914.12      -4914.12      
294           294           -4394.74      -589.25       -4983.99      -4983.99      
295           295           -4395.35      -588.993      -4984.35      -4984.35      
296           296           -4184.44      -646.956      -4831.39      -4831.39      
297           297           -4241.56      -635.566      -4877.12      -4877.12      
298           298           -4178.64      -606.43       -4785.07      -4785.07      
299           299           -4230.52      -557.551      -4788.07      -4788.07      
300           300           -4085.87      -616.582      -4702.45      -4702.45      
301           301           -4060.33      -600.176      -4660.5       -4660.5       
302           302           -4223.7       -612.431      -4836.13      -4836.13      
303           303           -3974.41      -579.049      -4553.45      -4553.45      
304           304           -4071.36      -636.429      -4707.79      -4707.79      
305           305           -4083.57      -622.177      -4705.74      -4705.74      
306           306           -4229         -613.992      -4842.99      -4842.99      
307           307           -4092.08      -604.477      -4696.56      -4696.56      
308           308           -4130.86      -614.763      -4745.62      -4745.62      
309           309           -4167.04      -583.514      -4750.55      -4750.55      
310           310           -4032.56      -593.792      -4626.35      -4626.35      
311           311           -3907.31      -598.71       -4506.02      -4506.02      
312           312           -4045.67      -588.423      -4634.09      -4634.09      
313           313           -4184.84      -640.733      -4825.57      -4825.57      
314           314           -4061.97      -598.325      -4660.3       -4660.3       
315           315           -4132.11      -601.438      -4733.55      -4733.55      
316           316           -4125.89      -621.604      -4747.5       -4747.5       
317           317           -4058.22      -583.729      -4641.95      -4641.95      
318           318           -4005.77      -588.811      -4594.58      -4594.58      
319           319           -4127.1       -606.363      -4733.46      -4733.46      
320           320           -4065.23      -607.297      -4672.53      -4672.53      
321           321           -4182.62      -570.986      -4753.6       -4753.6       
322           322           -4042.08      -622.546      -4664.63      -4664.63      
323           323           -4163.84      -611.068      -4774.91      -4774.91      
324           324           -4232.62      -572.408      -4805.03      -4805.03      
325           325           -4142.47      -636.363      -4778.84      -4778.84      
326           326           -4015.35      -603.84       -4619.19      -4619.19      
327           327           -4036.18      -587.437      -4623.62      -4623.62      
328           328           -4079.22      -567.882      -4647.1       -4647.1       
329           329           -4040.46      -614.919      -4655.38      -4655.38      
330           330           -4180.22      -570.034      -4750.26      -4750.26      
331           331           -4054.43      -567.246      -4621.68      -4621.68      
332           332           -4235.04      -557.964      -4793         -4793         
333           333           -4184.23      -604.832      -4789.06      -4789.06      
334           334           -4116.45      -600.323      -4716.77      -4716.77      
335           335           -4113.52      -558.615      -4672.13      -4672.13      
336           336           -4025.53      -536.985      -4562.52      -4562.52      
337           337           -3914.4       -590.375      -4504.78      -4504.78      
338           338           -4087.93      -562.506      -4650.43      -4650.43      
339           339           -4019.71      -593.4        -4613.11      -4613.11      
340           340           -4152.94      -531.234      -4684.17      -4684.17      
341           341           -4198.79      -589.901      -4788.69      -4788.69      
342           342           -4232         -572.296      -4804.29      -4804.29      
343           343           -4190.63      -585.93       -4776.56      -4776.56      
344           344           -4141.69      -560.527      -4702.22      -4702.22      
345           345           -4294.28      -600.437      -4894.71      -4894.71      
346           346           -4270.54      -613.608      -4884.15      -4884.15      
347           347           -4192.77      -584.243      -4777.02      -4777.02      
348           348           -4295.9       -570.121      -4866.02      -4866.02      
349           349           -4111.78      -637.977      -4749.76      -4749.76      
350           350           -4280.38      -596.737      -4877.12      -4877.12      
351           351           -4215.54      -557.787      -4773.33      -4773.33      
352           352           -4125.45      -578.525      -4703.97      -4703.97      
353           353           -4198.13      -604.966      -4803.1       -4803.1       
354           354           -4182.39      -589.274      -4771.67      -4771.67      
355           355           -4194.26      -572.302      -4766.56      -4766.56      
356           356           -4048.13      -546.628      -4594.75      -4594.75      
357           357           -4176.05      -585.909      -4761.96      -4761.96      
358           358           -4224.3       -611.916      -4836.21      -4836.21      
359           359           -4199.06      -565.387      -4764.44      -4764.44      
360           360           -4188.25      -622.724      -4810.98      -4810.98      
361           361           -4241.43      -576.994      -4818.42      -4818.42      
362           362           -4232.21      -602.747      -4834.95      -4834.95      
363           363           -4057.71      -600.808      -4658.52      -4658.52      
364           364           -4128.46      -585.99       -4714.45      -4714.45      
365           365           -4211.84      -563.358      -4775.2       -4775.2       
366           366           -4169.51      -615.474      -4784.98      -4784.98      
367           367           -4174.34      -564.684      -4739.02      -4739.02      
368           368           -4051.04      -575.513      -4626.56      -4626.56      
369           369           -4035.93      -604.911      -4640.84      -4640.84      
370           370           -3998.16      -556.945      -4555.1       -4555.1       
371           371           -4186.27      -544.942      -4731.21      -4731.21      
372           372           -4186.94      -566.084      -4753.02      -4753.02      
373           373           -4212.94      -566.796      -4779.74      -4779.74      
374           374           -4273.31      -506.224      -4779.54      -4779.54      
375           375           -4110.4       -544.452      -4654.85      -4654.85      
376           376           -4021.5       -572.582      -4594.08      -4594.08      
377           377           -4041.71      -591.231      -4632.94      -4632.94      
378           378           -4059.93      -551.764      -4611.69      -4611.69      
379           379           -3991.12      -574.284      -4565.41      -4565.41      
380           380           -4107.16      -536.986      -4644.15      -4644.15      
381           381           -3964.16      -575.346      -4539.5       -4539.5       
382           382           -4021.54      -568.968      -4590.51      -4590.51      
383           383           -4156.11      -548.841      -4704.95      -4704.95      
384           384           -4193.91      -589.177      -4783.09      -4783.09      
385           385           -4205.61      -575.554      -4781.16      -4781.16      
386           386           -4175.42      -568.956      -4744.38      -4744.38      
387           387           -4084         -604.928      -4688.92      -4688.92      
388           388           -4176.56      -565.964      -4742.52      -4742.52      
389           389           -4149.72      -587.407      -4737.13      -4737.13      
390           390           -4194.25      -545.983      -4740.23      -4740.23      
391           391           -4277.33      -547.101      -4824.43      -4824.43      
392           392           -4325.32      -574.715      -4900.03      -4900.03      
393           393           -4214.26      -584.117      -4798.38      -4798.38      
394           394           -4192.64      -522.056      -4714.69      -4714.69      
395           395           -4237.77      -574.536      -4812.3       -4812.3       
396           396           -4126.89      -567.29       -4694.18      -4694.18      
397           397           -4297.18      -533.515      -4830.7       -4830.7       
398           398           -4177.15      -584.412      -4761.57      -4761.57      
399           399           -4187.29      -602.414      -4789.71      -4789.71      
400           400           -4057.62      -569.389      -4627.01      -4627.01      
401           401           -4129.9       -558.938      -4688.83      -4688.83      
402           402           -4099.45      -571.463      -4670.92      -4670.92      
403           403           -4155.91      -576.346      -4732.26      -4732.26      
404           404           -4022.28      -596.802      -4619.08      -4619.08      
405           405           -4065.23      -590.558      -4655.79      -4655.79      
406           406           -3945.25      -612.424      -4557.67      -4557.67      
407           407           -4053.21      -566.549      -4619.76      -4619.76      
408           408           -4078.99      -561.253      -4640.25      -4640.25      
409           409           -4095.37      -607.159      -4702.52      -4702.52      
410           410           -4130.82      -594.139      -4724.96      -4724.96      
411           411           -4102.29      -646.106      -4748.39      -4748.39      
412           412           -4122.89      -583.126      -4706.01      -4706.01      
413           413           -4230.87      -594.858      -4825.73      -4825.73      
414           414           -4091.81      -582.902      -4674.71      -4674.71      
415           415           -4038.37      -566.335      -4604.7       -4604.7       
416           416           -4100.54      -607.574      -4708.12      -4708.12      
417           417           -4074.99      -586.924      -4661.91      -4661.91      
418           418           -3909.69      -608.223      -4517.91      -4517.91      
419           419           -3889.33      -610.123      -4499.45      -4499.45      
420           420           -4035.22      -547.6        -4582.82      -4582.82      
421           421           -4063.76      -580.178      -4643.94      -4643.94      
422           422           -4068.4       -563.891      -4632.29      -4632.29      
423           423           -4169.01      -569.785      -4738.8       -4738.8       
424           424           -3954.18      -564.959      -4519.14      -4519.14      
425           425           -4040.82      -603.745      -4644.56      -4644.56      
426           426           -4047.28      -607.276      -4654.56      -4654.56      
427           427           -4007.41      -587.256      -4594.67      -4594.67      
428           428           -4037.4       -589.124      -4626.53      -4626.53      
429           429           -3944.15      -544.216      -4488.37      -4488.37      
430           430           -3914.68      -617.857      -4532.54      -4532.54      
431           431           -3893.29      -567.748      -4461.04      -4461.04      
432           432           -4016.02      -546.508      -4562.53      -4562.53      
433           433           -4010         -547.308      -4557.31      -4557.31      
434           434           -3912.46      -589.317      -4501.78      -4501.78      
435           435           -3849.87      -577.553      -4427.42      -4427.42      
436           436           -3949.73      -577.389      -4527.12      -4527.12      
437           437           -3867.38      -599.509      -4466.89      -4466.89      
438           438           -4054.63      -548.06       -4602.69      -4602.69      
439           439           -4001.79      -546.486      -4548.28      -4548.28      
440           440           -3838.4       -593.952      -4432.35      -4432.35      
441           441           -4010.56      -578.265      -4588.83      -4588.83      
442           442           -4055.99      -577.696      -4633.68      -4633.68      
443           443           -3977.33      -555.501      -4532.83      -4532.83      
444           444           -3986.2       -548.781      -4534.98      -4534.98      
