Conformation, LigandName, Frame, AD_BindingEnergy,VN_BindingEnergy, Average_Energy
namd-av01,av01,frame01985,0.24,0.0,0.12
namd-av01,av01,frame01811,0.2,0.0,0.1
namd-av01,av01,frame01531,0.21,0.0,0.105
namd-av01,av01,frame01888,0.22,0.0,0.11
namd-av01,av01,frame01546,0.19,0.0,0.095
namd-av01,av01,frame00006,-6.35,-7.89295,-7.121
namd-av01,av01,frame00192,0.17,0.0,0.085
namd-av01,av01,frame00071,-0.97,-2.34884,-1.659
namd-av01,av01,frame01619,0.25,0.0,0.125
namd-av01,av01,frame01763,0.2,0.0,0.1
namd-av01,av01,frame01680,0.17,0.0,0.085
namd-av01,av01,frame01714,0.15,0.0,0.075
namd-av01,av01,frame00961,0.15,0.0,0.075
namd-av01,av01,frame00916,0.23,0.0,0.115
namd-av01,av01,frame00882,0.23,0.0,0.115
namd-av01,av01,frame00436,0.31,0.0,0.155
namd-av01,av01,frame00441,0.18,0.0,0.09
namd-av01,av01,frame01229,0.16,0.0,0.08
namd-av01,av01,frame01353,0.21,0.0,0.105
namd-av01,av01,frame01324,0.19,0.0,0.095
namd-av01,av01,frame00546,-1.35,-1.20452,-1.277
namd-av01,av01,frame00888,0.17,0.0,0.085
namd-av01,av01,frame00531,0.18,0.0,0.09
namd-av01,av01,frame00985,0.26,0.0,0.13
namd-av01,av01,frame00811,0.2,0.0,0.1
namd-av01,av01,frame00866,0.25,0.0,0.125
namd-av01,av01,frame01223,0.22,0.0,0.11
namd-av01,av01,frame01254,0.22,0.0,0.11
namd-av01,av01,frame01359,0.17,0.0,0.085
namd-av01,av01,frame00176,0.25,0.0,0.125
namd-av01,av01,frame00095,-0.85,-1.95419,-1.402
namd-av01,av01,frame00101,0.17,0.0,0.085
namd-av01,av01,frame00198,0.16,0.0,0.08
namd-av01,av01,frame01613,0.2,0.0,0.1
namd-av01,av01,frame01787,0.14,0.0,0.07
namd-av01,av01,frame01664,0.19,0.0,0.095
namd-av01,av01,frame01769,0.21,0.0,0.105
namd-av01,av01,frame01157,0.2,0.0,0.1
