"FRAME","SYSTEM","RMSD"
1,"RMSD",0.000488552555907518
2,"RMSD",0.938562095165253
3,"RMSD",1.3930606842041
4,"RMSD",1.34359395503998
5,"RMSD",1.81811630725861
6,"RMSD",2.1968400478363
7,"RMSD",1.75612902641296
8,"RMSD",1.73528242111206
9,"RMSD",1.58989143371582
10,"RMSD",1.34366345405579
11,"RMSD",1.62591135501862
12,"RMSD",2.00150775909424
13,"RMSD",2.1145806312561
14,"RMSD",1.92864501476288
15,"RMSD",1.78700256347656
16,"RMSD",1.76942348480225
17,"RMSD",1.86550080776215
18,"RMSD",1.59637939929962
19,"RMSD",1.75156724452972
20,"RMSD",1.87067580223083
21,"RMSD",2.12219738960266
22,"RMSD",2.31141424179077
23,"RMSD",1.92703652381897
24,"RMSD",1.93563830852509
25,"RMSD",1.73152542114258
26,"RMSD",1.50854051113129
27,"RMSD",2.12063717842102
28,"RMSD",1.8137800693512
29,"RMSD",1.66304862499237
30,"RMSD",1.92564475536346
31,"RMSD",2.32017612457275
32,"RMSD",1.81735718250275
33,"RMSD",2.10179781913757
34,"RMSD",1.76201677322388
35,"RMSD",1.44841432571411
36,"RMSD",1.30716466903687
37,"RMSD",1.48428606987
38,"RMSD",1.74768781661987
39,"RMSD",1.73121511936188
40,"RMSD",1.55974042415619
41,"RMSD",1.08547639846802
42,"RMSD",1.13460838794708
43,"RMSD",1.06338024139404
44,"RMSD",1.30553364753723
45,"RMSD",1.79914343357086
46,"RMSD",2.07275438308716
47,"RMSD",2.37230229377747
48,"RMSD",1.98434436321259
49,"RMSD",1.55656576156616
50,"RMSD",1.70711541175842
51,"RMSD",2.31131911277771
52,"RMSD",2.385178565979
53,"RMSD",2.29011178016663
54,"RMSD",2.05745410919189
55,"RMSD",2.49041032791138
56,"RMSD",2.45701432228088
57,"RMSD",2.32379460334778
58,"RMSD",2.42571067810059
59,"RMSD",2.43416285514832
60,"RMSD",1.94357860088348
61,"RMSD",2.19839429855347
62,"RMSD",2.86258101463318
63,"RMSD",2.67731618881226
64,"RMSD",1.94275379180908
65,"RMSD",2.64525151252747
66,"RMSD",2.27660036087036
67,"RMSD",2.30795001983643
68,"RMSD",2.99165439605713
69,"RMSD",3.21869230270386
70,"RMSD",3.75721049308777
71,"RMSD",3.2929310798645
72,"RMSD",3.2407374382019
73,"RMSD",3.30702137947083
74,"RMSD",2.84854531288147
75,"RMSD",3.00216746330261
76,"RMSD",3.2080671787262
77,"RMSD",3.0786600112915
78,"RMSD",3.30833148956299
79,"RMSD",2.69488406181335
80,"RMSD",3.10142040252686
81,"RMSD",3.09893393516541
82,"RMSD",2.96622490882874
83,"RMSD",2.59665274620056
84,"RMSD",2.624596118927
85,"RMSD",2.81769490242004
86,"RMSD",2.38232970237732
87,"RMSD",2.16800689697266
88,"RMSD",1.92525005340576
89,"RMSD",2.00919604301453
90,"RMSD",2.29241490364075
91,"RMSD",2.43772339820862
92,"RMSD",2.72849941253662
93,"RMSD",2.74628829956055
94,"RMSD",3.13856911659241
95,"RMSD",2.81020212173462
96,"RMSD",3.00036931037903
97,"RMSD",3.0645318031311
98,"RMSD",3.22358775138855
99,"RMSD",3.15125274658203
100,"RMSD",3.95147371292114
101,"RMSD",3.68315267562866
102,"RMSD",3.81509208679199
103,"RMSD",3.56411647796631
104,"RMSD",3.42668581008911
105,"RMSD",3.7746684551239
106,"RMSD",3.81355094909668
107,"RMSD",3.71225786209106
108,"RMSD",3.61703395843506
109,"RMSD",4.161789894104
110,"RMSD",3.98048710823059
111,"RMSD",3.38620018959045
112,"RMSD",3.5008373260498
113,"RMSD",3.19102382659912
114,"RMSD",2.90317487716675
115,"RMSD",3.05779123306274
116,"RMSD",3.19524574279785
117,"RMSD",3.21327519416809
118,"RMSD",3.21883988380432
119,"RMSD",2.81243944168091
120,"RMSD",3.18770623207092
121,"RMSD",3.77775192260742
122,"RMSD",3.86397695541382
123,"RMSD",4.07563877105713
124,"RMSD",3.98858070373535
125,"RMSD",4.79442882537842
126,"RMSD",4.18990659713745
127,"RMSD",4.17432451248169
128,"RMSD",4.19769382476807
129,"RMSD",4.05157518386841
130,"RMSD",4.33075571060181
131,"RMSD",3.73676443099976
132,"RMSD",3.86053156852722
133,"RMSD",4.19196748733521
134,"RMSD",4.72119569778442
135,"RMSD",4.87891387939453
136,"RMSD",5.04801034927368
137,"RMSD",5.22559118270874
138,"RMSD",5.20875549316406
139,"RMSD",4.86903285980225
140,"RMSD",4.04674959182739
141,"RMSD",4.55316019058228
142,"RMSD",4.10474729537964
143,"RMSD",4.67293834686279
144,"RMSD",4.16947889328003
145,"RMSD",4.07138109207153
146,"RMSD",4.24792861938477
147,"RMSD",4.50379467010498
148,"RMSD",3.90518689155579
149,"RMSD",3.98119783401489
150,"RMSD",4.09332180023193
151,"RMSD",3.90809440612793
152,"RMSD",4.08569717407227
153,"RMSD",4.49916839599609
154,"RMSD",4.08193826675415
155,"RMSD",4.39510059356689
156,"RMSD",4.74997282028198
157,"RMSD",5.05880403518677
158,"RMSD",5.261061668396
159,"RMSD",5.67061519622803
160,"RMSD",4.77278852462769
161,"RMSD",5.336829662323
162,"RMSD",5.24209594726562
163,"RMSD",5.32649707794189
164,"RMSD",4.73160743713379
165,"RMSD",5.22974872589111
166,"RMSD",4.97350215911865
167,"RMSD",5.06693696975708
168,"RMSD",4.69766330718994
169,"RMSD",5.23534059524536
170,"RMSD",4.98837375640869
171,"RMSD",4.54962778091431
172,"RMSD",4.32331895828247
173,"RMSD",4.97622776031494
174,"RMSD",4.78380012512207
175,"RMSD",4.87193918228149
176,"RMSD",4.63650798797607
177,"RMSD",5.38714075088501
178,"RMSD",5.21153163909912
179,"RMSD",5.17015647888184
180,"RMSD",5.4880051612854
181,"RMSD",5.46496200561523
182,"RMSD",5.2026047706604
183,"RMSD",5.68367147445679
184,"RMSD",5.56762266159058
185,"RMSD",5.50518465042114
186,"RMSD",6.12104034423828
187,"RMSD",5.90010595321655
188,"RMSD",6.19818162918091
189,"RMSD",5.81979036331177
190,"RMSD",6.45582437515259
191,"RMSD",6.65537691116333
192,"RMSD",5.75811243057251
193,"RMSD",5.68711280822754
194,"RMSD",5.55195760726929
195,"RMSD",5.50632524490356
196,"RMSD",6.48007440567017
197,"RMSD",6.54263496398926
198,"RMSD",6.41992330551147
199,"RMSD",6.97908639907837
200,"RMSD",6.47685670852661
201,"RMSD",5.91380310058594
202,"RMSD",5.98994255065918
203,"RMSD",5.95402812957764
204,"RMSD",5.87931346893311
205,"RMSD",5.65158224105835
206,"RMSD",5.99023199081421
207,"RMSD",5.6120662689209
208,"RMSD",5.76021289825439
209,"RMSD",5.41640567779541
210,"RMSD",6.23098993301392
211,"RMSD",6.65962362289429
212,"RMSD",6.19849157333374
213,"RMSD",7.12590599060059
214,"RMSD",6.44781160354614
215,"RMSD",7.03743934631348
216,"RMSD",7.30724620819092
217,"RMSD",6.90712547302246
218,"RMSD",7.21674680709839
219,"RMSD",7.38396120071411
220,"RMSD",7.42515754699707
221,"RMSD",7.17173528671265
222,"RMSD",6.10300731658936
223,"RMSD",6.11590433120728
224,"RMSD",6.54575538635254
225,"RMSD",6.1377739906311
226,"RMSD",6.41185426712036
227,"RMSD",6.06943273544312
228,"RMSD",5.933997631073
229,"RMSD",6.38843584060669
230,"RMSD",6.49522018432617
231,"RMSD",6.484215259552
232,"RMSD",6.63046264648438
233,"RMSD",5.69884490966797
234,"RMSD",5.50448656082153
235,"RMSD",5.58461093902588
236,"RMSD",5.76226997375488
237,"RMSD",5.51675796508789
238,"RMSD",5.71403551101685
239,"RMSD",5.54394483566284
240,"RMSD",6.08438491821289
241,"RMSD",5.29515171051025
242,"RMSD",4.9972095489502
243,"RMSD",5.04084873199463
244,"RMSD",5.29182195663452
245,"RMSD",5.29524850845337
246,"RMSD",5.78401231765747
247,"RMSD",6.19192886352539
248,"RMSD",5.57291984558105
249,"RMSD",6.06745958328247
250,"RMSD",5.5603666305542
251,"RMSD",4.92753505706787
252,"RMSD",5.44736242294312
253,"RMSD",5.36955785751343
254,"RMSD",5.73193597793579
255,"RMSD",5.15335559844971
256,"RMSD",5.50074863433838
257,"RMSD",6.3846869468689
258,"RMSD",6.67330741882324
259,"RMSD",7.09256649017334
260,"RMSD",6.31212759017944
261,"RMSD",6.41156196594238
262,"RMSD",7.05961036682129
263,"RMSD",8.15121746063232
264,"RMSD",7.46270561218262
265,"RMSD",8.20370006561279
266,"RMSD",8.03065967559814
267,"RMSD",7.68187618255615
268,"RMSD",7.78599309921265
269,"RMSD",7.52086162567139
270,"RMSD",8.042160987854
271,"RMSD",7.88360643386841
272,"RMSD",7.87552499771118
273,"RMSD",7.78210306167603
274,"RMSD",7.06877899169922
275,"RMSD",7.36087894439697
276,"RMSD",7.39834356307983
277,"RMSD",7.78631019592285
278,"RMSD",7.45778131484985
279,"RMSD",7.78416967391968
280,"RMSD",7.92410707473755
281,"RMSD",9.0146427154541
282,"RMSD",8.50460338592529
283,"RMSD",8.99742126464844
284,"RMSD",9.38849449157715
285,"RMSD",9.03184413909912
286,"RMSD",8.69353199005127
287,"RMSD",8.39079666137695
288,"RMSD",7.97806024551392
289,"RMSD",7.91299295425415
290,"RMSD",8.14643001556396
291,"RMSD",8.3525972366333
292,"RMSD",8.24493885040283
293,"RMSD",8.62920475006104
294,"RMSD",8.70336723327637
295,"RMSD",8.69280052185059
296,"RMSD",8.48547077178955
297,"RMSD",9.06399345397949
298,"RMSD",8.50714683532715
299,"RMSD",8.68269824981689
300,"RMSD",8.62907028198242
301,"RMSD",7.72242021560669
302,"RMSD",7.49459409713745
303,"RMSD",7.12047529220581
