Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -3838.25      -572.517      -4410.76      -4410.76      
1             1             -3915.46      -567.01       -4482.47      -4482.47      
2             2             -3996.44      -582.044      -4578.48      -4578.48      
3             3             -4036.57      -646.502      -4683.07      -4683.07      
4             4             -3960.88      -570.142      -4531.02      -4531.02      
5             5             -4078.76      -584.643      -4663.41      -4663.41      
6             6             -4054.55      -601.405      -4655.95      -4655.95      
7             7             -4227.5       -523.865      -4751.36      -4751.36      
8             8             -4174.11      -586.644      -4760.75      -4760.75      
9             9             -4159.99      -585.313      -4745.31      -4745.31      
10            10            -3947.49      -606.749      -4554.24      -4554.24      
11            11            -4123.36      -547.04       -4670.4       -4670.4       
12            12            -4073.79      -597.585      -4671.38      -4671.38      
13            13            -4068.41      -546.875      -4615.28      -4615.28      
14            14            -4068.45      -629.905      -4698.36      -4698.36      
15            15            -4079.54      -621.36       -4700.9       -4700.9       
16            16            -4155.91      -598.858      -4754.77      -4754.77      
17            17            -4180.12      -559.594      -4739.71      -4739.71      
18            18            -3999.04      -573.446      -4572.49      -4572.49      
19            19            -4039.3       -628.518      -4667.82      -4667.82      
20            20            -4078.09      -614.84       -4692.93      -4692.93      
21            21            -4140.5       -601.353      -4741.85      -4741.85      
22            22            -4230.98      -606.827      -4837.8       -4837.8       
23            23            -4046.43      -583.347      -4629.77      -4629.77      
24            24            -4060.42      -597.269      -4657.69      -4657.69      
25            25            -3923.22      -592.179      -4515.4       -4515.4       
26            26            -4022.55      -630.735      -4653.29      -4653.29      
27            27            -4037.61      -604.483      -4642.1       -4642.1       
28            28            -4014.56      -595.601      -4610.16      -4610.16      
29            29            -4037.27      -555.955      -4593.22      -4593.22      
30            30            -4156.08      -634.234      -4790.31      -4790.31      
31            31            -4273.58      -586.211      -4859.8       -4859.8       
32            32            -4359.49      -550.144      -4909.64      -4909.64      
33            33            -4276.89      -637.396      -4914.29      -4914.29      
34            34            -4064.89      -648.556      -4713.45      -4713.45      
35            35            -4195.64      -614.241      -4809.88      -4809.88      
36            36            -4245.92      -616.022      -4861.94      -4861.94      
37            37            -4266.34      -625.64       -4891.98      -4891.98      
38            38            -4272.46      -577.594      -4850.06      -4850.06      
39            39            -4319.58      -602.251      -4921.83      -4921.83      
40            40            -4395.33      -606.769      -5002.1       -5002.1       
41            41            -4371.71      -595.855      -4967.57      -4967.57      
42            42            -4445.04      -541.379      -4986.42      -4986.42      
43            43            -4235.42      -596.167      -4831.59      -4831.59      
44            44            -4287.57      -607.829      -4895.4       -4895.4       
45            45            -4162.18      -597.115      -4759.29      -4759.29      
46            46            -4110.57      -545.309      -4655.88      -4655.88      
47            47            -4138.6       -542.459      -4681.06      -4681.06      
48            48            -4092.37      -604.078      -4696.45      -4696.45      
49            49            -4273.58      -578.625      -4852.21      -4852.21      
50            50            -4200.1       -592.885      -4792.99      -4792.99      
51            51            -4308.75      -600.4        -4909.15      -4909.15      
52            52            -4164.18      -559.379      -4723.56      -4723.56      
53            53            -4291.49      -628.874      -4920.36      -4920.36      
54            54            -4106.31      -639.922      -4746.24      -4746.24      
55            55            -3943.19      -613.235      -4556.43      -4556.43      
56            56            -4192.79      -604.237      -4797.03      -4797.03      
