"FRAME","SYSTEM","RADIOG"
1,"RADIUSG",8.96047552356247
2,"RADIUSG",8.94905115184973
3,"RADIUSG",9.09027606873481
4,"RADIUSG",9.00036716070209
5,"RADIUSG",8.93924513823351
6,"RADIUSG",9.18864634245568
7,"RADIUSG",9.09232338151529
8,"RADIUSG",8.92247674761927
9,"RADIUSG",9.15288681857346
10,"RADIUSG",9.00253466534386
11,"RADIUSG",9.01761474450362
12,"RADIUSG",9.0879181522298
13,"RADIUSG",8.97173472357511
14,"RADIUSG",9.03055547265883
15,"RADIUSG",9.03506676438987
16,"RADIUSG",8.88912215229185
17,"RADIUSG",9.04041663311829
18,"RADIUSG",8.98101081269032
19,"RADIUSG",9.0958816266064
20,"RADIUSG",9.15255095770164
21,"RADIUSG",9.0598442384169
22,"RADIUSG",8.99667121623191
23,"RADIUSG",8.92791569951213
24,"RADIUSG",8.97701975782967
25,"RADIUSG",9.11934246999088
26,"RADIUSG",9.04307667557178
27,"RADIUSG",9.13321002957965
28,"RADIUSG",8.97163337095283
29,"RADIUSG",9.16003873271608
30,"RADIUSG",9.02582936874118
31,"RADIUSG",8.94329673284087
32,"RADIUSG",9.13905125585127
33,"RADIUSG",9.03951405641829
34,"RADIUSG",9.17600675539119
35,"RADIUSG",8.99624816934936
36,"RADIUSG",9.11862552828587
37,"RADIUSG",9.08260560702227
38,"RADIUSG",9.05898683959913
39,"RADIUSG",9.06068805450723
40,"RADIUSG",8.95227192189372
41,"RADIUSG",9.01684366704898
42,"RADIUSG",8.98674358085476
43,"RADIUSG",9.14223531355977
44,"RADIUSG",8.81861745226912
45,"RADIUSG",8.95047636191597
46,"RADIUSG",8.91934267558756
47,"RADIUSG",9.00335739224137
48,"RADIUSG",8.98992607597987
49,"RADIUSG",8.97258235465699
50,"RADIUSG",8.99686911075304
51,"RADIUSG",8.82037362061436
52,"RADIUSG",8.97505686389363
53,"RADIUSG",9.09620380182438
54,"RADIUSG",8.86567442160035
55,"RADIUSG",8.8717316627303
56,"RADIUSG",8.99403937553242
57,"RADIUSG",8.94893274978518
58,"RADIUSG",9.23415281227161
59,"RADIUSG",8.97966054697345
60,"RADIUSG",8.98342898746239
61,"RADIUSG",8.85349893540139
62,"RADIUSG",8.9763311228364
63,"RADIUSG",9.11415915053274
64,"RADIUSG",8.83164992125463
65,"RADIUSG",9.01803731797024
66,"RADIUSG",8.95229635139989
67,"RADIUSG",8.91172888494911
68,"RADIUSG",9.08257297305846
69,"RADIUSG",9.23631304523187
70,"RADIUSG",9.09449816369412
71,"RADIUSG",9.1006599931513
72,"RADIUSG",8.91084246711841
73,"RADIUSG",9.25192826534858
74,"RADIUSG",8.91071393308571
75,"RADIUSG",8.85712767605008
76,"RADIUSG",8.95175543026085
77,"RADIUSG",8.95342099358951
78,"RADIUSG",8.94594914760507
79,"RADIUSG",8.94957387504623
80,"RADIUSG",9.02297123918365
81,"RADIUSG",9.0493646068113
82,"RADIUSG",9.09012888492378
83,"RADIUSG",8.9798020521522
84,"RADIUSG",8.91087121074403
85,"RADIUSG",8.98284421152213
86,"RADIUSG",8.84209347645384
87,"RADIUSG",9.00654352732409
88,"RADIUSG",8.99980955671202
89,"RADIUSG",9.0103588677687
90,"RADIUSG",8.95885661079785
91,"RADIUSG",8.96796570177072
92,"RADIUSG",9.08438934472959
93,"RADIUSG",9.11808308911576
94,"RADIUSG",8.96929768118194
95,"RADIUSG",9.146984897225
96,"RADIUSG",9.00619131192704
97,"RADIUSG",9.05389976982445
98,"RADIUSG",8.81466564276571
99,"RADIUSG",8.82459157456117
100,"RADIUSG",8.80121969066814
101,"RADIUSG",8.9721027574778
102,"RADIUSG",8.81381890683556
103,"RADIUSG",8.88103073675482
104,"RADIUSG",8.76536606030907
105,"RADIUSG",8.85677552251467
106,"RADIUSG",8.95948837699819
107,"RADIUSG",9.04319205251024
108,"RADIUSG",8.88595731906641
109,"RADIUSG",9.36238354861687
110,"RADIUSG",8.92508473921966
111,"RADIUSG",8.87248742858057
112,"RADIUSG",9.16936910227014
113,"RADIUSG",9.0565880126278
114,"RADIUSG",9.02268627374467
115,"RADIUSG",8.9218737288082
116,"RADIUSG",9.20782714078691
117,"RADIUSG",8.92597712801527
118,"RADIUSG",9.15552497869636
119,"RADIUSG",9.19921053212931
120,"RADIUSG",9.03055667538558
121,"RADIUSG",8.88844726073034
122,"RADIUSG",9.15481841012772
123,"RADIUSG",9.07859807239682
124,"RADIUSG",9.30220250104606
125,"RADIUSG",9.13973332860725
126,"RADIUSG",9.16759133434737
127,"RADIUSG",9.07796254405912
128,"RADIUSG",8.91605308602436
129,"RADIUSG",9.09819913623197
130,"RADIUSG",9.05442237034149
131,"RADIUSG",8.92693451581991
132,"RADIUSG",9.04863512645325
133,"RADIUSG",9.01832610914933
134,"RADIUSG",8.97913640086294
135,"RADIUSG",9.08665875160906
136,"RADIUSG",8.86230858626918
137,"RADIUSG",9.11576125956753
138,"RADIUSG",8.92988675993009
139,"RADIUSG",8.99541637197882
140,"RADIUSG",9.29301936311223
141,"RADIUSG",9.02093483946485
142,"RADIUSG",9.00076033445259
143,"RADIUSG",8.89591516079928
144,"RADIUSG",9.04847421557153
145,"RADIUSG",9.05142743756717
146,"RADIUSG",8.88902265992147
147,"RADIUSG",9.00766436617342
148,"RADIUSG",8.94705907802803
149,"RADIUSG",9.09259405163773
150,"RADIUSG",8.93321032786576
151,"RADIUSG",8.80888265156236
152,"RADIUSG",8.99581202796411
153,"RADIUSG",9.02669500176574
154,"RADIUSG",8.81889845272894
155,"RADIUSG",9.18767174760553
156,"RADIUSG",9.16651946668645
157,"RADIUSG",8.97257295123657
158,"RADIUSG",9.06321455757201
159,"RADIUSG",9.2786103900762
160,"RADIUSG",8.90723328096058
161,"RADIUSG",9.0239509425818
162,"RADIUSG",8.9194032481898
163,"RADIUSG",9.18286780544335
164,"RADIUSG",9.05451230746339
165,"RADIUSG",9.00102893886962
166,"RADIUSG",9.04818774895342
167,"RADIUSG",8.93621400842546
168,"RADIUSG",8.91100525968122
169,"RADIUSG",9.1552302352373
170,"RADIUSG",8.95793571867242
171,"RADIUSG",9.0543507312903
172,"RADIUSG",8.96408345876546
173,"RADIUSG",8.87999472525435
174,"RADIUSG",8.83623297986749
175,"RADIUSG",9.01674917175355
176,"RADIUSG",9.01001678064843
177,"RADIUSG",8.98102865584295
178,"RADIUSG",9.0693849650184
179,"RADIUSG",8.9119532425875
180,"RADIUSG",8.95946774766767
181,"RADIUSG",9.01032933771415
182,"RADIUSG",8.99473398687748
183,"RADIUSG",9.13011220933456
184,"RADIUSG",9.00919859494776
185,"RADIUSG",8.97108082563011
186,"RADIUSG",8.93351973022519
187,"RADIUSG",9.00039996421259
188,"RADIUSG",9.18810912572743
189,"RADIUSG",9.20691905526366
190,"RADIUSG",8.97133641189859
191,"RADIUSG",8.96990374291946
192,"RADIUSG",8.88265966893819
193,"RADIUSG",9.07177063755336
194,"RADIUSG",9.048616988581
195,"RADIUSG",9.31343184482844
196,"RADIUSG",9.1558359382922
197,"RADIUSG",9.20765562394558
198,"RADIUSG",9.05734959879729
199,"RADIUSG",9.06070356296599
200,"RADIUSG",8.96820518434224
201,"RADIUSG",9.00178132496311
202,"RADIUSG",9.08557521343396
203,"RADIUSG",8.97019989286309
204,"RADIUSG",9.27724334479413
205,"RADIUSG",9.07152910615217
206,"RADIUSG",8.95335765423132
207,"RADIUSG",9.20065919755286
208,"RADIUSG",8.98989633716416
209,"RADIUSG",9.05640335523965
210,"RADIUSG",8.96921318480598
211,"RADIUSG",8.94941635524136
212,"RADIUSG",9.19136087192514
213,"RADIUSG",9.03816437083311
214,"RADIUSG",9.15752962919111
215,"RADIUSG",9.01105955476566
216,"RADIUSG",9.00069186431957
217,"RADIUSG",9.19437050856797
218,"RADIUSG",8.92807059041871
219,"RADIUSG",9.02406638901841
220,"RADIUSG",8.88241179160032
221,"RADIUSG",8.91116666559496
222,"RADIUSG",9.00540120998894
223,"RADIUSG",9.02813432219338
224,"RADIUSG",8.96937776873165
225,"RADIUSG",9.02437683696558
226,"RADIUSG",8.8860152222018
227,"RADIUSG",8.91930084633338
228,"RADIUSG",8.92123671190023
229,"RADIUSG",8.86863881193215
230,"RADIUSG",8.89883689768853
231,"RADIUSG",9.09207317642236
232,"RADIUSG",9.00651343959647
233,"RADIUSG",8.84553875052829
234,"RADIUSG",9.07347501693872
235,"RADIUSG",8.93321587082318
236,"RADIUSG",8.89832951635761
237,"RADIUSG",8.94592759627591
238,"RADIUSG",9.03015762451595
239,"RADIUSG",8.88951845209746
240,"RADIUSG",8.79938872682691
241,"RADIUSG",8.84785301049852
242,"RADIUSG",8.96057597945493
243,"RADIUSG",8.83694590850717
244,"RADIUSG",9.0162134743434
245,"RADIUSG",8.96239727317979
246,"RADIUSG",8.81700787310713
247,"RADIUSG",8.74128079941127
248,"RADIUSG",8.95422651635008
249,"RADIUSG",9.02005454476254
250,"RADIUSG",8.95535658162437
251,"RADIUSG",8.9772051864124
252,"RADIUSG",9.03344687042065
253,"RADIUSG",9.13920363837089
254,"RADIUSG",8.89371697371793
255,"RADIUSG",9.15361191183443
256,"RADIUSG",8.93959918766867
257,"RADIUSG",9.01640640248468
258,"RADIUSG",8.9148378884904
259,"RADIUSG",8.88031375798606
260,"RADIUSG",9.0366734381907
261,"RADIUSG",9.05984677616693
262,"RADIUSG",9.07227730649053
263,"RADIUSG",9.00284817652108
264,"RADIUSG",9.15128685424078
265,"RADIUSG",9.09873058450158
266,"RADIUSG",9.02791858525135
267,"RADIUSG",8.94728657619037
268,"RADIUSG",9.03619980091494
269,"RADIUSG",8.88962171983222
270,"RADIUSG",8.88300554735817
271,"RADIUSG",8.9447459535631
272,"RADIUSG",9.17409168876073
273,"RADIUSG",8.95692332605119
274,"RADIUSG",8.97232532081763
275,"RADIUSG",9.01198520364744
276,"RADIUSG",9.06525879013772
277,"RADIUSG",8.9269733750184
278,"RADIUSG",8.99943567501844
279,"RADIUSG",9.00062502487728
280,"RADIUSG",8.93236285802542
281,"RADIUSG",9.06516740376327
282,"RADIUSG",9.01781427043084
283,"RADIUSG",8.9946591349252
284,"RADIUSG",9.05308646777569
285,"RADIUSG",9.1493548947045
286,"RADIUSG",8.92040529887905
287,"RADIUSG",8.86200563217841
288,"RADIUSG",8.76721932915482
289,"RADIUSG",8.95782182121571
290,"RADIUSG",8.83926605902641
291,"RADIUSG",9.04665433606864
292,"RADIUSG",8.86594767793518
293,"RADIUSG",8.75998658265968
294,"RADIUSG",8.920653792654
295,"RADIUSG",8.86606059686309
296,"RADIUSG",8.9383363249164
297,"RADIUSG",9.00105190888543
298,"RADIUSG",8.9080173346922
299,"RADIUSG",9.07326937812427
300,"RADIUSG",8.97984833242048
301,"RADIUSG",8.98799010343024
302,"RADIUSG",9.1379427016852
303,"RADIUSG",8.97310625695112
304,"RADIUSG",9.03875017063152
305,"RADIUSG",8.93569399621004
306,"RADIUSG",9.0083841393329
307,"RADIUSG",8.90690980605915
308,"RADIUSG",8.89498963527796
309,"RADIUSG",9.06365903914294
310,"RADIUSG",9.06127189149187
311,"RADIUSG",8.86663527961834
312,"RADIUSG",8.9298149889504
313,"RADIUSG",8.80054724819419
314,"RADIUSG",9.01938242202479
315,"RADIUSG",9.0812225900852
316,"RADIUSG",8.95037760765127
317,"RADIUSG",8.9476151540974
318,"RADIUSG",9.02998757294551
319,"RADIUSG",9.11481934098606
320,"RADIUSG",9.12284214068609
321,"RADIUSG",9.00429500891543
322,"RADIUSG",9.0852197247337
323,"RADIUSG",9.04171748366972
324,"RADIUSG",9.0197646496274
325,"RADIUSG",8.84076817074007
326,"RADIUSG",8.96902230190326
327,"RADIUSG",8.93141594574136
328,"RADIUSG",9.07131396660866
329,"RADIUSG",8.83886799654952
330,"RADIUSG",8.94091289715132
331,"RADIUSG",8.9881804916365
332,"RADIUSG",8.91991825394437
