"FRAME","SYSTEM","RADIOG"
1,"RADIUSG",21.955599758187
2,"RADIUSG",21.9721298956109
3,"RADIUSG",22.2844790917067
4,"RADIUSG",21.8492726636612
5,"RADIUSG",21.7978248621548
6,"RADIUSG",21.474270489537
7,"RADIUSG",21.8786469702094
8,"RADIUSG",21.8873322434212
9,"RADIUSG",22.42670102702
10,"RADIUSG",22.222032544797
11,"RADIUSG",22.5622363584626
12,"RADIUSG",22.3512820177937
13,"RADIUSG",22.5361579318731
14,"RADIUSG",22.7874940131174
15,"RADIUSG",22.3771513466177
16,"RADIUSG",22.7312554922972
17,"RADIUSG",22.9593810025643
18,"RADIUSG",22.4007847629486
19,"RADIUSG",22.6103827801656
20,"RADIUSG",22.572942351611
21,"RADIUSG",22.7546418973576
22,"RADIUSG",22.5041519061144
23,"RADIUSG",22.2168096996379
24,"RADIUSG",22.7779816805493
25,"RADIUSG",22.5762936002759
26,"RADIUSG",22.5791087848058
27,"RADIUSG",23.1282238176743
28,"RADIUSG",22.9540389228517
29,"RADIUSG",22.601342645208
30,"RADIUSG",22.5315764939348
31,"RADIUSG",22.5311243813393
32,"RADIUSG",22.2234439596533
33,"RADIUSG",21.9243114830132
34,"RADIUSG",22.4244298325003
35,"RADIUSG",22.1849888796483
36,"RADIUSG",22.2117356079544
37,"RADIUSG",22.2779868835856
38,"RADIUSG",21.771389846857
39,"RADIUSG",21.9436082189568
40,"RADIUSG",22.2784243243139
41,"RADIUSG",22.21893643171
42,"RADIUSG",21.9819668794591
43,"RADIUSG",22.0106988939858
44,"RADIUSG",22.0329004065897
45,"RADIUSG",21.9024485685192
46,"RADIUSG",21.749489227766
47,"RADIUSG",22.0310565320688
48,"RADIUSG",22.0545677484951
49,"RADIUSG",22.4845462478614
50,"RADIUSG",22.4556925428746
51,"RADIUSG",22.2341708298688
52,"RADIUSG",22.5216857838821
53,"RADIUSG",22.1954070779199
54,"RADIUSG",22.1737854178532
55,"RADIUSG",22.1356924474016
56,"RADIUSG",21.9392948662256
57,"RADIUSG",22.5407069109445
58,"RADIUSG",22.7437190895522
59,"RADIUSG",22.5198487185977
60,"RADIUSG",22.4085317713707
61,"RADIUSG",22.3980108753097
62,"RADIUSG",22.5059768341205
63,"RADIUSG",22.3686186188298
64,"RADIUSG",22.0271021736849
65,"RADIUSG",22.1441386325279
66,"RADIUSG",22.4954496537058
67,"RADIUSG",22.5519516456712
68,"RADIUSG",22.9260316260367
69,"RADIUSG",22.7590124903974
70,"RADIUSG",22.7297156090205
71,"RADIUSG",22.7870450267304
72,"RADIUSG",22.9756985622118
73,"RADIUSG",23.1106335427849
74,"RADIUSG",23.0217799729382
75,"RADIUSG",22.8829206224836
76,"RADIUSG",22.8429048060966
77,"RADIUSG",22.9126105075143
78,"RADIUSG",23.1186967541323
79,"RADIUSG",22.9795183882575
80,"RADIUSG",23.1327010031631
81,"RADIUSG",23.195129951261
82,"RADIUSG",23.2211711805406
83,"RADIUSG",23.2335222379516
84,"RADIUSG",23.0948445344652
85,"RADIUSG",22.8707322419676
86,"RADIUSG",22.5783153507507
87,"RADIUSG",22.9394870844164
88,"RADIUSG",22.9266414552992
89,"RADIUSG",23.1036623480094
90,"RADIUSG",23.3580596920347
91,"RADIUSG",23.4184873975709
92,"RADIUSG",23.5540568431255
93,"RADIUSG",23.5741366551946
94,"RADIUSG",23.5216197816956
95,"RADIUSG",23.3765683601127
96,"RADIUSG",23.8362686609426
97,"RADIUSG",23.8578862022767
98,"RADIUSG",23.9543944294379
99,"RADIUSG",24.0916655033474
100,"RADIUSG",24.7748821452262
101,"RADIUSG",24.4992360347059
102,"RADIUSG",24.6482738652568
103,"RADIUSG",24.4238272743665
104,"RADIUSG",24.1993640375267
105,"RADIUSG",24.6704972622718
106,"RADIUSG",24.6136959056446
107,"RADIUSG",24.286352055749
108,"RADIUSG",23.9013073750018
109,"RADIUSG",24.3519814602955
110,"RADIUSG",24.2737718852791
111,"RADIUSG",23.895521404986
112,"RADIUSG",23.3604487206106
113,"RADIUSG",23.2743520664232
114,"RADIUSG",23.3367394707265
115,"RADIUSG",23.3925760678609
116,"RADIUSG",22.9874551852316
117,"RADIUSG",23.0521587363389
118,"RADIUSG",23.0912648981768
119,"RADIUSG",23.4095131444785
120,"RADIUSG",23.9374710168106
121,"RADIUSG",24.4052189547277
122,"RADIUSG",24.5064592270475
123,"RADIUSG",24.7655277750868
124,"RADIUSG",24.6849633948655
125,"RADIUSG",24.9272770356026
126,"RADIUSG",24.3864479248869
127,"RADIUSG",24.4212861052355
128,"RADIUSG",24.5440776292675
129,"RADIUSG",24.5123544325497
130,"RADIUSG",24.6347589173541
131,"RADIUSG",24.2398894204285
132,"RADIUSG",24.6301086684412
133,"RADIUSG",24.6239287796412
134,"RADIUSG",24.7115715167921
135,"RADIUSG",24.3009182437778
136,"RADIUSG",24.3581712469882
137,"RADIUSG",24.5391485738037
138,"RADIUSG",24.4417292128687
139,"RADIUSG",23.7700696224109
140,"RADIUSG",23.7334708282927
141,"RADIUSG",23.8610780459362
142,"RADIUSG",24.2022297506544
143,"RADIUSG",24.6079010208376
144,"RADIUSG",24.1581295282321
145,"RADIUSG",24.1004212969258
146,"RADIUSG",24.0425271538243
147,"RADIUSG",23.8840225415522
148,"RADIUSG",23.7594375570587
149,"RADIUSG",23.3421068948849
150,"RADIUSG",23.3308759850523
151,"RADIUSG",23.2503466097702
152,"RADIUSG",23.1128978038765
153,"RADIUSG",23.1682710786852
154,"RADIUSG",23.1218796140863
155,"RADIUSG",23.1156730022494
156,"RADIUSG",23.3120961209019
157,"RADIUSG",23.3319616464844
158,"RADIUSG",23.3299270399838
159,"RADIUSG",23.2741515500635
160,"RADIUSG",22.9866117650022
161,"RADIUSG",23.324182002249
162,"RADIUSG",23.1216913755022
163,"RADIUSG",23.3758421240524
164,"RADIUSG",23.1828087045013
165,"RADIUSG",23.1821020660651
166,"RADIUSG",23.4167947976923
167,"RADIUSG",23.3322634237126
168,"RADIUSG",23.2353317511564
169,"RADIUSG",23.6053174072078
170,"RADIUSG",23.6246715632279
171,"RADIUSG",23.4120997409694
172,"RADIUSG",23.4905611447814
173,"RADIUSG",23.9327539142042
174,"RADIUSG",23.9919681164352
175,"RADIUSG",24.0781524564396
176,"RADIUSG",24.1010332539945
177,"RADIUSG",24.1816631595687
178,"RADIUSG",24.52601580873
179,"RADIUSG",24.7903123425979
180,"RADIUSG",24.5631238619217
181,"RADIUSG",24.3547115205761
182,"RADIUSG",24.2089442708069
183,"RADIUSG",24.4414430733641
184,"RADIUSG",24.0007555612023
185,"RADIUSG",23.9803357867379
186,"RADIUSG",24.3612378044378
187,"RADIUSG",24.0553281588165
188,"RADIUSG",24.4927010333465
189,"RADIUSG",24.8145822206861
190,"RADIUSG",24.6392558988414
191,"RADIUSG",24.4979357064678
192,"RADIUSG",24.2857555426715
193,"RADIUSG",24.6596750897206
194,"RADIUSG",24.7861177237968
195,"RADIUSG",24.341618712954
196,"RADIUSG",24.6853014846394
197,"RADIUSG",24.5743445085425
198,"RADIUSG",24.0107792075734
199,"RADIUSG",24.0393435253152
200,"RADIUSG",23.9816489825771
201,"RADIUSG",23.6303099660141
202,"RADIUSG",23.865165814268
203,"RADIUSG",23.8604058831491
204,"RADIUSG",24.3185740486098
205,"RADIUSG",24.4530958814369
206,"RADIUSG",24.2332334821154
207,"RADIUSG",24.2335652275053
208,"RADIUSG",23.9921235513592
209,"RADIUSG",23.6526254670814
210,"RADIUSG",23.9341737147248
211,"RADIUSG",24.1738743051858
212,"RADIUSG",24.3121245724027
213,"RADIUSG",23.8781357187947
214,"RADIUSG",24.0836813055632
215,"RADIUSG",23.8871988857175
216,"RADIUSG",24.1448038992498
217,"RADIUSG",23.6731312708652
218,"RADIUSG",23.615855282562
219,"RADIUSG",23.8901796664403
220,"RADIUSG",23.9622856412345
221,"RADIUSG",24.0773317405117
222,"RADIUSG",23.5845736540735
223,"RADIUSG",23.2462420755322
224,"RADIUSG",23.2955928465742
225,"RADIUSG",23.36463552847
226,"RADIUSG",23.6765312370343
227,"RADIUSG",23.2512116466133
228,"RADIUSG",23.4144377113963
229,"RADIUSG",23.8728264583413
230,"RADIUSG",23.7086310841557
231,"RADIUSG",23.5224385733522
232,"RADIUSG",23.1442664890922
